"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Cyclic Voltammetry,0.063547,0.276438,0.276438,-0.000884705,0,-1.56168e-08,3.71477
1_1,Cyclic Voltammetry,0.155123,-0.00184068,-0.00184068,-0.00236826,0,-5.69909e-08,3.78572
1_1,Cyclic Voltammetry,0.246693,-0.00303872,-0.00303872,-0.00232458,0,-1.16675e-07,3.78496
1_1,Cyclic Voltammetry,0.338223,-0.00370878,-0.00370878,-0.00237364,0,-1.76401e-07,3.78287
1_1,Cyclic Voltammetry,0.429879,-0.00482069,-0.00482069,-0.00238507,0,-2.36979e-07,3.78283
1_1,Cyclic Voltammetry,0.521404,-0.00557464,-0.00557464,-0.00236961,0,-2.9742e-07,3.78112
1_1,Cyclic Voltammetry,0.613012,-0.00659259,-0.00659259,-0.00235886,0,-3.57582e-07,3.78147
1_1,Cyclic Voltammetry,0.704572,-0.00740247,-0.00740247,-0.00238977,0,-4.17968e-07,3.7798
1_1,Cyclic Voltammetry,0.796078,-0.00844727,-0.00844727,-0.00237028,0,-4.78465e-07,3.78043
1_1,Cyclic Voltammetry,0.887639,-0.0092001,-0.0092001,-0.00232324,0,-5.38151e-07,3.77902
1_1,Cyclic Voltammetry,0.979252,-0.0102527,-0.0102527,-0.002377,0,-5.97957e-07,3.77978
1_1,Cyclic Voltammetry,1.07081,-0.0110794,-0.0110794,-0.00234542,0,-6.58006e-07,3.77831
1_1,Cyclic Voltammetry,1.16238,-0.0120683,-0.0120683,-0.00234138,0,-7.17619e-07,3.7792
1_1,Cyclic Voltammetry,1.25394,-0.0129464,-0.0129464,-0.00228829,0,-7.76492e-07,3.77784
1_1,Cyclic Voltammetry,1.3455,-0.0138681,-0.0138681,-0.00229972,0,-8.34834e-07,3.77884
1_1,Cyclic Voltammetry,1.43708,-0.0147966,-0.0147966,-0.0022762,0,-8.93038e-07,3.77745
1_1,Cyclic Voltammetry,1.52864,-0.0156769,-0.0156769,-0.00226074,0,-9.50734e-07,3.77861
1_1,Cyclic Voltammetry,1.6202,-0.0166423,-0.0166423,-0.00226074,0,-1.00823e-06,3.77733
1_1,Cyclic Voltammetry,1.71177,-0.0174947,-0.0174947,-0.00226477,0,-1.06579e-06,3.77851
1_1,Cyclic Voltammetry,1.80334,-0.0184388,-0.0184388,-0.00226746,0,-1.12343e-06,3.77716
1_1,Cyclic Voltammetry,1.89495,-0.0192644,-0.0192644,-0.00224192,0,-1.1808e-06,3.77835
1_1,Cyclic Voltammetry,1.98652,-0.0203036,-0.0203036,-0.002252,0,-1.23796e-06,3.77709
1_1,Cyclic Voltammetry,2.07809,-0.0210687,-0.0210687,-0.00225066,0,-1.29522e-06,3.77838
1_1,Cyclic Voltammetry,2.16964,-0.0221683,-0.0221683,-0.00223319,0,-1.35223e-06,3.77713
1_1,Cyclic Voltammetry,2.26121,-0.0229457,-0.0229457,-0.00222445,0,-1.40893e-06,3.77846
1_1,Cyclic Voltammetry,2.35276,-0.0240017,-0.0240017,-0.00228896,0,-1.46632e-06,3.77731
1_1,Cyclic Voltammetry,2.44432,-0.0247557,-0.0247557,-0.00225469,0,-1.5241e-06,3.77866
1_1,Cyclic Voltammetry,2.5359,-0.0258531,-0.0258531,-0.00222781,0,-1.58111e-06,3.77747
