"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0001,0.199808,0.199808,-0.00949568,0,-0.000158261,-0.172319
1_1,Constant Potential,120,0.199839,0.199839,0.00496525,0,-0.000196015,-0.244926
1_1,Constant Potential,180,0.199822,0.199822,0.00461905,0,-0.000116146,-0.278947
1_1,Constant Potential,240,0.199804,0.199804,0.00304462,0,-5.2282e-05,-0.297687
1_1,Constant Potential,300,0.199848,0.199848,0.00506543,0,1.53019e-05,-0.310942
1_1,Constant Potential,360,0.199843,0.199843,0.00440442,0,9.42173e-05,-0.31893
1_1,Constant Potential,420,0.199838,0.199838,0.00492778,0,0.000171986,-0.326002
1_1,Constant Potential,480,0.199813,0.199813,0.00632924,0,0.000265794,-0.331284
1_1,Constant Potential,540,0.199798,0.199798,0.00439269,0,0.000355144,-0.334542
1_1,Constant Potential,600,0.199801,0.199801,0.00629288,0,0.00044419,-0.338158
1_1,Constant Potential,660,0.199842,0.199842,0.00665673,0,0.000552103,-0.341945
1_1,Constant Potential,720,0.199845,0.199845,0.00374354,0,0.000638772,-0.342729
1_1,Constant Potential,780,0.199851,0.199851,0.00432661,0,0.000706024,-0.346926
1_1,Constant Potential,840,0.199854,0.199854,0.00379355,0,0.000773692,-0.349172
1_1,Constant Potential,900,0.199827,0.199827,0.00598357,0,0.000855168,-0.352386
1_1,Constant Potential,960,0.19982,0.19982,0.0032621,0,0.000932215,-0.354005
1_1,Constant Potential,1020,0.199823,0.199823,0.00414789,0,0.000993965,-0.357029
1_1,Constant Potential,1080,0.199809,0.199809,0.00360319,0,0.00105856,-0.359354
1_1,Constant Potential,1140,0.199845,0.199845,0.00390732,0,0.00112114,-0.362015
1_1,Constant Potential,1200,0.199858,0.199858,0.00503646,0,0.00119568,-0.364655
1_1,Constant Potential,1260,0.199835,0.199835,0.00347459,0,0.0012666,-0.367345
1_1,Constant Potential,1320,0.199841,0.199841,0.00228289,0,0.00131458,-0.362235
1_1,Constant Potential,1381,0.199842,0.199842,0.00702993,0,0.00139348,-0.365457
1_1,Constant Potential,1441,0.19985,0.19985,0.00554979,0,0.00149831,-0.374287
1_1,Constant Potential,1501,0.199869,0.199869,0.00582463,0,0.0015931,-0.377058
1_1,Constant Potential,1561,0.199848,0.199848,0.006735,0,0.00169776,-0.379558
1_1,Constant Potential,1621,0.199852,0.199852,0.0048222,0,0.00179407,-0.381959
1_1,Constant Potential,1681,0.199826,0.199826,0.00533448,0,0.00187871,-0.384853
1_1,Constant Potential,1741,0.199806,0.199806,0.00480403,0,0.0019632,-0.386028
1_1,Constant Potential,1801,0.199851,0.199851,0.00513261,0,0.002046,-0.387986
1_1,Constant Potential,1861,0.199845,0.199845,0.00366603,0,0.00211933,-0.389291
1_1,Constant Potential,1921,0.199831,0.199831,0.00408647,0,0.00218393,-0.390413
1_1,Constant Potential,1981,0.199868,0.199868,0.00430359,0,0.00225385,-0.392688
1_1,Constant Potential,2041,0.199875,0.199875,0.0039176,0,0.00232236,-0.395478
1_1,Constant Potential,2101,0.199823,0.199823,0.00390122,0,0.00238751,-0.397989
1_1,Constant Potential,2161,0.199859,0.199859,0.00499933,0,0.00246169,-0.400675
1_1,Constant Potential,2221,0.199858,0.199858,0.00405124,0,0.00253711,-0.403345
1_1,Constant Potential,2281,0.199889,0.199889,0.00503377,0,0.00261282,-0.406246
1_1,Constant Potential,2341,0.199856,0.199856,0.00528228,0,0.00269878,-0.408523
1_1,Constant Potential,2401,0.199833,0.199833,0.00521676,0,0.00278627,-0.409473
1_1,Constant Potential,2461,0.199855,0.199855,0.00382055,0,0.00286159,-0.412101
1_1,Constant Potential,2521,0.199888,0.199888,0.00448796,0,0.00293082,-0.414811
1_1,Constant Potential,2581,0.199829,0.199829,0.0055889,0,0.0030148,-0.418122
1_1,Constant Potential,2641,0.199842,0.199842,0.00373026,0,0.00309246,-0.419657
1_1,Constant Potential,2701,0.199862,0.199862,0.0043144,0,0.0031595,-0.422625
1_1,Constant Potential,2761,0.199859,0.199859,0.00316318,0,0.00322181,-0.425245
1_1,Constant Potential,2821,0.199873,0.199873,0.00495866,0,0.00328949,-0.427746
1_1,Constant Potential,2881,0.199867,0.199867,0.00432995,0,0.0033669,-0.429979
1_1,Constant Potential,2941,0.199852,0.199852,0.00592309,0,0.00345234,-0.433051
1_1,Constant Potential,3001,0.199873,0.199873,0.00435722,0,0.00353801,-0.434914
1_1,Constant Potential,3061,0.199877,0.199877,0.00338302,0,0.00360251,-0.437
1_1,Constant Potential,3121,0.199857,0.199857,0.00409665,0,0.00366484,-0.438593
1_1,Constant Potential,3181,0.199842,0.199842,0.00388121,0,0.00373132,-0.440448
1_1,Constant Potential,3241,0.199861,0.199861,0.0043699,0,0.00380008,-0.442164
