"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0004,0.199895,0.199895,-0.0231931,0,-0.000386554,-0.248378
1_1,Constant Potential,120,0.199902,0.199902,-0.00870706,0,-0.000652388,-0.295987
1_1,Constant Potential,180,0.199887,0.199887,-0.00383875,0,-0.000756937,-0.323249
1_1,Constant Potential,240,0.199884,0.199884,-0.00249505,0,-0.000809718,-0.343795
1_1,Constant Potential,300,0.199899,0.199899,-0.000773462,0,-0.000836956,-0.362071
1_1,Constant Potential,360,0.199887,0.199887,-0.000925243,0,-0.000851112,-0.378459
1_1,Constant Potential,420,0.199882,0.199882,0.00118782,0,-0.000848924,-0.395661
1_1,Constant Potential,480,0.199882,0.199882,0.00083205,0,-0.000832091,-0.413567
1_1,Constant Potential,540,0.199882,0.199882,0.00132558,0,-0.000814111,-0.426129
1_1,Constant Potential,600,0.19991,0.19991,0.00208837,0,-0.000785662,-0.436624
1_1,Constant Potential,660,0.199908,0.199908,0.00381593,0,-0.000736459,-0.445271
1_1,Constant Potential,720,0.199902,0.199902,0.00133438,0,-0.00069354,-0.453395
1_1,Constant Potential,780,0.199887,0.199887,0.000581491,0,-0.000677574,-0.458891
1_1,Constant Potential,840,0.199894,0.199894,0.00175922,0,-0.000658068,-0.464286
1_1,Constant Potential,900,0.199894,0.199894,0.002257,0,-0.0006246,-0.469407
1_1,Constant Potential,960,0.199902,0.199902,0.00368112,0,-0.000575115,-0.474204
1_1,Constant Potential,1020,0.199903,0.199903,0.00366882,0,-0.000513866,-0.478571
1_1,Constant Potential,1080,0.199904,0.199904,0.000682234,0,-0.000477607,-0.482279
1_1,Constant Potential,1140,0.199919,0.199919,0.002277,0,-0.000452947,-0.486702
1_1,Constant Potential,1200,0.199904,0.199904,0.00230172,0,-0.000414791,-0.490491
1_1,Constant Potential,1260,0.199895,0.199895,0.00186241,0,-0.00038009,-0.494161
1_1,Constant Potential,1320,0.199908,0.199908,0.00259646,0,-0.000342933,-0.501174
1_1,Constant Potential,1380,0.199899,0.199899,0.00179898,0,-0.000306304,-0.503765
1_1,Constant Potential,1440,0.199904,0.199904,0.00204754,0,-0.00027425,-0.50628
1_1,Constant Potential,1500,0.199881,0.199881,0.00269413,0,-0.000234736,-0.508906
1_1,Constant Potential,1560,0.199882,0.199882,0.00301365,0,-0.000187171,-0.511733
1_1,Constant Potential,1620,0.199877,0.199877,0.00322529,0,-0.00013518,-0.514677
1_1,Constant Potential,1680,0.199871,0.199871,0.00262257,0,-8.64477e-05,-0.517148
1_1,Constant Potential,1740,0.199881,0.199881,0.00257288,0,-4.31522e-05,-0.519911
1_1,Constant Potential,1800,0.19987,0.19987,0.00348745,0,7.35052e-06,-0.522296
1_1,Constant Potential,1860,0.199865,0.199865,0.00279841,0,5.97326e-05,-0.524206
1_1,Constant Potential,1920,0.199884,0.199884,0.00413877,0,0.000117542,-0.526486
1_1,Constant Potential,1980,0.199887,0.199887,0.002213,0,0.000170474,-0.527795
1_1,Constant Potential,2040,0.199863,0.199863,0.00164373,0,0.000202613,-0.529
1_1,Constant Potential,2100,0.199836,0.199836,0.0027316,0,0.000239074,-0.531066
1_1,Constant Potential,2160,0.199901,0.199901,0.00166809,0,0.000275739,-0.532623
1_1,Constant Potential,2220,0.199893,0.199893,0.00161706,0,0.000303115,-0.534097
1_1,Constant Potential,2280,0.199866,0.199866,0.00308661,0,0.000342312,-0.535932
1_1,Constant Potential,2340,0.199897,0.199897,0.00249195,0,0.0003888,-0.537353
1_1,Constant Potential,2400,0.199902,0.199902,0.00431291,0,0.000445507,-0.539602
1_1,Constant Potential,2460,0.199871,0.199871,0.00304634,0,0.000506834,-0.541018
1_1,Constant Potential,2520,0.19987,0.19987,0.00461244,0,0.000570657,-0.542521
1_1,Constant Potential,2580,0.199864,0.199864,0.00242953,0,0.00062934,-0.543209
1_1,Constant Potential,2640,0.199905,0.199905,0.00201123,0,0.000666347,-0.544442
1_1,Constant Potential,2700,0.199888,0.199888,0.0029147,0,0.000707396,-0.545914
