Channel ,Time_Hours,Current_mA,CurrentDensity_mA/cm^2,Time_Since_Inoc_hrs
2_prime1338,4.00,0.688302,0.0228,0.00
2_prime1338,4.00,0.686565,0.0227,0.00
2_prime1338,4.10,0.683019,0.0226,0.10
2_prime1338,4.10,0.680051,0.0225,0.10
2_prime1338,4.10,0.679912,0.0225,0.10
2_prime1338,4.10,0.675850,0.0224,0.10
2_prime1338,4.10,0.674445,0.0223,0.10
2_prime1338,4.20,0.671831,0.0222,0.20
2_prime1338,4.20,0.668791,0.0221,0.20
2_prime1338,4.20,0.665872,0.0220,0.20
2_prime1338,4.20,0.661636,0.0219,0.20
2_prime1338,4.30,0.658930,0.0218,0.30
2_prime1338,4.30,0.658090,0.0218,0.30
2_prime1338,4.30,0.654976,0.0217,0.30
2_prime1338,4.30,0.655868,0.0217,0.30
2_prime1338,4.30,0.652993,0.0216,0.30
2_prime1338,4.40,0.651383,0.0215,0.40
2_prime1338,4.40,0.649206,0.0215,0.40
2_prime1338,4.40,0.648005,0.0214,0.40
2_prime1338,4.40,0.646780,0.0214,0.40
2_prime1338,4.40,0.645087,0.0213,0.40
2_prime1338,4.50,0.645721,0.0214,0.50
2_prime1338,4.50,0.643971,0.0213,0.50
2_prime1338,4.50,0.643551,0.0213,0.50
2_prime1338,4.50,0.646132,0.0214,0.50
2_prime1338,4.50,0.645783,0.0214,0.50
2_prime1338,4.60,0.644242,0.0213,0.60
2_prime1338,4.60,0.643563,0.0213,0.60
2_prime1338,4.60,0.643134,0.0213,0.60
2_prime1338,4.60,0.641785,0.0212,0.60
2_prime1338,4.60,0.639641,0.0212,0.60
2_prime1338,4.70,0.637636,0.0211,0.70
2_prime1338,4.70,0.637581,0.0211,0.70
2_prime1338,4.70,0.636576,0.0211,0.70
2_prime1338,4.70,0.634651,0.0210,0.70
2_prime1338,4.80,0.633567,0.0210,0.80
2_prime1338,4.80,0.630864,0.0209,0.80
2_prime1338,4.80,0.630658,0.0209,0.80
2_prime1338,4.80,0.629674,0.0208,0.80
2_prime1338,4.80,0.628490,0.0208,0.80
2_prime1338,4.90,0.625781,0.0207,0.90
2_prime1338,4.90,0.624951,0.0207,0.90
2_prime1338,4.90,0.625301,0.0207,0.90
2_prime1338,4.90,0.623508,0.0206,0.90
2_prime1338,4.90,0.620905,0.0205,0.90
2_prime1338,5.00,0.621799,0.0206,1.00
2_prime1338,5.00,0.622850,0.0206,1.00
2_prime1338,5.00,0.620222,0.0205,1.00
2_prime1338,5.00,0.616538,0.0204,1.00
2_prime1338,5.00,0.614632,0.0203,1.00
2_prime1338,5.10,0.614213,0.0203,1.10
2_prime1338,5.10,0.615007,0.0203,1.10
2_prime1338,5.10,0.612810,0.0203,1.10
2_prime1338,5.10,0.611166,0.0202,1.10
2_prime1338,5.10,0.609643,0.0202,1.10
2_prime1338,5.20,0.606499,0.0201,1.20
2_prime1338,5.20,0.605387,0.0200,1.20
2_prime1338,5.20,0.605462,0.0200,1.20
2_prime1338,5.20,0.603348,0.0200,1.20
2_prime1338,5.30,0.601004,0.0199,1.30
2_prime1338,5.30,0.600483,0.0199,1.30
2_prime1338,5.30,0.600097,0.0198,1.30
2_prime1338,5.30,0.599528,0.0198,1.30
2_prime1338,5.30,0.598384,0.0198,1.30
2_prime1338,5.40,0.596111,0.0197,1.40
2_prime1338,5.40,0.594807,0.0197,1.40
