"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0003,0.199861,0.199861,-0.00112056,0,-1.86761e-05,-0.134075
1_1,Constant Potential,120,0.199867,0.199867,-0.000884511,0,-3.5385e-05,-0.134459
1_1,Constant Potential,180,0.199897,0.199897,-0.000587657,0,-4.7653e-05,-0.134845
1_1,Constant Potential,240,0.199897,0.199897,-0.000627079,0,-5.77758e-05,-0.135078
1_1,Constant Potential,300,0.199885,0.199885,-0.000816525,0,-6.98059e-05,-0.135276
1_1,Constant Potential,360,0.199872,0.199872,-0.000929786,0,-8.43585e-05,-0.135489
1_1,Constant Potential,420,0.199882,0.199882,-0.000800283,0,-9.87757e-05,-0.135545
1_1,Constant Potential,480,0.199896,0.199896,-0.000907264,0,-0.000113005,-0.13562
1_1,Constant Potential,540,0.199873,0.199873,-0.000728239,0,-0.000126634,-0.135593
1_1,Constant Potential,600,0.199877,0.199877,-0.00057363,0,-0.000137483,-0.135588
1_1,Constant Potential,660,0.199872,0.199872,-0.000459182,0,-0.00014609,-0.135519
1_1,Constant Potential,720,0.19987,0.19987,-0.000751887,0,-0.000156182,-0.135441
1_1,Constant Potential,780,0.199865,0.199865,-0.000513734,0,-0.000166729,-0.135388
1_1,Constant Potential,840,0.199878,0.199878,-0.000567685,0,-0.000175741,-0.135315
1_1,Constant Potential,900,0.19984,0.19984,-0.00100957,0,-0.000188885,-0.135135
1_1,Constant Potential,960,0.199896,0.199896,-0.000498008,0,-0.000201448,-0.135022
1_1,Constant Potential,1020,0.19988,0.19988,-0.000521665,0,-0.000209945,-0.134964
1_1,Constant Potential,1080,0.199881,0.199881,-0.00052256,0,-0.000218647,-0.134812
1_1,Constant Potential,1140,0.199892,0.199892,-0.000785733,0,-0.00022955,-0.13465
1_1,Constant Potential,1200,0.199921,0.199921,-0.000800251,0,-0.000242766,-0.134495
1_1,Constant Potential,1260,0.199889,0.199889,-0.000156542,0,-0.000250739,-0.134378
1_1,Constant Potential,1320,0.199898,0.199898,-0.000841873,0,-0.00025906,-0.134224
1_1,Constant Potential,1380,0.199888,0.199888,-0.000510466,0,-0.000270329,-0.13401
1_1,Constant Potential,1440,0.199876,0.199876,-0.000377742,0,-0.000277731,-0.13384
1_1,Constant Potential,1500,0.199882,0.199882,-0.000931419,0,-0.00028864,-0.133645
1_1,Constant Potential,1560,0.199894,0.199894,-0.000699054,0,-0.000302228,-0.133474
1_1,Constant Potential,1620,0.199863,0.199863,-0.000468237,0,-0.000311955,-0.133257
1_1,Constant Potential,1680,0.199875,0.199875,-0.000664311,0,-0.000321393,-0.13309
1_1,Constant Potential,1740,0.199843,0.199843,-0.000708292,0,-0.000332831,-0.132902
1_1,Constant Potential,1800,0.199874,0.199874,-0.000506071,0,-0.000342951,-0.132729
1_1,Constant Potential,1860,0.199882,0.199882,-0.00048535,0,-0.000351213,-0.132558
1_1,Constant Potential,1920,0.199858,0.199858,-0.000700416,0,-0.000361094,-0.132365
1_1,Constant Potential,1980,0.199864,0.199864,-0.000969327,0,-0.000375009,-0.132117
1_1,Constant Potential,2040,0.199868,0.199868,-0.0011629,0,-0.000392777,-0.131952
1_1,Constant Potential,2100,0.199855,0.199855,-0.000409864,0,-0.000405884,-0.131676
1_1,Constant Potential,2160,0.199856,0.199856,-0.00107697,0,-0.000418274,-0.131511
1_1,Constant Potential,2220,0.199839,0.199839,-0.000711844,0,-0.000433181,-0.13129
1_1,Constant Potential,2280,0.199903,0.199903,-0.000652194,0,-0.000444548,-0.131012
1_1,Constant Potential,2340,0.199891,0.199891,-0.000784881,0,-0.000456523,-0.130763
1_1,Constant Potential,2400,0.199885,0.199885,-0.00074015,0,-0.000469232,-0.130596
1_1,Constant Potential,2460,0.199911,0.199911,-0.000462457,0,-0.000479254,-0.130396
1_1,Constant Potential,2520,0.199881,0.199881,-0.000818539,0,-0.000489929,-0.130173
1_1,Constant Potential,2580,0.199889,0.199889,-0.000544483,0,-0.000501287,-0.130004
1_1,Constant Potential,2640,0.199881,0.199881,-0.000360451,0,-0.000508828,-0.129813
1_1,Constant Potential,2700,0.199885,0.199885,-7.5897e-05,0,-0.000512465,-0.129596
1_1,Constant Potential,2760,0.19988,0.19988,-0.000535033,0,-0.000517556,-0.129395
1_1,Constant Potential,2820,0.19989,0.19989,-0.000494965,0,-0.000526139,-0.129123
1_1,Constant Potential,2880,0.199871,0.199871,-0.000527923,0,-0.000534663,-0.128925
1_1,Constant Potential,2940,0.199885,0.199885,-0.000336798,0,-0.000541869,-0.128701
1_1,Constant Potential,3000,0.199852,0.199852,-0.00087852,0,-0.000551997,-0.128532
1_1,Constant Potential,3060,0.199855,0.199855,-0.000886818,0,-0.000566708,-0.128304
1_1,Constant Potential,3120,0.199874,0.199874,-0.000616094,0,-0.000579232,-0.128159
1_1,Constant Potential,3180,0.199885,0.199885,-0.00073319,0,-0.000590476,-0.127893
1_1,Constant Potential,3240,0.19987,0.19987,-0.000421074,0,-0.000600095,-0.127703
1_1,Constant Potential,3300,0.199862,0.199862,-0.000312703,0,-0.00060621,-0.127521
1_1,Constant Potential,3360,0.199857,0.199857,-0.00060615,0,-0.000613867,-0.127281
1_1,Constant Potential,3420,0.199852,0.199852,-0.000508674,0,-0.000623157,-0.127115
1_1,Constant Potential,3480,0.199859,0.199859,-0.000657017,0,-0.000632871,-0.126841
1_1,Constant Potential,3540,0.199856,0.199856,-0.000774918,0,-0.000644804,-0.126737
1_1,Constant Potential,3600,0.199857,0.199857,-0.000789962,0,-0.000657845,-0.126452
1_1,Constant Potential,3661,0.199881,0.199881,-0.000870438,0,-0.000671912,-0.126235
1_1,Constant Potential,3721,0.199866,0.199866,-0.000280539,0,-0.000681503,-0.126027
1_1,Constant Potential,3781,0.19987,0.19987,-0.000795821,0,-0.000690473,-0.125782
1_1,Constant Potential,3841,0.199891,0.199891,-0.000593111,0,-0.000702047,-0.12559
