"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.399817,0.399817,0.303354,0,0.00505591,-1.20204
1_1,Constant Potential,120,0.39986,0.39986,0.19492,0,0.00920819,-1.14105
1_1,Constant Potential,180,0.399788,0.399788,0.151429,0,0.0120944,-1.11308
1_1,Constant Potential,240,0.399836,0.399836,0.127748,0,0.0144209,-1.09646
1_1,Constant Potential,300,0.399771,0.399771,0.113659,0,0.0164326,-1.08585
1_1,Constant Potential,360,0.399819,0.399819,0.10329,0,0.0182405,-1.07803
1_1,Constant Potential,420,0.399787,0.399787,0.0953903,0,0.0198962,-1.0726
1_1,Constant Potential,480,0.399855,0.399855,0.0892389,0,0.0214348,-1.06823
1_1,Constant Potential,540,0.399828,0.399828,0.0847022,0,0.0228843,-1.06535
1_1,Constant Potential,600,0.399833,0.399833,0.0804788,0,0.0242608,-1.06282
1_1,Constant Potential,660,0.399787,0.399787,0.0766599,0,0.0255703,-1.06079
1_1,Constant Potential,720,0.399798,0.399798,0.0741319,0,0.0268269,-1.05916
1_1,Constant Potential,780,0.399809,0.399809,0.0710121,0,0.0280364,-1.05748
1_1,Constant Potential,840,0.399811,0.399811,0.0690471,0,0.0292036,-1.05672
1_1,Constant Potential,900,0.399761,0.399761,0.0667527,0,0.0303352,-1.05524
1_1,Constant Potential,960,0.399773,0.399773,0.0646153,0,0.03143,-1.0541
1_1,Constant Potential,1020,0.399793,0.399793,0.0631386,0,0.0324946,-1.05359
1_1,Constant Potential,1080,0.399838,0.399838,0.0617244,0,0.0335351,-1.05295
1_1,Constant Potential,1140,0.399797,0.399797,0.0604354,0,0.0345531,-1.05227
1_1,Constant Potential,1200,0.399831,0.399831,0.0590904,0,0.0355492,-1.05156
1_1,Constant Potential,1260,0.399792,0.399792,0.0579805,0,0.0365247,-1.05119
1_1,Constant Potential,1320,0.399805,0.399805,0.0572639,0,0.0374851,-1.05076
1_1,Constant Potential,1380,0.399772,0.399772,0.0555652,0,0.0384254,-1.04973
