"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9927,0.200095,0.200095,2.0742,0,0.0345658,-1.33367
1_1,Constant Potential,119.993,0.200168,0.200168,1.87926,0,0.0675113,-1.29455
1_1,Constant Potential,179.993,0.200264,0.200264,1.75802,0,0.097822,-1.27026
1_1,Constant Potential,239.993,0.200282,0.200282,1.68742,0,0.126534,-1.25486
1_1,Constant Potential,299.993,0.200333,0.200333,1.64262,0,0.154284,-1.24505
1_1,Constant Potential,359.993,0.20031,0.20031,1.59271,0,0.181245,-1.24599
1_1,Constant Potential,419.993,0.200354,0.200354,1.47799,0,0.206835,-1.22744
1_1,Constant Potential,479.993,0.200366,0.200366,1.4232,0,0.231011,-1.21621
1_1,Constant Potential,539.993,0.200476,0.200476,1.2098,0,0.252953,-1.17963
1_1,Constant Potential,599.993,0.200525,0.200525,1.09968,0,0.272199,-1.16446
1_1,Constant Potential,659.993,0.200582,0.200582,1.01797,0,0.289846,-1.1519
1_1,Constant Potential,719.993,0.200595,0.200595,0.970321,0,0.306415,-1.14527
1_1,Constant Potential,779.993,0.200679,0.200679,0.939556,0,0.32233,-1.1401
1_1,Constant Potential,839.993,0.20062,0.20062,0.910969,0,0.337751,-1.13575
1_1,Constant Potential,899.993,0.200629,0.200629,0.890022,0,0.35276,-1.13238
1_1,Constant Potential,959.993,0.200651,0.200651,0.872834,0,0.36745,-1.129
1_1,Constant Potential,1019.99,0.200643,0.200643,0.858267,0,0.381876,-1.12688
1_1,Constant Potential,1079.99,0.200701,0.200701,0.837695,0,0.396009,-1.12315
1_1,Constant Potential,1139.99,0.200638,0.200638,0.822837,0,0.409847,-1.12042
1_1,Constant Potential,1199.99,0.200659,0.200659,0.806906,0,0.423428,-1.11776
1_1,Constant Potential,1259.99,0.2007,0.2007,0.800229,0,0.436821,-1.1166
1_1,Constant Potential,1319.99,0.200638,0.200638,0.791027,0,0.450081,-1.115
1_1,Constant Potential,1379.99,0.200698,0.200698,0.775281,0,0.463134,-1.11198
1_1,Constant Potential,1439.99,0.200646,0.200646,0.769586,0,0.476008,-1.11111
1_1,Constant Potential,1499.99,0.20067,0.20067,0.757818,0,0.488736,-1.10885
1_1,Constant Potential,1559.99,0.200671,0.200671,0.755341,0,0.501346,-1.10856
1_1,Constant Potential,1619.99,0.200684,0.200684,0.713232,0,0.513584,-1.1036
