"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.199983,0.199983,2.50709,0,0.0417849,-1.27425
1_1,Constant Potential,120,0.200001,0.200001,2.13565,0,0.0804745,-1.23826
1_1,Constant Potential,180,0.199975,0.199975,1.9568,0,0.114578,-1.21871
1_1,Constant Potential,240.001,0.200048,0.200048,1.83477,0,0.146175,-1.2044
1_1,Constant Potential,300.001,0.200063,0.200063,1.7667,0,0.176187,-1.19525
1_1,Constant Potential,360.001,0.200022,0.200022,1.67978,0,0.204908,-1.18498
1_1,Constant Potential,420.001,0.200054,0.200054,1.6241,0,0.23244,-1.1777
1_1,Constant Potential,480.001,0.200026,0.200026,1.5676,0,0.259038,-1.17093
1_1,Constant Potential,540.003,0.200057,0.200057,1.51453,0,0.284723,-1.16442
1_1,Constant Potential,600.003,0.200069,0.200069,1.47657,0,0.309649,-1.15925
1_1,Constant Potential,660.003,0.200063,0.200063,1.40749,0,0.333683,-1.15125
1_1,Constant Potential,720.003,0.199992,0.199992,1.38992,0,0.356995,-1.14911
1_1,Constant Potential,780.025,0.199991,0.199991,1.36043,0,0.379922,-1.14531
1_1,Constant Potential,840.025,0.199995,0.199995,1.34399,0,0.402459,-1.14304
1_1,Constant Potential,900.025,0.200022,0.200022,1.28981,0,0.424408,-1.13668
1_1,Constant Potential,960.025,0.200009,0.200009,1.29295,0,0.445931,-1.13659
1_1,Constant Potential,1020.03,0.200015,0.200015,1.28382,0,0.467404,-1.13552
1_1,Constant Potential,1080.03,0.199995,0.199995,1.25062,0,0.488524,-1.13162
1_1,Constant Potential,1140.03,0.200029,0.200029,1.24813,0,0.509347,-1.13159
1_1,Constant Potential,1200.03,0.199996,0.199996,1.21555,0,0.529878,-1.12732
1_1,Constant Potential,1260.03,0.200007,0.200007,1.17528,0,0.549801,-1.12283
1_1,Constant Potential,1320.03,0.199986,0.199986,1.42226,0,0.571448,-1.15057
1_1,Constant Potential,1380.03,0.200047,0.200047,1.49455,0,0.595755,-1.15822
1_1,Constant Potential,1440.03,0.200018,0.200018,1.83357,0,0.623489,-1.19538
1_1,Constant Potential,1500.03,0.20002,0.20002,1.76135,0,0.653447,-1.20095
1_1,Constant Potential,1560.03,0.199985,0.199985,1.54968,0,0.681039,-1.20548
1_1,Constant Potential,1620.03,0.199999,0.199999,1.40492,0,0.705661,-1.18559
1_1,Constant Potential,1680.03,0.200002,0.200002,1.32578,0,0.728417,-1.16242
1_1,Constant Potential,1740.03,0.200008,0.200008,1.14782,0,0.74903,-1.11773
1_1,Constant Potential,1800.03,0.19998,0.19998,0.789213,0,0.765172,-1.05046
1_1,Constant Potential,1860.03,0.20002,0.20002,0.67346,0,0.777361,-1.02361
1_1,Constant Potential,1920.03,0.200023,0.200023,0.637988,0,0.788289,-1.02388
1_1,Constant Potential,1980.03,0.200005,0.200005,0.626822,0,0.798829,-1.02663
1_1,Constant Potential,2040.03,0.200038,0.200038,0.634201,0,0.809338,-1.03304
1_1,Constant Potential,2100.03,0.200044,0.200044,0.613747,0,0.819738,-1.03167
1_1,Constant Potential,2160.03,0.20005,0.20005,0.613227,0,0.829962,-1.03458
1_1,Constant Potential,2220.03,0.200047,0.200047,0.605867,0,0.840121,-1.03508
1_1,Constant Potential,2280.03,0.200009,0.200009,0.608488,0,0.850241,-1.03679
1_1,Constant Potential,2340.03,0.199999,0.199999,0.603022,0,0.860337,-1.03674
1_1,Constant Potential,2400.03,0.199994,0.199994,0.592441,0,0.870299,-1.03567
