"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9954,0.199461,0.199461,0.23273,0,0.00387854,-0.984797
1_1,Constant Potential,136.31,0.199002,0.199002,1.32555,0,0.0203951,-1.17958
1_1,Constant Potential,196.31,0.199087,0.199087,1.00559,0,0.0398212,-1.14995
1_1,Constant Potential,256.31,0.199162,0.199162,0.950557,0,0.0561224,-1.14145
1_1,Constant Potential,316.31,0.199309,0.199309,0.6311,0,0.0693029,-1.10065
1_1,Constant Potential,376.31,0.199325,0.199325,0.574084,0,0.0793461,-1.09413
1_1,Constant Potential,436.31,0.199341,0.199341,0.545075,0,0.0886724,-1.09431
1_1,Constant Potential,496.31,0.199384,0.199384,0.514522,0,0.0975024,-1.08588
1_1,Constant Potential,556.31,0.199293,0.199293,0.50621,0,0.106009,-1.08683
1_1,Constant Potential,616.31,0.199358,0.199358,0.520307,0,0.114563,-1.08872
1_1,Constant Potential,676.31,0.199346,0.199346,0.53202,0,0.123332,-1.09212
1_1,Constant Potential,736.31,0.19935,0.19935,0.50935,0,0.13201,-1.08882
1_1,Constant Potential,796.31,0.199333,0.199333,0.499802,0,0.14042,-1.08687
1_1,Constant Potential,856.31,0.199373,0.199373,0.485625,0,0.148632,-1.08481
1_1,Constant Potential,916.31,0.199384,0.199384,0.476479,0,0.156649,-1.08353
1_1,Constant Potential,976.31,0.199358,0.199358,0.46916,0,0.16453,-1.08256
1_1,Constant Potential,1036.31,0.199382,0.199382,0.466235,0,0.172325,-1.0823
1_1,Constant Potential,1096.31,0.199351,0.199351,0.46206,0,0.18006,-1.07885
1_1,Constant Potential,1156.31,0.199428,0.199428,0.326413,0,0.186631,-1.04927
1_1,Constant Potential,1216.31,0.199299,0.199299,0.623112,0,0.194544,-1.10709
1_1,Constant Potential,1276.31,0.199297,0.199297,0.568299,0,0.204472,-1.09866
1_1,Constant Potential,1336.31,0.199353,0.199353,0.551006,0,0.2138,-1.09636
1_1,Constant Potential,1396.31,0.199351,0.199351,0.53922,0,0.222885,-1.09475
1_1,Constant Potential,1456.31,0.199358,0.199358,0.536318,0,0.231848,-1.09456
1_1,Constant Potential,1516.31,0.199375,0.199375,0.532013,0,0.24075,-1.09394
1_1,Constant Potential,1576.31,0.199361,0.199361,0.529351,0,0.249595,-1.09407
1_1,Constant Potential,1636.31,0.199357,0.199357,0.506994,0,0.258231,-1.08873
1_1,Constant Potential,1696.31,0.199402,0.199402,0.492303,0,0.266559,-1.08589
1_1,Constant Potential,1756.31,0.199376,0.199376,0.479541,0,0.274658,-1.08428
1_1,Constant Potential,1816.31,0.199377,0.199377,0.475196,0,0.282614,-1.08343
1_1,Constant Potential,1876.31,0.199397,0.199397,0.472771,0,0.290513,-1.08328
1_1,Constant Potential,1936.31,0.19937,0.19937,0.471239,0,0.29838,-1.08326
1_1,Constant Potential,1996.31,0.199391,0.199391,0.473437,0,0.306252,-1.0836
1_1,Constant Potential,2056.31,0.199405,0.199405,0.474903,0,0.314155,-1.08384
1_1,Constant Potential,2116.31,0.199382,0.199382,0.476079,0,0.32208,-1.08401
1_1,Constant Potential,2176.31,0.199372,0.199372,0.47679,0,0.330021,-1.08419
1_1,Constant Potential,2236.31,0.199378,0.199378,0.476773,0,0.337967,-1.08429
1_1,Constant Potential,2296.31,0.199379,0.199379,0.476914,0,0.345914,-1.08431
1_1,Constant Potential,2356.31,0.199392,0.199392,0.465092,0,0.353764,-1.08211
1_1,Constant Potential,2416.31,0.199403,0.199403,0.481042,0,0.361649,-1.0852
1_1,Constant Potential,2476.31,0.199327,0.199327,0.512177,0,0.369926,-1.09012
1_1,Constant Potential,2536.31,0.199373,0.199373,0.52335,0,0.378555,-1.09162
1_1,Constant Potential,2596.31,0.199361,0.199361,0.526259,0,0.387302,-1.09191
1_1,Constant Potential,2656.31,0.199367,0.199367,0.526007,0,0.396071,-1.09154
1_1,Constant Potential,2716.31,0.199354,0.199354,0.523335,0,0.404815,-1.09075
1_1,Constant Potential,2776.31,0.199399,0.199399,0.518893,0,0.413501,-1.09011
1_1,Constant Potential,2836.31,0.199371,0.199371,0.515232,0,0.422118,-1.08945
1_1,Constant Potential,2896.31,0.199376,0.199376,0.511376,0,0.430673,-1.08885
1_1,Constant Potential,2956.31,0.19937,0.19937,0.5087,0,0.439174,-1.08846
1_1,Constant Potential,3016.31,0.19936,0.19936,0.507934,0,0.447646,-1.08811
1_1,Constant Potential,3076.31,0.199361,0.199361,0.504935,0,0.456086,-1.08767
1_1,Constant Potential,3136.31,0.199377,0.199377,0.503343,0,0.464489,-1.08739
1_1,Constant Potential,3196.31,0.199347,0.199347,0.500662,0,0.472856,-1.08687
