"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.199648,0.199648,-0.0117275,0,-0.000195459,-0.212601
1_1,Constant Potential,120,0.199643,0.199643,-0.00569549,0,-0.000340651,-0.190196
1_1,Constant Potential,180,0.199595,0.199595,-0.00372795,0,-0.000419179,-0.170709
1_1,Constant Potential,240,0.199648,0.199648,-0.00278582,0,-0.000473461,-0.15338
1_1,Constant Potential,300,0.199635,0.199635,-0.00221678,0,-0.000515149,-0.1376
1_1,Constant Potential,360,0.199631,0.199631,-0.00181669,0,-0.000548762,-0.123226
1_1,Constant Potential,420,0.199658,0.199658,-0.00153655,0,-0.000576705,-0.109974
1_1,Constant Potential,480,0.199622,0.199622,-0.00133553,0,-0.000600639,-0.0975643
1_1,Constant Potential,540,0.199664,0.199664,-0.00123758,0,-0.000622082,-0.0859213
1_1,Constant Potential,600,0.199652,0.199652,-0.00105721,0,-0.000641205,-0.0749151
1_1,Constant Potential,660,0.199652,0.199652,-0.000974979,0,-0.00065814,-0.0645702
1_1,Constant Potential,720,0.199642,0.199642,-0.000869396,0,-0.00067351,-0.0547161
1_1,Constant Potential,780,0.199666,0.199666,-0.000822031,0,-0.000687605,-0.0453887
1_1,Constant Potential,840,0.199661,0.199661,-0.000785491,0,-0.000701001,-0.0365493
1_1,Constant Potential,900,0.199695,0.199695,-0.00072399,0,-0.00071358,-0.0280686
1_1,Constant Potential,960,0.199626,0.199626,-0.000704327,0,-0.000725483,-0.0201957
1_1,Constant Potential,1020,0.199696,0.199696,-0.000618489,0,-0.000736506,-0.0127893
1_1,Constant Potential,1080,0.199704,0.199704,-0.000590791,0,-0.000746584,-0.00578389
1_1,Constant Potential,1140,0.199654,0.199654,-0.000539391,0,-0.000756002,0.000871897
1_1,Constant Potential,1200,0.199654,0.199654,-0.000545621,0,-0.000765044,0.00724155
1_1,Constant Potential,1260,0.199673,0.199673,-0.00051251,0,-0.000773861,0.013327
1_1,Constant Potential,1320,0.199657,0.199657,-0.000499654,0,-0.000782296,0.0190829
1_1,Constant Potential,1380,0.199635,0.199635,-0.000508425,0,-0.000790697,0.024642
1_1,Constant Potential,1440,0.199646,0.199646,-0.000460777,0,-0.000798773,0.0296918
1_1,Constant Potential,1500,0.199623,0.199623,-0.000456954,0,-0.000806421,0.0345601
1_1,Constant Potential,1560,0.199677,0.199677,-0.000419306,0,-0.000813723,0.0390687
1_1,Constant Potential,1620,0.199681,0.199681,-0.00039653,0,-0.000820522,0.0435564
1_1,Constant Potential,1680,0.199652,0.199652,-0.000395588,0,-0.000827123,0.0477975
