Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm≤),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,59.9959,0.199405,0.199405,0.00284195,0,4.74E-05,-0.195254
1_1,Constant Potential,119.996,0.199404,0.199404,0.000998487,0,7.94E-05,-0.189517
1_1,Constant Potential,179.996,0.199439,0.199439,0.000528575,0,9.21E-05,-0.184508
1_1,Constant Potential,239.996,0.199417,0.199417,0.000329907,0,9.92E-05,-0.180111
1_1,Constant Potential,299.996,0.19944,0.19944,0.000219069,0,0.000103821,-0.176069
1_1,Constant Potential,359.996,0.19941,0.19941,0.000157385,0,0.000106958,-0.172534
1_1,Constant Potential,419.996,0.199425,0.199425,0.000109992,0,0.000109186,-0.169102
1_1,Constant Potential,479.996,0.199402,0.199402,6.07E-05,0,0.000110608,-0.166186
1_1,Constant Potential,539.996,0.199393,0.199393,4.63E-05,0,0.000111499,-0.163321
1_1,Constant Potential,599.996,0.199405,0.199405,1.28E-05,0,0.000111992,-0.160177
1_1,Constant Potential,659.996,0.199444,0.199444,3.06E-06,0,0.000112124,-0.157674
1_1,Constant Potential,719.996,0.199408,0.199408,-2.93E-05,0,0.000111905,-0.155374
1_1,Constant Potential,779.996,0.199397,0.199397,-3.10E-05,0,0.000111403,-0.153335
1_1,Constant Potential,839.996,0.199376,0.199376,-3.32E-05,0,0.000110868,-0.151103
1_1,Constant Potential,899.996,0.199392,0.199392,-5.71E-05,0,0.000110115,-0.149151
1_1,Constant Potential,959.996,0.199382,0.199382,-5.12E-05,0,0.000109213,-0.147243
1_1,Constant Potential,1020,0.199384,0.199384,-3.35E-05,0,0.000108507,-0.145559
1_1,Constant Potential,1080,0.199356,0.199356,-8.23E-05,0,0.000107541,-0.143829
1_1,Constant Potential,1140,0.199359,0.199359,-6.49E-05,0,0.000106315,-0.141942
1_1,Constant Potential,1200,0.199373,0.199373,-7.08E-05,0,0.000105184,-0.14038
1_1,Constant Potential,1260,0.199374,0.199374,-6.14E-05,0,0.000104083,-0.138991
1_1,Constant Potential,1320,0.199349,0.199349,-7.99E-05,0,0.000102905,-0.137433
1_1,Constant Potential,1380,0.199372,0.199372,-8.76E-05,0,0.000101509,-0.136099
1_1,Constant Potential,1440,0.19934,0.19934,-6.76E-05,0,0.000100216,-0.134775
1_1,Constant Potential,1500,0.199392,0.199392,-0.00011178,0,9.87E-05,-0.133351
1_1,Constant Potential,1560,0.199395,0.199395,-8.11E-05,0,9.71E-05,-0.132164
1_1,Constant Potential,1620,0.199394,0.199394,-6.75E-05,0,9.59E-05,-0.130944
1_1,Constant Potential,1680,0.199401,0.199401,-0.000163332,0,9.40E-05,-0.129711
1_1,Constant Potential,1740,0.199388,0.199388,-0.000106035,0,9.17E-05,-0.128627
1_1,Constant Potential,1800,0.199376,0.199376,-0.00011375,0,8.99E-05,-0.127534
1_1,Constant Potential,1860,0.199361,0.199361,-8.63E-05,0,8.82E-05,-0.126591
