Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm²),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,60.0002,0.400206,0.400206,0.00365388,0,6.09E-05,-0.566688
1_1,Constant Potential,120,0.400222,0.400222,0.00238341,0,0.000111209,-0.533854
1_1,Constant Potential,180,0.400236,0.400236,0.0021363,0,0.000148873,-0.50215
1_1,Constant Potential,240,0.400245,0.400245,0.00141641,0,0.000178479,-0.472226
1_1,Constant Potential,300,0.400166,0.400166,0.00117857,0,0.000200104,-0.444714
1_1,Constant Potential,360,0.40024,0.40024,0.00140016,0,0.000221593,-0.420496
1_1,Constant Potential,420,0.400243,0.400243,0.00112864,0,0.000242667,-0.398724
1_1,Constant Potential,480,0.400203,0.400203,0.00112109,0,0.000261414,-0.379237
1_1,Constant Potential,540,0.400218,0.400218,0.00123163,0,0.00028102,-0.361826
1_1,Constant Potential,600,0.400199,0.400199,0.00119418,0,0.000301236,-0.346349
1_1,Constant Potential,660,0.400187,0.400187,0.00102805,0,0.000319754,-0.332279
1_1,Constant Potential,720,0.400212,0.400212,0.00107708,0,0.000337297,-0.319216
1_1,Constant Potential,780,0.400204,0.400204,0.0010684,0,0.000355176,-0.307703
1_1,Constant Potential,840,0.400209,0.400209,0.000892064,0,0.000371513,-0.297562
1_1,Constant Potential,900,0.400158,0.400158,0.000837409,0,0.000385926,-0.288504
1_1,Constant Potential,960,0.40022,0.40022,0.000996431,0,0.000401208,-0.280066
1_1,Constant Potential,1020,0.400179,0.400179,0.000987582,0,0.000417741,-0.272391
1_1,Constant Potential,1080,0.400172,0.400172,0.000852387,0,0.000433074,-0.265626
1_1,Constant Potential,1140,0.400179,0.400179,0.000836211,0,0.000447146,-0.25943
1_1,Constant Potential,1200,0.400215,0.400215,0.00131243,0,0.000465051,-0.253543
1_1,Constant Potential,1260,0.400223,0.400223,0.000919868,0,0.000483654,-0.248371
1_1,Constant Potential,1320,0.400166,0.400166,0.00107793,0,0.000500302,-0.243684
1_1,Constant Potential,1380,0.400214,0.400214,0.000868329,0,0.000516521,-0.239402
1_1,Constant Potential,1440,0.400202,0.400202,0.0010544,0,0.000532543,-0.235309
1_1,Constant Potential,1500,0.400194,0.400194,0.00110027,0,0.000550499,-0.231715
1_1,Constant Potential,1560,0.400187,0.400187,0.000444537,0,0.000563372,-0.228305
1_1,Constant Potential,1620,0.400196,0.400196,0.00094142,0,0.000574922,-0.225327
1_1,Constant Potential,1680,0.400205,0.400205,0.000956641,0,0.000590739,-0.222631
1_1,Constant Potential,1740,0.400215,0.400215,0.000583452,0,0.000603573,-0.220103
1_1,Constant Potential,1800,0.400188,0.400188,0.000699811,0,0.000614267,-0.217674
1_1,Constant Potential,1860,0.400205,0.400205,0.00107031,0,0.000629018,-0.215517
1_1,Constant Potential,1920,0.400158,0.400158,0.000945156,0,0.000645814,-0.21348
1_1,Constant Potential,1980,0.400222,0.400222,0.00106367,0,0.000662554,-0.211383
1_1,Constant Potential,2040,0.400196,0.400196,0.00105314,0,0.000680194,-0.209682
1_1,Constant Potential,2100,0.400203,0.400203,0.000956656,0,0.000696942,-0.208239
1_1,Constant Potential,2160,0.400216,0.400216,0.00117046,0,0.000714668,-0.206762
