Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm≤),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,11580,0.199881,0.199881,0.688302,0,4.6392,-1.09266
1_1,Constant Potential,11640,0.199885,0.199885,0.686565,0,4.65066,-1.0926
1_1,Constant Potential,11700,0.19989,0.19989,0.683019,0,4.66207,-1.09127
1_1,Constant Potential,11760,0.199898,0.199898,0.680051,0,4.67343,-1.09094
1_1,Constant Potential,11820,0.1999,0.1999,0.679912,0,4.68476,-1.09133
1_1,Constant Potential,11880,0.199909,0.199909,0.67585,0,4.69606,-1.09034
1_1,Constant Potential,11940,0.199881,0.199881,0.674445,0,4.70731,-1.08997
1_1,Constant Potential,12000,0.199907,0.199907,0.671831,0,4.71853,-1.08895
1_1,Constant Potential,12060,0.199873,0.199873,0.668791,0,4.7297,-1.0887
1_1,Constant Potential,12120,0.199868,0.199868,0.665872,0,4.74082,-1.08743
1_1,Constant Potential,12180,0.199867,0.199867,0.661636,0,4.75189,-1.08696
1_1,Constant Potential,12240,0.199869,0.199869,0.65893,0,4.76289,-1.08599
1_1,Constant Potential,12300,0.199892,0.199892,0.65809,0,4.77387,-1.08589
1_1,Constant Potential,12360,0.199881,0.199881,0.654976,0,4.78481,-1.08513
1_1,Constant Potential,12420,0.199923,0.199923,0.655868,0,4.79573,-1.08512
1_1,Constant Potential,12480,0.199892,0.199892,0.652993,0,4.80664,-1.08446
1_1,Constant Potential,12540,0.199909,0.199909,0.651383,0,4.81751,-1.08388
1_1,Constant Potential,12600,0.199861,0.199861,0.649206,0,4.82835,-1.08474
1_1,Constant Potential,12660,0.19991,0.19991,0.648005,0,4.83916,-1.08484
1_1,Constant Potential,12720,0.199869,0.199869,0.64678,0,4.84995,-1.08502
1_1,Constant Potential,12780,0.199886,0.199886,0.645087,0,4.86071,-1.08454
1_1,Constant Potential,12840,0.1999,0.1999,0.645721,0,4.87147,-1.08474
1_1,Constant Potential,12900,0.199883,0.199883,0.643971,0,4.88222,-1.08481
1_1,Constant Potential,12960,0.199903,0.199903,0.643551,0,4.89295,-1.08434
1_1,Constant Potential,13020,0.1999,0.1999,0.646132,0,4.90369,-1.0849
1_1,Constant Potential,13080,0.199902,0.199902,0.645783,0,4.91446,-1.08555
1_1,Constant Potential,13140,0.199909,0.199909,0.644242,0,4.92521,-1.0854
1_1,Constant Potential,13200,0.199862,0.199862,0.643563,0,4.93594,-1.08569
1_1,Constant Potential,13260,0.199878,0.199878,0.643134,0,4.94666,-1.08548
1_1,Constant Potential,13320,0.199856,0.199856,0.641785,0,4.95737,-1.08448
1_1,Constant Potential,13380,0.199885,0.199885,0.639641,0,4.96805,-1.08471
1_1,Constant Potential,13440,0.199915,0.199915,0.637636,0,4.97869,-1.08456
1_1,Constant Potential,13500,0.199879,0.199879,0.637581,0,4.98932,-1.08456
1_1,Constant Potential,13560,0.199895,0.199895,0.636576,0,4.99994,-1.08448
1_1,Constant Potential,13620,0.1999,0.1999,0.634651,0,5.01053,-1.08463
1_1,Constant Potential,13680,0.199886,0.199886,0.633567,0,5.0211,-1.08384
1_1,Constant Potential,13740,0.199902,0.199902,0.630864,0,5.03164,-1.08342
1_1,Constant Potential,13800,0.199945,0.199945,0.630658,0,5.04215,-1.0831
1_1,Constant Potential,13860,0.199876,0.199876,0.629674,0,5.05265,-1.08311
1_1,Constant Potential,13920,0.199891,0.199891,0.62849,0,5.06314,-1.08281
1_1,Constant Potential,13980,0.199865,0.199865,0.625781,0,5.07359,-1.08274
1_1,Constant Potential,14040,0.1999,0.1999,0.624951,0,5.08401,-1.08264
1_1,Constant Potential,14100,0.1999,0.1999,0.625301,0,5.09443,-1.08317
1_1,Constant Potential,14160,0.199869,0.199869,0.623508,0,5.10484,-1.08343
1_1,Constant Potential,14220,0.199922,0.199922,0.620905,0,5.11521,-1.08321
1_1,Constant Potential,14280,0.199898,0.199898,0.621799,0,5.12557,-1.08367
1_1,Constant Potential,14340,0.199928,0.199928,0.62285,0,5.13594,-1.08288
1_1,Constant Potential,14400,0.199922,0.199922,0.620222,0,5.1463,-1.08366
1_1,Constant Potential,14460,0.199895,0.199895,0.616538,0,5.1566,-1.08385
1_1,Constant Potential,14520,0.199919,0.199919,0.614632,0,5.16686,-1.08392
1_1,Constant Potential,14580,0.199916,0.199916,0.614213,0,5.1771,-1.08371
1_1,Constant Potential,14640,0.199936,0.199936,0.615007,0,5.18735,-1.08428
1_1,Constant Potential,14700,0.19992,0.19992,0.61281,0,5.19758,-1.08387
1_1,Constant Potential,14760,0.199897,0.199897,0.611166,0,5.20778,-1.08357
1_1,Constant Potential,14820,0.199873,0.199873,0.609643,0,5.21795,-1.08358
1_1,Constant Potential,14880,0.199923,0.199923,0.606499,0,5.22809,-1.08309
1_1,Constant Potential,14940,0.199916,0.199916,0.605387,0,5.23818,-1.08258
1_1,Constant Potential,15000,0.19988,0.19988,0.605462,0,5.24828,-1.08303
1_1,Constant Potential,15060,0.199888,0.199888,0.603348,0,5.25835,-1.08189
1_1,Constant Potential,15120,0.199899,0.199899,0.601004,0,5.26838,-1.08073
1_1,Constant Potential,15180,0.19988,0.19988,0.600483,0,5.2784,-1.0805
1_1,Constant Potential,15240,0.199907,0.199907,0.600097,0,5.2884,-1.0817
1_1,Constant Potential,15300,0.199925,0.199925,0.599528,0,5.2984,-1.08195
1_1,Constant Potential,15360,0.199885,0.199885,0.598384,0,5.30838,-1.08203
1_1,Constant Potential,15420,0.199914,0.199914,0.596111,0,5.31834,-1.08167
1_1,Constant Potential,15480,0.199888,0.199888,0.594807,0,5.32826,-1.08135
1_1,Constant Potential,15540,0.199918,0.199918,0.592467,0,5.33815,-1.08134
1_1,Constant Potential,15600,0.19991,0.19991,0.590743,0,5.34801,-1.08099
1_1,Constant Potential,15660,0.199906,0.199906,0.588068,0,5.35784,-1.07953
1_1,Constant Potential,15720,0.199904,0.199904,0.587018,0,5.36763,-1.08014
1_1,Constant Potential,15780,0.199894,0.199894,0.585612,0,5.3774,-1.07905
1_1,Constant Potential,15840,0.1999,0.1999,0.584332,0,5.38715,-1.07888
1_1,Constant Potential,15900,0.199893,0.199893,0.582572,0,5.39688,-1.07883
1_1,Constant Potential,15960,0.19988,0.19988,0.581477,0,5.40658,-1.0784
1_1,Constant Potential,16020,0.199906,0.199906,0.581713,0,5.41627,-1.07887
1_1,Constant Potential,16080,0.199887,0.199887,0.578417,0,5.42594,-1.07741
1_1,Constant Potential,16140,0.199892,0.199892,0.577157,0,5.43557,-1.07714
1_1,Constant Potential,16200,0.19989,0.19989,0.5758,0,5.44517,-1.07691
1_1,Constant Potential,16260,0.199905,0.199905,0.580134,0,5.45481,-1.07839
1_1,Constant Potential,16320,0.1999,0.1999,0.581855,0,5.46449,-1.07928
1_1,Constant Potential,16380,0.199881,0.199881,0.581982,0,5.47419,-1.07943
1_1,Constant Potential,16440,0.199893,0.199893,0.583255,0,5.4839,-1.07967
1_1,Constant Potential,16500,0.199916,0.199916,0.58372,0,5.49362,-1.07934
1_1,Constant Potential,16560,0.199881,0.199881,0.581951,0,5.50334,-1.07948
1_1,Constant Potential,16620,0.19991,0.19991,0.580785,0,5.51303,-1.0794
1_1,Constant Potential,16680,0.199903,0.199903,0.580914,0,5.52271,-1.07996
1_1,Constant Potential,16740,0.199925,0.199925,0.580276,0,5.53239,-1.0799
1_1,Constant Potential,16800,0.199902,0.199902,0.580019,0,5.54205,-1.08088
1_1,Constant Potential,16860,0.199888,0.199888,0.580002,0,5.55172,-1.08052
1_1,Constant Potential,16920,0.199908,0.199908,0.578577,0,5.56138,-1.08056
1_1,Constant Potential,16980,0.199884,0.199884,0.578287,0,5.57102,-1.08026
1_1,Constant Potential,17040,0.199914,0.199914,0.577858,0,5.58065,-1.07994
1_1,Constant Potential,17100,0.199915,0.199915,0.576448,0,5.59027,-1.0801
1_1,Constant Potential,17160,0.199909,0.199909,0.576062,0,5.59987,-1.08006
1_1,Constant Potential,17220,0.199878,0.199878,0.57579,0,5.60947,-1.08054
1_1,Constant Potential,17280,0.199911,0.199911,0.573993,0,5.61905,-1.08064
1_1,Constant Potential,17340,0.199885,0.199885,0.572368,0,5.62861,-1.08041
1_1,Constant Potential,17400,0.199893,0.199893,0.570785,0,5.63813,-1.07993
1_1,Constant Potential,17460,0.199904,0.199904,0.569238,0,5.64763,-1.07962
1_1,Constant Potential,17520,0.199861,0.199861,0.568944,0,5.65712,-1.07919
1_1,Constant Potential,17580,0.199891,0.199891,0.568367,0,5.6666,-1.07902
1_1,Constant Potential,17640,0.199911,0.199911,0.568506,0,5.67607,-1.07941
1_1,Constant Potential,17700,0.199873,0.199873,0.567679,0,5.68554,-1.07911
1_1,Constant Potential,17760,0.199909,0.199909,0.566737,0,5.69499,-1.07842
1_1,Constant Potential,17820,0.199901,0.199901,0.565945,0,5.70443,-1.07863
1_1,Constant Potential,17880,0.1999,0.1999,0.565876,0,5.71386,-1.07909
1_1,Constant Potential,17940,0.199895,0.199895,0.565452,0,5.72329,-1.07892
1_1,Constant Potential,18000,0.199904,0.199904,0.565193,0,5.73271,-1.07897
1_1,Constant Potential,18060,0.199901,0.199901,0.563493,0,5.74212,-1.07872
1_1,Constant Potential,18120,0.199924,0.199924,0.562892,0,5.75151,-1.07935
1_1,Constant Potential,18180,0.199912,0.199912,0.562943,0,5.76089,-1.07921
1_1,Constant Potential,18240,0.199906,0.199906,0.560904,0,5.77025,-1.07985
1_1,Constant Potential,18300,0.199899,0.199899,0.559937,0,5.77959,-1.08
1_1,Constant Potential,18360,0.199905,0.199905,0.559831,0,5.78892,-1.07946
1_1,Constant Potential,18420,0.199912,0.199912,0.560038,0,5.79826,-1.07927
1_1,Constant Potential,18480,0.199911,0.199911,0.559914,0,5.80759,-1.07922
1_1,Constant Potential,18540,0.19993,0.19993,0.558007,0,5.81691,-1.07871
1_1,Constant Potential,18600,0.199914,0.199914,0.555637,0,5.82619,-1.07853
1_1,Constant Potential,18660,0.199918,0.199918,0.555126,0,5.83544,-1.07867
1_1,Constant Potential,18720,0.199919,0.199919,0.556147,0,5.8447,-1.07918
1_1,Constant Potential,18780,0.199875,0.199875,0.554985,0,5.85396,-1.07864
1_1,Constant Potential,18840,0.1999,0.1999,0.554046,0,5.8632,-1.07874
1_1,Constant Potential,18900,0.199891,0.199891,0.553688,0,5.87244,-1.07829
1_1,Constant Potential,18960,0.199888,0.199888,0.553347,0,5.88166,-1.07872
1_1,Constant Potential,19020,0.199867,0.199867,0.551916,0,5.89087,-1.07754
1_1,Constant Potential,19080,0.199889,0.199889,0.550734,0,5.90006,-1.07675
1_1,Constant Potential,19140,0.199876,0.199876,0.550097,0,5.90923,-1.0763
1_1,Constant Potential,19200,0.199887,0.199887,0.549066,0,5.91839,-1.07654
1_1,Constant Potential,19260,0.199883,0.199883,0.548746,0,5.92754,-1.07614
1_1,Constant Potential,19320,0.19991,0.19991,0.547932,0,5.93668,-1.07629
1_1,Constant Potential,19380,0.199906,0.199906,0.548302,0,5.94582,-1.07741
1_1,Constant Potential,19440,0.199933,0.199933,0.548345,0,5.95495,-1.07771
1_1,Constant Potential,19500,0.199933,0.199933,0.547652,0,5.96409,-1.07744
1_1,Constant Potential,19560,0.199882,0.199882,0.545593,0,5.9732,-1.07674
1_1,Constant Potential,19620,0.199889,0.199889,0.545106,0,5.98229,-1.07685
1_1,Constant Potential,19680,0.199904,0.199904,0.54412,0,5.99136,-1.07591
1_1,Constant Potential,19740,0.199878,0.199878,0.544782,0,6.00044,-1.07631
1_1,Constant Potential,19800,0.199901,0.199901,0.545033,0,6.00952,-1.07634
1_1,Constant Potential,19860,0.199912,0.199912,0.544237,0,6.0186,-1.07556
1_1,Constant Potential,19920,0.199892,0.199892,0.543412,0,6.02766,-1.0758
1_1,Constant Potential,19980,0.199898,0.199898,0.544152,0,6.03672,-1.07591
1_1,Constant Potential,20040,0.199884,0.199884,0.542677,0,6.04578,-1.07562
1_1,Constant Potential,20100,0.199877,0.199877,0.542067,0,6.05482,-1.07539
1_1,Constant Potential,20160,0.199896,0.199896,0.540457,0,6.06384,-1.07568
1_1,Constant Potential,20220,0.199882,0.199882,0.540396,0,6.07285,-1.07554
1_1,Constant Potential,20280,0.199875,0.199875,0.538793,0,6.08184,-1.07484
1_1,Constant Potential,20340,0.199888,0.199888,0.53742,0,6.09081,-1.07439
1_1,Constant Potential,20400,0.199876,0.199876,0.536795,0,6.09976,-1.07407
1_1,Constant Potential,20460,0.199859,0.199859,0.535698,0,6.1087,-1.07374
1_1,Constant Potential,20520,0.199916,0.199916,0.53664,0,6.11764,-1.07433
1_1,Constant Potential,20580,0.199903,0.199903,0.535407,0,6.12657,-1.07428
1_1,Constant Potential,20640,0.199887,0.199887,0.53445,0,6.13549,-1.07421
1_1,Constant Potential,20700,0.199891,0.199891,0.532983,0,6.14438,-1.07406
1_1,Constant Potential,20760,0.19991,0.19991,0.532344,0,6.15326,-1.07394
1_1,Constant Potential,20820,0.199874,0.199874,0.531977,0,6.16213,-1.07449
1_1,Constant Potential,20880,0.199886,0.199886,0.531369,0,6.17099,-1.0739
1_1,Constant Potential,20940,0.199894,0.199894,0.531604,0,6.17985,-1.07361
1_1,Constant Potential,21000,0.199895,0.199895,0.530428,0,6.1887,-1.07358
1_1,Constant Potential,21060,0.19989,0.19989,0.528356,0,6.19752,-1.07305
1_1,Constant Potential,21120,0.199872,0.199872,0.528282,0,6.20633,-1.0731
1_1,Constant Potential,21180,0.199884,0.199884,0.528657,0,6.21513,-1.07307
1_1,Constant Potential,21240,0.199909,0.199909,0.527318,0,6.22393,-1.07316
1_1,Constant Potential,21300,0.199868,0.199868,0.526433,0,6.23271,-1.07283
1_1,Constant Potential,21360,0.199878,0.199878,0.525686,0,6.24148,-1.07189
1_1,Constant Potential,21420,0.199878,0.199878,0.524183,0,6.25023,-1.0719
1_1,Constant Potential,21480,0.199896,0.199896,0.52181,0,6.25895,-1.07119
1_1,Constant Potential,21540,0.199888,0.199888,0.520483,0,6.26763,-1.07079
1_1,Constant Potential,21600,0.199864,0.199864,0.519505,0,6.2763,-1.07066
1_1,Constant Potential,21660,0.199896,0.199896,0.521202,0,6.28497,-1.07103
1_1,Constant Potential,21720,0.199892,0.199892,0.522515,0,6.29367,-1.0718
1_1,Constant Potential,21780,0.199867,0.199867,0.52318,0,6.30238,-1.07207
1_1,Constant Potential,21840,0.199868,0.199868,0.523663,0,6.31111,-1.07155
1_1,Constant Potential,21900,0.199873,0.199873,0.524055,0,6.31984,-1.07223
1_1,Constant Potential,21960,0.199853,0.199853,0.523996,0,6.32857,-1.07248
1_1,Constant Potential,22020,0.199892,0.199892,0.523706,0,6.3373,-1.07291
1_1,Constant Potential,22080,0.199879,0.199879,0.523349,0,6.34603,-1.07299
1_1,Constant Potential,22140,0.199853,0.199853,0.52336,0,6.35475,-1.07306
1_1,Constant Potential,22200,0.19988,0.19988,0.521675,0,6.36346,-1.07256
1_1,Constant Potential,22260,0.199885,0.199885,0.522668,0,6.37216,-1.07273
1_1,Constant Potential,22320,0.199879,0.199879,0.522001,0,6.38087,-1.07215
1_1,Constant Potential,22380,0.199865,0.199865,0.521787,0,6.38957,-1.07124
1_1,Constant Potential,22440,0.19988,0.19988,0.521359,0,6.39826,-1.07197
1_1,Constant Potential,22500,0.199881,0.199881,0.520562,0,6.40694,-1.07265
1_1,Constant Potential,22560,0.199866,0.199866,0.520515,0,6.41562,-1.07242
1_1,Constant Potential,22620,0.199871,0.199871,0.52093,0,6.4243,-1.07268
1_1,Constant Potential,22680,0.199879,0.199879,0.520352,0,6.43297,-1.07254
1_1,Constant Potential,22740,0.199888,0.199888,0.519543,0,6.44164,-1.07247
1_1,Constant Potential,22800,0.199902,0.199902,0.51916,0,6.4503,-1.07247
1_1,Constant Potential,22860,0.199892,0.199892,0.51944,0,6.45895,-1.07245
1_1,Constant Potential,22920,0.199894,0.199894,0.520407,0,6.46762,-1.07323
1_1,Constant Potential,22980,0.199891,0.199891,0.519787,0,6.47628,-1.0734
1_1,Constant Potential,23040,0.199933,0.199933,0.518899,0,6.48494,-1.07331
1_1,Constant Potential,23100,0.199884,0.199884,0.518383,0,6.49358,-1.0732
1_1,Constant Potential,23160,0.199898,0.199898,0.518281,0,6.50222,-1.07275
1_1,Constant Potential,23220,0.199882,0.199882,0.517798,0,6.51086,-1.07275
1_1,Constant Potential,23280,0.199909,0.199909,0.517785,0,6.51949,-1.07299
1_1,Constant Potential,23340,0.199887,0.199887,0.516632,0,6.52811,-1.07262
1_1,Constant Potential,23400,0.199896,0.199896,0.51593,0,6.53671,-1.07206
1_1,Constant Potential,23460,0.199871,0.199871,0.516685,0,6.54532,-1.0724
1_1,Constant Potential,23520,0.199868,0.199868,0.516073,0,6.55392,-1.0718
1_1,Constant Potential,23580,0.199871,0.199871,0.515414,0,6.56252,-1.07181
1_1,Constant Potential,23640,0.199882,0.199882,0.514452,0,6.5711,-1.07184
1_1,Constant Potential,23700,0.199878,0.199878,0.514277,0,6.57967,-1.07141
1_1,Constant Potential,23760,0.199886,0.199886,0.51401,0,6.58824,-1.07174
1_1,Constant Potential,23820,0.199902,0.199902,0.513713,0,6.59681,-1.07123
1_1,Constant Potential,23880,0.199891,0.199891,0.513906,0,6.60537,-1.07075
1_1,Constant Potential,23940,0.199883,0.199883,0.514854,0,6.61394,-1.07118
1_1,Constant Potential,24000,0.199872,0.199872,0.513291,0,6.62251,-1.07089
1_1,Constant Potential,24060,0.19988,0.19988,0.513184,0,6.63107,-1.07075
1_1,Constant Potential,24120,0.199894,0.199894,0.512821,0,6.63962,-1.07107
1_1,Constant Potential,24180,0.19989,0.19989,0.512815,0,6.64816,-1.07112
1_1,Constant Potential,24240,0.199907,0.199907,0.51247,0,6.65671,-1.07155
1_1,Constant Potential,24300,0.199891,0.199891,0.511703,0,6.66524,-1.0712
1_1,Constant Potential,24360,0.199857,0.199857,0.511944,0,6.67377,-1.07116
1_1,Constant Potential,24420,0.199885,0.199885,0.511584,0,6.6823,-1.07121
1_1,Constant Potential,24480,0.199891,0.199891,0.512011,0,6.69083,-1.07112
1_1,Constant Potential,24540,0.199858,0.199858,0.511388,0,6.69936,-1.07131
1_1,Constant Potential,24600,0.199895,0.199895,0.511003,0,6.70788,-1.07063
1_1,Constant Potential,24660,0.199873,0.199873,0.51185,0,6.7164,-1.07063
1_1,Constant Potential,24720,0.199875,0.199875,0.512262,0,6.72494,-1.07086
1_1,Constant Potential,24780,0.199918,0.199918,0.511742,0,6.73347,-1.07108
1_1,Constant Potential,24840,0.199906,0.199906,0.511532,0,6.742,-1.07109
1_1,Constant Potential,24900,0.1999,0.1999,0.511289,0,6.75052,-1.07132
1_1,Constant Potential,24960,0.199867,0.199867,0.510928,0,6.75904,-1.07145
1_1,Constant Potential,25020,0.199916,0.199916,0.509632,0,6.76754,-1.07117
1_1,Constant Potential,25080,0.19991,0.19991,0.510416,0,6.77605,-1.07125
1_1,Constant Potential,25140,0.199891,0.199891,0.510591,0,6.78455,-1.07117
1_1,Constant Potential,25200,0.199901,0.199901,0.509014,0,6.79305,-1.07068
1_1,Constant Potential,25260,0.199905,0.199905,0.510338,0,6.80154,-1.07061
1_1,Constant Potential,25320,0.199896,0.199896,0.509551,0,6.81004,-1.0709
1_1,Constant Potential,25380,0.199899,0.199899,0.50817,0,6.81852,-1.0706
1_1,Constant Potential,25440,0.199886,0.199886,0.508028,0,6.82699,-1.0706
1_1,Constant Potential,25500,0.199871,0.199871,0.50747,0,6.83546,-1.07045
1_1,Constant Potential,25560,0.199894,0.199894,0.507665,0,6.84392,-1.07064
1_1,Constant Potential,25620,0.199875,0.199875,0.506628,0,6.85237,-1.07029
1_1,Constant Potential,25680,0.199854,0.199854,0.506137,0,6.86081,-1.07002
1_1,Constant Potential,25740,0.199906,0.199906,0.506672,0,6.86925,-1.06986
1_1,Constant Potential,25800,0.199872,0.199872,0.506431,0,6.87769,-1.07026
1_1,Constant Potential,25860,0.19989,0.19989,0.506836,0,6.88613,-1.07037
1_1,Constant Potential,25920,0.199876,0.199876,0.506153,0,6.89458,-1.06988
1_1,Constant Potential,25980,0.199893,0.199893,0.505838,0,6.90301,-1.07011
1_1,Constant Potential,26040,0.199898,0.199898,0.505087,0,6.91143,-1.06929
1_1,Constant Potential,26100,0.199902,0.199902,0.504573,0,6.91985,-1.06962
1_1,Constant Potential,26160,0.19989,0.19989,0.504707,0,6.92826,-1.06939
1_1,Constant Potential,26220,0.199894,0.199894,0.503877,0,6.93666,-1.06902
1_1,Constant Potential,26280,0.199859,0.199859,0.502827,0,6.94505,-1.06933
1_1,Constant Potential,26340,0.199903,0.199903,0.502816,0,6.95343,-1.06926
1_1,Constant Potential,26400,0.19988,0.19988,0.502763,0,6.96181,-1.06912
1_1,Constant Potential,26460,0.199887,0.199887,0.502454,0,6.97019,-1.06912
1_1,Constant Potential,26520,0.199887,0.199887,0.502532,0,6.97856,-1.06802
1_1,Constant Potential,26580,0.199919,0.199919,0.501125,0,6.98693,-1.06846
1_1,Constant Potential,26640,0.199901,0.199901,0.501538,0,6.99528,-1.06846
1_1,Constant Potential,26700,0.199898,0.199898,0.500493,0,7.00363,-1.06822
1_1,Constant Potential,26760,0.199875,0.199875,0.499595,0,7.01197,-1.06765
1_1,Constant Potential,26820,0.199903,0.199903,0.498419,0,7.02028,-1.06773
1_1,Constant Potential,26880,0.199888,0.199888,0.498683,0,7.02859,-1.06779
