Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm≤),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,59.9925,0.200681,0.200681,-0.000127037,0,-2.12E-06,-0.197023
1_1,Constant Potential,119.992,0.200705,0.200705,-0.000478052,0,-7.16E-06,-0.193058
1_1,Constant Potential,179.993,0.20068,0.20068,-0.000231479,0,-1.31E-05,-0.189504
1_1,Constant Potential,239.992,0.200703,0.200703,-0.000350666,0,-1.79E-05,-0.186158
1_1,Constant Potential,299.992,0.200674,0.200674,-6.41E-05,0,-2.14E-05,-0.183011
1_1,Constant Potential,359.992,0.200701,0.200701,-0.000360167,0,-2.49E-05,-0.180056
1_1,Constant Potential,419.992,0.200707,0.200707,-0.000328022,0,-3.07E-05,-0.177274
1_1,Constant Potential,479.992,0.200722,0.200722,-0.000479577,0,-3.74E-05,-0.17462
1_1,Constant Potential,539.992,0.200672,0.200672,-0.000264454,0,-4.36E-05,-0.1722
1_1,Constant Potential,599.993,0.200676,0.200676,-0.000368895,0,-4.89E-05,-0.169914
1_1,Constant Potential,659.992,0.200661,0.200661,-0.000204099,0,-5.36E-05,-0.167766
1_1,Constant Potential,719.992,0.200684,0.200684,-0.000269818,0,-5.76E-05,-0.165788
1_1,Constant Potential,779.992,0.200697,0.200697,-0.000300282,0,-6.23E-05,-0.163959
1_1,Constant Potential,839.992,0.200711,0.200711,-0.000332116,0,-6.76E-05,-0.162197
1_1,Constant Potential,899.993,0.200685,0.200685,-0.000397865,0,-7.37E-05,-0.160604
1_1,Constant Potential,959.992,0.200658,0.200658,-0.000310801,0,-7.96E-05,-0.159095
1_1,Constant Potential,1019.99,0.200638,0.200638,-0.00031755,0,-8.48E-05,-0.157693
1_1,Constant Potential,1079.99,0.200664,0.200664,-0.000536172,0,-9.19E-05,-0.156353
1_1,Constant Potential,1139.99,0.200714,0.200714,-0.000509904,0,-0.00010066,-0.155141
1_1,Constant Potential,1199.99,0.200692,0.200692,-0.000672348,0,-0.000110513,-0.153955
1_1,Constant Potential,1259.99,0.200685,0.200685,-0.000292522,0,-0.000118553,-0.152984
1_1,Constant Potential,1319.99,0.200697,0.200697,-0.000398577,0,-0.000124312,-0.151974
1_1,Constant Potential,1379.99,0.200677,0.200677,-0.000561412,0,-0.000132312,-0.151007
1_1,Constant Potential,1439.99,0.200711,0.200711,-0.000604559,0,-0.000142029,-0.15017
1_1,Constant Potential,1499.99,0.200703,0.200703,-0.000533774,0,-0.000151515,-0.149334
1_1,Constant Potential,1559.99,0.200693,0.200693,-0.000234587,0,-0.000157918,-0.148607
1_1,Constant Potential,1619.99,0.200705,0.200705,-0.000337959,0,-0.000162689,-0.1479
1_1,Constant Potential,1679.99,0.200672,0.200672,-0.000377017,0,-0.000168647,-0.147241
1_1,Constant Potential,1739.99,0.200698,0.200698,-0.000362935,0,-0.000174813,-0.146611
1_1,Constant Potential,1799.99,0.200696,0.200696,-0.000302737,0,-0.000180361,-0.146071
1_1,Constant Potential,1859.99,0.200674,0.200674,-0.000525454,0,-0.000187262,-0.145459
1_1,Constant Potential,1919.99,0.2007,0.2007,-0.000328957,0,-0.000194382,-0.144993
1_1,Constant Potential,1979.99,0.200669,0.200669,-0.000400702,0,-0.000200463,-0.144495
1_1,Constant Potential,2039.99,0.20072,0.20072,-0.000294676,0,-0.000206258,-0.144041
1_1,Constant Potential,2099.99,0.20069,0.20069,-0.000414205,0,-0.000212165,-0.143596
1_1,Constant Potential,2159.99,0.200677,0.200677,-0.000175211,0,-0.000217077,-0.143257
1_1,Constant Potential,2219.99,0.200682,0.200682,-0.000570609,0,-0.000223292,-0.14287
1_1,Constant Potential,2279.99,0.200676,0.200676,-0.000603694,0,-0.000233078,-0.142495
1_1,Constant Potential,2339.99,0.200665,0.200665,-0.000440731,0,-0.000241781,-0.14211
1_1,Constant Potential,2399.99,0.200697,0.200697,-0.000326301,0,-0.000248173,-0.141788
1_1,Constant Potential,2459.99,0.200697,0.200697,-0.000249765,0,-0.000252974,-0.14151
1_1,Constant Potential,2519.99,0.200682,0.200682,-0.000271435,0,-0.000257317,-0.141201
1_1,Constant Potential,2579.99,0.200689,0.200689,-0.000347448,0,-0.000262475,-0.140883
1_1,Constant Potential,2639.99,0.200682,0.200682,-0.000577009,0,-0.000270178,-0.140606
1_1,Constant Potential,2699.99,0.200654,0.200654,-0.000356775,0,-0.00027796,-0.140358
1_1,Constant Potential,2759.99,0.200713,0.200713,-0.000374881,0,-0.000284057,-0.14011
1_1,Constant Potential,2819.99,0.200662,0.200662,-0.000405494,0,-0.00029056,-0.139897
1_1,Constant Potential,2879.99,0.200732,0.200732,-0.000200794,0,-0.000295613,-0.139703
1_1,Constant Potential,2939.99,0.200669,0.200669,-0.000416792,0,-0.000300759,-0.13941
1_1,Constant Potential,2999.99,0.200669,0.200669,-0.000435589,0,-0.000307862,-0.139192
1_1,Constant Potential,3059.99,0.200705,0.200705,-0.000472583,0,-0.00031543,-0.138977
1_1,Constant Potential,3119.99,0.200684,0.200684,-0.000358884,0,-0.000322359,-0.138782
1_1,Constant Potential,3179.99,0.200683,0.200683,-0.00015306,0,-0.000326625,-0.138581
1_1,Constant Potential,3239.99,0.200687,0.200687,-0.000414452,0,-0.000331355,-0.138375
1_1,Constant Potential,3299.99,0.200646,0.200646,-0.000259688,0,-0.000336973,-0.138267
1_1,Constant Potential,3359.99,0.200694,0.200694,-0.00051832,0,-0.000343456,-0.138049
1_1,Constant Potential,3419.99,0.200693,0.200693,-0.000667165,0,-0.000353335,-0.137847
1_1,Constant Potential,3479.99,0.200714,0.200714,-0.000245046,0,-0.000360937,-0.137748
1_1,Constant Potential,3539.99,0.200714,0.200714,-0.000384128,0,-0.00036618,-0.137573
1_1,Constant Potential,3599.99,0.200638,0.200638,-0.000545628,0,-0.000373928,-0.137368
1_1,Constant Potential,3659.99,0.200712,0.200712,-0.000602476,0,-0.000383495,-0.137251
1_1,Constant Potential,3719.99,0.200661,0.200661,-0.00019881,0,-0.000390173,-0.137102
1_1,Constant Potential,3779.99,0.200678,0.200678,-0.000436742,0,-0.000395469,-0.136843
1_1,Constant Potential,3839.99,0.200665,0.200665,-0.000279931,0,-0.000401441,-0.136694
1_1,Constant Potential,3899.99,0.20068,0.20068,-0.00051298,0,-0.000408049,-0.136538
1_1,Constant Potential,3959.99,0.200659,0.200659,-0.000323449,0,-0.000415019,-0.136369
1_1,Constant Potential,4019.99,0.200688,0.200688,-0.000187753,0,-0.000419279,-0.136243
1_1,Constant Potential,4079.99,0.200709,0.200709,-0.000446409,0,-0.000424564,-0.136109
1_1,Constant Potential,4139.99,0.200639,0.200639,-0.000385024,0,-0.000431492,-0.135885
1_1,Constant Potential,4199.99,0.200657,0.200657,-0.00036956,0,-0.000437781,-0.13582
