Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm²),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,60.0001,0.199988,0.199988,-0.00500004,0,-8.33E-05,0.199544
1_1,Constant Potential,120,0.200018,0.200018,-0.00474381,0,-0.000164533,0.200872
1_1,Constant Potential,180,0.200027,0.200027,-0.00487598,0,-0.000244698,0.201912
1_1,Constant Potential,240,0.20003,0.20003,-0.00473836,0,-0.000324817,0.202678
1_1,Constant Potential,300,0.200022,0.200022,-0.00456392,0,-0.000402336,0.203309
1_1,Constant Potential,360,0.200014,0.200014,-0.00440298,0,-0.000477061,0.203825
1_1,Constant Potential,420,0.199966,0.199966,-0.0043903,0,-0.000550338,0.204331
1_1,Constant Potential,480,0.200047,0.200047,-0.00433423,0,-0.000623042,0.204698
1_1,Constant Potential,540,0.199969,0.199969,-0.00449342,0,-0.000696606,0.204945
1_1,Constant Potential,600,0.199969,0.199969,-0.00431444,0,-0.000770005,0.205128
1_1,Constant Potential,660,0.2,0.2,-0.00433897,0,-0.000842117,0.205317
1_1,Constant Potential,720,0.199973,0.199973,-0.00429509,0,-0.000914067,0.205447
1_1,Constant Potential,780,0.199996,0.199996,-0.00375685,0,-0.000981167,0.205583
1_1,Constant Potential,840,0.199989,0.199989,-0.00381502,0,-0.00104427,0.205705
1_1,Constant Potential,900,0.20004,0.20004,-0.00394001,0,-0.00110889,0.205865
1_1,Constant Potential,960,0.200005,0.200005,-0.00381534,0,-0.00117352,0.205887
1_1,Constant Potential,1020,0.200011,0.200011,-0.00402569,0,-0.00123886,0.205985
1_1,Constant Potential,1080,0.200033,0.200033,-0.00412817,0,-0.00130681,0.206058
1_1,Constant Potential,1140,0.200022,0.200022,-0.00382107,0,-0.00137305,0.206094
1_1,Constant Potential,1200,0.199996,0.199996,-0.00362621,0,-0.00143511,0.206185
1_1,Constant Potential,1260,0.200016,0.200016,-0.00445059,0,-0.00150242,0.206383
1_1,Constant Potential,1320,0.200025,0.200025,-0.00426916,0,-0.00157509,0.206477
1_1,Constant Potential,1380,0.199988,0.199988,-0.00390333,0,-0.00164319,0.206517
1_1,Constant Potential,1440,0.199993,0.199993,-0.00365699,0,-0.00170619,0.206553
1_1,Constant Potential,1500,0.200019,0.200019,-0.00396729,0,-0.00176973,0.20669
1_1,Constant Potential,1560,0.200066,0.200066,-0.00425506,0,-0.00183825,0.206746
1_1,Constant Potential,1620,0.200071,0.200071,-0.00431131,0,-0.00190963,0.206834
1_1,Constant Potential,1680,0.200067,0.200067,-0.00370951,0,-0.00197647,0.206895
1_1,Constant Potential,1740,0.200069,0.200069,-0.00405506,0,-0.00204118,0.20705
1_1,Constant Potential,1800,0.200054,0.200054,-0.0041489,0,-0.00210954,0.20705
1_1,Constant Potential,1860,0.200023,0.200023,-0.00365009,0,-0.00217454,0.207068
1_1,Constant Potential,1920,0.200078,0.200078,-0.00392645,0,-0.00223767,0.207129
