Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm≤),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,60.0001,0.199908,0.199908,-0.0017312,0,-2.89E-05,0.0522391
1_1,Constant Potential,120,0.199922,0.199922,-0.00223585,0,-6.19E-05,0.0510732
1_1,Constant Potential,180,0.199915,0.199915,-0.00223185,0,-9.91E-05,0.0506926
1_1,Constant Potential,240,0.199901,0.199901,-0.00191421,0,-0.000133693,0.0508862
1_1,Constant Potential,301,0.199884,0.199884,-0.001484,0,-0.000162484,0.0513291
1_1,Constant Potential,361,0.199906,0.199906,-0.00150217,0,-0.000187368,0.0519902
1_1,Constant Potential,421,0.199935,0.199935,-0.00153486,0,-0.000212677,0.0527392
1_1,Constant Potential,481,0.199931,0.199931,-0.00121782,0,-0.000235616,0.053733
1_1,Constant Potential,541,0.199915,0.199915,-0.0017917,0,-0.000260695,0.0546885
1_1,Constant Potential,601,0.199919,0.199919,-0.0016788,0,-0.000289616,0.0557685
1_1,Constant Potential,661,0.199926,0.199926,-0.00134083,0,-0.00031478,0.0568955
1_1,Constant Potential,721,0.199901,0.199901,-0.00102507,0,-0.000334496,0.0581217
1_1,Constant Potential,781,0.19993,0.19993,-0.00172337,0,-0.000357399,0.0595601
1_1,Constant Potential,841,0.199901,0.199901,-0.00151728,0,-0.000384405,0.0609935
1_1,Constant Potential,901,0.1999,0.1999,-0.00186534,0,-0.000412593,0.0624282
1_1,Constant Potential,961,0.199894,0.199894,-0.00129032,0,-0.00043889,0.0638053
1_1,Constant Potential,1021,0.199917,0.199917,-0.00129316,0,-0.000460419,0.0652642
1_1,Constant Potential,1081,0.199909,0.199909,-0.00155545,0,-0.000484158,0.066935
1_1,Constant Potential,1142,0.199874,0.199874,-0.00158537,0,-0.000510768,0.0685758
1_1,Constant Potential,1202,0.19989,0.19989,-0.000929799,0,-0.000531727,0.0701364
1_1,Constant Potential,1262,0.199915,0.199915,-0.000857146,0,-0.000546619,0.0717398
1_1,Constant Potential,1322,0.199918,0.199918,-0.00181782,0,-0.00056891,0.0739214
1_1,Constant Potential,1384,0.199899,0.199899,-0.00198513,0,-0.000601658,0.0753294
1_1,Constant Potential,1444,0.199915,0.199915,-0.00118542,0,-0.000628079,0.0769518
1_1,Constant Potential,1504,0.199877,0.199877,-0.00113428,0,-0.00064741,0.078826
1_1,Constant Potential,1564,0.19991,0.19991,-0.00146976,0,-0.00066911,0.0806144
1_1,Constant Potential,1624,0.199887,0.199887,-0.00123309,0,-0.000691634,0.082335
1_1,Constant Potential,1684,0.199935,0.199935,-0.00109208,0,-0.00071101,0.0841352
1_1,Constant Potential,1745,0.199932,0.199932,-0.00128585,0,-0.000731157,0.0859717
1_1,Constant Potential,1805,0.199905,0.199905,-0.000558236,0,-0.000746524,0.0878244
1_1,Constant Potential,1865,0.199904,0.199904,-0.00207762,0,-0.000768489,0.090015
1_1,Constant Potential,1925,0.199907,0.199907,-0.000877419,0,-0.000793115,0.0916456
1_1,Constant Potential,1985,0.199916,0.199916,-0.00179618,0,-0.000815395,0.0935825
1_1,Constant Potential,2047,0.199911,0.199911,-0.0022208,0,-0.000849985,0.0955346
1_1,Constant Potential,2107,0.199923,0.199923,-0.00135869,0,-0.000879814,0.0974121
1_1,Constant Potential,2167,0.199917,0.199917,-0.00177844,0,-0.000905957,0.099336
1_1,Constant Potential,2227,0.199878,0.199878,-0.00125604,0,-0.000931245,0.101303
1_1,Constant Potential,2287,0.199927,0.199927,-0.00159087,0,-0.000954969,0.103375
1_1,Constant Potential,2347,0.199928,0.199928,-0.00144852,0,-0.000980297,0.105429
1_1,Constant Potential,2407,0.199907,0.199907,-0.00164443,0,-0.00100607,0.109166
1_1,Constant Potential,2469,0.199942,0.199942,-0.00131188,0,-0.00103153,0.114495
1_1,Constant Potential,2530,0.199922,0.199922,-0.00155187,0,-0.00105579,0.115844
1_1,Constant Potential,2592,0.199924,0.199924,-0.00148917,0,-0.00108198,0.117586
1_1,Constant Potential,2652,0.19994,0.19994,-0.00148611,0,-0.00110677,0.119523
1_1,Constant Potential,2712,0.199902,0.199902,-0.00132927,0,-0.00113023,0.121357
1_1,Constant Potential,2775,0.19987,0.19987,-0.00354032,0,-0.00117284,0.123565
1_1,Constant Potential,2835,0.199935,0.199935,-0.00163873,0,-0.001216,0.125488
1_1,Constant Potential,2895,0.199897,0.199897,-0.00135168,0,-0.00124092,0.127552
1_1,Constant Potential,2955,0.199918,0.199918,-0.00149433,0,-0.00126464,0.129543
1_1,Constant Potential,3016,0.199915,0.199915,-0.00130339,0,-0.00128834,0.131739
1_1,Constant Potential,3076,0.19991,0.19991,-0.000186678,0,-0.00130076,0.133881
1_1,Constant Potential,3136,0.199951,0.199951,-0.00109928,0,-0.00131147,0.136183
1_1,Constant Potential,3196,0.199948,0.199948,-0.00155622,0,-0.0013336,0.138394
1_1,Constant Potential,3256,0.199925,0.199925,-0.00107915,0,-0.00135556,0.140528
1_1,Constant Potential,3318,0.199915,0.199915,-0.00133068,0,-0.00137632,0.142986
1_1,Constant Potential,3378,0.199937,0.199937,-0.000929479,0,-0.00139515,0.14512
1_1,Constant Potential,3439,0.199945,0.199945,-0.00144881,0,-0.0014153,0.147471
1_1,Constant Potential,3499,0.199932,0.199932,-0.00123284,0,-0.00143765,0.149724
1_1,Constant Potential,3559,0.199935,0.199935,-0.000967443,0,-0.00145598,0.152144
1_1,Constant Potential,3619,0.199931,0.199931,-0.0007575,0,-0.00147036,0.154548
1_1,Constant Potential,3679,0.199922,0.199922,-0.000911399,0,-0.00148427,0.156781
1_1,Constant Potential,3739,0.199918,0.199918,-0.00119533,0,-0.00150182,0.159122
1_1,Constant Potential,3799,0.199901,0.199901,-0.00088305,0,-0.00151914,0.16151
1_1,Constant Potential,3861,0.199908,0.199908,-0.00142937,0,-0.00153905,0.163938
1_1,Constant Potential,3921,0.199897,0.199897,-0.00112117,0,-0.00156031,0.166301
1_1,Constant Potential,3981,0.199903,0.199903,-0.000929921,0,-0.0015774,0.168575
1_1,Constant Potential,4041,0.199909,0.199909,-0.00148826,0,-0.00159755,0.170923
1_1,Constant Potential,4102,0.199901,0.199901,-0.00118864,0,-0.00162023,0.173391
1_1,Constant Potential,4162,0.199927,0.199927,-0.00193018,0,-0.00164622,0.175916
1_1,Constant Potential,4222,0.199896,0.199896,-0.00134501,0,-0.00167351,0.178376
1_1,Constant Potential,4282,0.199928,0.199928,-0.00126462,0,-0.00169526,0.180851
1_1,Constant Potential,4342,0.199909,0.199909,-0.00106468,0,-0.00171467,0.183226
1_1,Constant Potential,4402,0.19991,0.19991,-0.00110829,0,-0.00173278,0.185703
1_1,Constant Potential,4462,0.199931,0.199931,-0.0013768,0,-0.00175349,0.188257
1_1,Constant Potential,4522,0.199911,0.199911,-0.00142898,0,-0.00177687,0.190745
1_1,Constant Potential,4584,0.199909,0.199909,-0.000813152,0,-0.00179618,0.193148
1_1,Constant Potential,4646,0.199918,0.199918,-0.000775025,0,-0.00180985,0.195631
1_1,Constant Potential,4706,0.199918,0.199918,-0.000850205,0,-0.0018234,0.198246
1_1,Constant Potential,4766,0.19992,0.19992,-0.00130386,0,-0.00184135,0.200789
1_1,Constant Potential,4826,0.199924,0.199924,-0.000893067,0,-0.00185966,0.203311
1_1,Constant Potential,4886,0.199929,0.199929,-0.00105847,0,-0.00187592,0.205802
1_1,Constant Potential,4946,0.199913,0.199913,-0.00160846,0,-0.00189814,0.208457
1_1,Constant Potential,5006,0.199932,0.199932,-0.00177217,0,-0.00192631,0.210946
1_1,Constant Potential,5066,0.199899,0.199899,-0.00171564,0,-0.00195538,0.213316
1_1,Constant Potential,5126,0.199912,0.199912,-0.00114613,0,-0.00197923,0.215759
1_1,Constant Potential,5186,0.199892,0.199892,-0.00158089,0,-0.00200195,0.218283
1_1,Constant Potential,5246,0.199907,0.199907,-0.0011518,0,-0.00202473,0.220819
1_1,Constant Potential,5306,0.199903,0.199903,-0.00135153,0,-0.00204559,0.223287
1_1,Constant Potential,5367,0.199923,0.199923,-0.0014946,0,-0.0020697,0.225832
1_1,Constant Potential,5427,0.199898,0.199898,-0.00170102,0,-0.00209633,0.2283
1_1,Constant Potential,5487,0.199935,0.199935,-0.00107639,0,-0.00211947,0.230838
1_1,Constant Potential,5547,0.199912,0.199912,-0.00144942,0,-0.00214052,0.233305
