Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm≤),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,59.9925,0.200431,0.200431,3.98E-06,0,6.63E-08,0.297735
1_1,Constant Potential,119.993,0.200441,0.200441,-4.74E-05,0,-2.96E-07,0.297812
1_1,Constant Potential,179.992,0.200405,0.200405,-2.57E-05,0,-9.05E-07,0.297943
1_1,Constant Potential,239.992,0.200454,0.200454,-0.000144815,0,-2.33E-06,0.298001
1_1,Constant Potential,299.992,0.200415,0.200415,-5.20E-05,0,-3.97E-06,0.298213
1_1,Constant Potential,359.992,0.200388,0.200388,-0.000111112,0,-5.33E-06,0.298482
1_1,Constant Potential,419.993,0.200454,0.200454,9.88E-05,0,-5.43E-06,0.298427
1_1,Constant Potential,479.992,0.200396,0.200396,-4.71E-05,0,-5.00E-06,0.298764
1_1,Constant Potential,539.992,0.20039,0.20039,1.85E-05,0,-5.23E-06,0.298809
1_1,Constant Potential,599.992,0.200389,0.200389,-0.000142529,0,-6.27E-06,0.298966
1_1,Constant Potential,659.992,0.200469,0.200469,-9.23E-05,0,-8.23E-06,0.29881
1_1,Constant Potential,719.993,0.200441,0.200441,-6.46E-06,0,-9.05E-06,0.298658
1_1,Constant Potential,779.992,0.200489,0.200489,-9.91E-05,0,-9.93E-06,0.298681
1_1,Constant Potential,839.992,0.200449,0.200449,3.09E-05,0,-1.05E-05,0.298721
1_1,Constant Potential,899.992,0.200449,0.200449,1.11E-05,0,-1.01E-05,0.298745
1_1,Constant Potential,959.992,0.200443,0.200443,3.03E-05,0,-9.80E-06,0.298915
1_1,Constant Potential,1019.99,0.200419,0.200419,-2.96E-05,0,-9.80E-06,0.298969
1_1,Constant Potential,1079.99,0.200348,0.200348,-8.68E-05,0,-1.08E-05,0.299185
1_1,Constant Potential,1139.99,0.200417,0.200417,-2.40E-05,0,-1.17E-05,0.299
1_1,Constant Potential,1199.99,0.200393,0.200393,-0.000245014,0,-1.39E-05,0.298926
1_1,Constant Potential,1259.99,0.200407,0.200407,-8.16E-05,0,-1.67E-05,0.29899
1_1,Constant Potential,1319.99,0.200411,0.200411,1.83E-05,0,-1.72E-05,0.298931
1_1,Constant Potential,1379.99,0.200427,0.200427,-9.85E-05,0,-1.78E-05,0.298992
1_1,Constant Potential,1439.99,0.200335,0.200335,-6.30E-05,0,-1.92E-05,0.299192
1_1,Constant Potential,1499.99,0.200457,0.200457,8.10E-06,0,-1.97E-05,0.299138
1_1,Constant Potential,1559.99,0.200421,0.200421,-7.22E-05,0,-2.02E-05,0.299221
