Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm²),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,59.9924,0.199437,0.199437,0.0099765,0,0.000166254,-0.836981
1_1,Constant Potential,119.992,0.199408,0.199408,0.0020314,0,0.00026632,-0.836421
1_1,Constant Potential,179.992,0.199445,0.199445,0.00370777,0,0.000314146,-0.836647
1_1,Constant Potential,239.992,0.19946,0.19946,0.00390255,0,0.000377565,-0.83609
1_1,Constant Potential,299.992,0.199382,0.199382,0.00248578,0,0.000430802,-0.834556
1_1,Constant Potential,359.992,0.199488,0.199488,0.00230611,0,0.000470734,-0.833457
1_1,Constant Potential,419.992,0.199415,0.199415,0.00187273,0,0.000505558,-0.832246
1_1,Constant Potential,479.992,0.19944,0.19944,0.00261389,0,0.000542946,-0.830776
1_1,Constant Potential,539.992,0.199447,0.199447,0.00352597,0,0.000594112,-0.829242
1_1,Constant Potential,599.992,0.199417,0.199417,0.00182567,0,0.000638709,-0.827119
1_1,Constant Potential,659.992,0.199402,0.199402,0.00266874,0,0.000676162,-0.825862
1_1,Constant Potential,719.992,0.199453,0.199453,0.003092,0,0.000724168,-0.824382
1_1,Constant Potential,779.992,0.19946,0.19946,0.00132992,0,0.000761018,-0.822707
1_1,Constant Potential,839.992,0.199415,0.199415,0.00403633,0,0.000805736,-0.821697
1_1,Constant Potential,899.992,0.199422,0.199422,0.00195963,0,0.000855703,-0.819758
1_1,Constant Potential,959.992,0.199443,0.199443,6.74E-05,0,0.000872594,-0.818
1_1,Constant Potential,1019.99,0.199437,0.199437,0.000914233,0,0.000880774,-0.816993
1_1,Constant Potential,1079.99,0.199427,0.199427,-0.000871357,0,0.000881132,-0.815105
1_1,Constant Potential,1139.99,0.19944,0.19944,0.00130211,0,0.000884721,-0.814504
1_1,Constant Potential,1199.99,0.199446,0.199446,-0.00209342,0,0.000878127,-0.811854
1_1,Constant Potential,1259.99,0.199455,0.199455,0.00513391,0,0.000903464,-0.811813
1_1,Constant Potential,1319.99,0.199407,0.199407,0.00145894,0,0.000958405,-0.809776
1_1,Constant Potential,1379.99,0.199418,0.199418,0.00251527,0,0.000991523,-0.809027
1_1,Constant Potential,1439.99,0.199416,0.199416,0.0044416,0,0.0010495,-0.808151
1_1,Constant Potential,1499.99,0.199425,0.199425,0.00157913,0,0.00109967,-0.806448
1_1,Constant Potential,1559.99,0.199424,0.199424,0.00206023,0,0.00113,-0.805838
1_1,Constant Potential,1619.99,0.199411,0.199411,0.00144387,0,0.0011592,-0.805281
1_1,Constant Potential,1679.99,0.199447,0.199447,0.00126322,0,0.00118176,-0.804884
1_1,Constant Potential,1739.99,0.199418,0.199418,0.00225672,0,0.00121109,-0.804215
1_1,Constant Potential,1799.99,0.19944,0.19944,0.000733555,0,0.00123601,-0.803046
1_1,Constant Potential,1859.99,0.19944,0.19944,0.00338334,0,0.00127032,-0.803237
1_1,Constant Potential,1919.99,0.199439,0.199439,0.00060196,0,0.00130353,-0.802097
1_1,Constant Potential,1979.99,0.19944,0.19944,0.000416044,0,0.00131201,-0.801646
1_1,Constant Potential,2039.99,0.199441,0.199441,0.000855777,0,0.00132261,-0.801287
1_1,Constant Potential,2099.99,0.19945,0.19945,0.00186086,0,0.00134525,-0.801194
1_1,Constant Potential,2159.99,0.199428,0.199428,0.00310668,0,0.00138664,-0.799889
1_1,Constant Potential,2219.99,0.199442,0.199442,0.00116282,0,0.00142222,-0.798727
1_1,Constant Potential,2279.99,0.199437,0.199437,0.00141746,0,0.00144373,-0.797618
1_1,Constant Potential,2339.99,0.199444,0.199444,0.00355821,0,0.00148519,-0.796885
1_1,Constant Potential,2399.99,0.199455,0.199455,0.00340249,0,0.0015432,-0.796259
1_1,Constant Potential,2459.99,0.199386,0.199386,0.00161308,0,0.00158499,-0.795051
1_1,Constant Potential,2519.99,0.199396,0.199396,0.000666726,0,0.00160399,-0.79431
1_1,Constant Potential,2579.99,0.199392,0.199392,0.00379371,0,0.00164116,-0.794563
1_1,Constant Potential,2639.99,0.199406,0.199406,0.00253868,0,0.00169393,-0.793726
1_1,Constant Potential,2699.99,0.199389,0.199389,0.00259863,0,0.00173674,-0.793772
1_1,Constant Potential,2759.99,0.199399,0.199399,0.00154973,0,0.00177131,-0.793008
1_1,Constant Potential,2819.99,0.199413,0.199413,0.00325113,0,0.00181132,-0.79297
1_1,Constant Potential,2879.99,0.199443,0.199443,0.00154875,0,0.00185132,-0.792277
1_1,Constant Potential,2939.99,0.199486,0.199486,0.0011369,0,0.0018737,-0.791642
1_1,Constant Potential,2999.99,0.199432,0.199432,3.78E-05,0,0.00188349,-0.791211
1_1,Constant Potential,3059.99,0.199409,0.199409,0.00463626,0,0.00192244,-0.792266
1_1,Constant Potential,3119.99,0.199414,0.199414,0.00474992,0,0.00200066,-0.792612
1_1,Constant Potential,3179.99,0.199476,0.199476,-0.000300818,0,0.00203773,-0.791993
1_1,Constant Potential,3239.99,0.199399,0.199399,0.00104073,0,0.0020439,-0.792259
1_1,Constant Potential,3299.99,0.199408,0.199408,-0.00017923,0,0.00205108,-0.792223
1_1,Constant Potential,3359.99,0.199447,0.199447,0.00268286,0,0.00207194,-0.793329
1_1,Constant Potential,3419.99,0.199462,0.199462,0.00330697,0,0.00212186,-0.793552
1_1,Constant Potential,3479.99,0.199405,0.199405,0.00121315,0,0.00215952,-0.792897
1_1,Constant Potential,3539.99,0.199459,0.199459,0.0028142,0,0.00219308,-0.793172
1_1,Constant Potential,3599.99,0.199476,0.199476,-0.000534932,0,0.00221208,-0.79235
1_1,Constant Potential,3659.99,0.199428,0.199428,0.000544205,0,0.00221216,-0.792301
1_1,Constant Potential,3719.99,0.199432,0.199432,0.00360329,0,0.00224672,-0.792882
1_1,Constant Potential,3779.99,0.199463,0.199463,0.00332451,0,0.00230445,-0.793416
1_1,Constant Potential,3839.99,0.199446,0.199446,0.00194995,0,0.0023484,-0.793224
1_1,Constant Potential,3899.99,0.199424,0.199424,0.00378483,0,0.00239619,-0.794018
1_1,Constant Potential,3959.99,0.199481,0.199481,0.00237075,0,0.00244749,-0.794354
1_1,Constant Potential,4019.99,0.199455,0.199455,0.000995363,0,0.00247554,-0.794462
1_1,Constant Potential,4079.99,0.199454,0.199454,-0.000800287,0,0.00247717,-0.79446
1_1,Constant Potential,4139.99,0.199443,0.199443,0.0013042,0,0.00248137,-0.795436
1_1,Constant Potential,4199.99,0.199409,0.199409,0.00438322,0,0.00252876,-0.795987
1_1,Constant Potential,4259.99,0.199495,0.199495,0.00552005,0,0.00261129,-0.79635
1_1,Constant Potential,4319.99,0.199481,0.199481,0.000870498,0,0.00266454,-0.795707
1_1,Constant Potential,4379.99,0.199444,0.199444,0.00214261,0,0.00268965,-0.796043
1_1,Constant Potential,4439.99,0.199483,0.199483,0.003992,0,0.00274077,-0.796335
1_1,Constant Potential,4499.99,0.199486,0.199486,0.00430434,0,0.00280991,-0.796206
1_1,Constant Potential,4559.99,0.199438,0.199438,0.00217343,0,0.00286389,-0.795847
1_1,Constant Potential,4619.99,0.199374,0.199374,0.00103662,0,0.00289064,-0.795851
1_1,Constant Potential,4679.99,0.19948,0.19948,0.00119576,0,0.00290924,-0.796288
1_1,Constant Potential,4739.99,0.199441,0.199441,0.00115858,0,0.00292886,-0.796269
1_1,Constant Potential,4799.99,0.199444,0.199444,0.00248408,0,0.00295922,-0.796413
1_1,Constant Potential,4859.99,0.199414,0.199414,0.000715374,0,0.00298588,-0.796054
1_1,Constant Potential,4919.99,0.199404,0.199404,0.00211029,0,0.00300943,-0.79643
1_1,Constant Potential,4979.99,0.199468,0.199468,0.00144138,0,0.00303903,-0.796192
1_1,Constant Potential,5039.99,0.199427,0.199427,0.0019873,0,0.0030676,-0.796443
1_1,Constant Potential,5099.99,0.199415,0.199415,0.00388283,0,0.00311652,-0.797023
1_1,Constant Potential,5159.99,0.199413,0.199413,0.0018562,0,0.00316434,-0.796302
1_1,Constant Potential,5219.99,0.199463,0.199463,0.00399036,0,0.00321306,-0.796856
1_1,Constant Potential,5279.99,0.199421,0.199421,0.00513718,0,0.00328913,-0.797778
1_1,Constant Potential,5339.99,0.199441,0.199441,0.00417358,0,0.00336672,-0.797952
1_1,Constant Potential,5399.99,0.199419,0.199419,-0.000545269,0,0.00339695,-0.797558
