"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
2_1,Cyclic Voltammetry,28.3746,-0.000159488,-0.000159488,0.557241,0,0.00439208,-0.150691
2_1,Cyclic Voltammetry,28.4742,0.00098904,0.00098904,0.455423,0,0.00440609,-0.148012
2_1,Cyclic Voltammetry,28.5738,0.00199781,0.00199781,0.419382,0,0.00441819,-0.149234
2_1,Cyclic Voltammetry,28.6734,0.00300308,0.00300308,0.394131,0,0.00442945,-0.151012
2_1,Cyclic Voltammetry,28.773,0.00401085,0.00401085,0.373218,0,0.00444006,-0.153008
2_1,Cyclic Voltammetry,28.8726,0.00498518,0.00498518,0.355464,0,0.00445014,-0.155057
2_1,Cyclic Voltammetry,28.9722,0.0060244,0.0060244,0.340523,0,0.00445977,-0.157184
2_1,Cyclic Voltammetry,29.0718,0.00706261,0.00706261,0.32774,0,0.00446901,-0.15942
2_1,Cyclic Voltammetry,29.1714,0.00804293,0.00804293,0.315239,0,0.00447791,-0.161627
2_1,Cyclic Voltammetry,29.271,0.00902125,0.00902125,0.304311,0,0.00448648,-0.163823
2_1,Cyclic Voltammetry,29.3706,0.0100285,0.0100285,0.294578,0,0.00449476,-0.166029
2_1,Cyclic Voltammetry,29.4702,0.0110113,0.0110113,0.285899,0,0.00450279,-0.16817
2_1,Cyclic Voltammetry,29.5698,0.0120226,0.0120226,0.277735,0,0.00451059,-0.17026
2_1,Cyclic Voltammetry,29.6694,0.0130184,0.0130184,0.269531,0,0.00451816,-0.172323
2_1,Cyclic Voltammetry,29.769,0.0140346,0.0140346,0.26258,0,0.00452552,-0.174419
2_1,Cyclic Voltammetry,29.8686,0.014977,0.014977,0.255979,0,0.0045327,-0.17649
2_1,Cyclic Voltammetry,29.9682,0.0159618,0.0159618,0.248781,0,0.00453968,-0.17842
2_1,Cyclic Voltammetry,30.0678,0.0169641,0.0169641,0.242856,0,0.00454648,-0.180382
2_1,Cyclic Voltammetry,30.1674,0.0179604,0.0179604,0.237338,0,0.00455312,-0.182343
2_1,Cyclic Voltammetry,30.267,0.0189807,0.0189807,0.232483,0,0.00455962,-0.184289
2_1,Cyclic Voltammetry,30.3666,0.0200104,0.0200104,0.227113,0,0.00456598,-0.186152
2_1,Cyclic Voltammetry,30.4662,0.0209882,0.0209882,0.222268,0,0.0045722,-0.188021
2_1,Cyclic Voltammetry,30.5658,0.0219835,0.0219835,0.218016,0,0.00457829,-0.189863
2_1,Cyclic Voltammetry,30.6654,0.0229708,0.0229708,0.214108,0,0.00458426,-0.191618
2_1,Cyclic Voltammetry,30.765,0.0239027,0.0239027,0.215253,0,0.0045902,-0.193596
2_1,Cyclic Voltammetry,30.8646,0.0249364,0.0249364,0.204406,0,0.00459601,-0.194949
2_1,Cyclic Voltammetry,30.9642,0.0259043,0.0259043,0.201961,0,0.00460163,-0.196681
2_1,Cyclic Voltammetry,31.0638,0.026914,0.026914,0.198976,0,0.00460718,-0.198393
2_1,Cyclic Voltammetry,31.1634,0.0279278,0.0279278,0.195393,0,0.00461263,-0.199982
2_1,Cyclic Voltammetry,31.263,0.0289331,0.0289331,0.192773,0,0.004618,-0.201701
2_1,Cyclic Voltammetry,31.3626,0.0299428,0.0299428,0.1897,0,0.00462329,-0.203331
2_1,Cyclic Voltammetry,31.4622,0.0309691,0.0309691,0.18677,0,0.0046285,-0.204974
2_1,Cyclic Voltammetry,31.5618,0.0319444,0.0319444,0.184022,0,0.00463363,-0.206567
2_1,Cyclic Voltammetry,31.6614,0.0328968,0.0328968,0.182391,0,0.0046387,-0.208268
2_1,Cyclic Voltammetry,31.761,0.0338671,0.0338671,0.17995,0,0.00464371,-0.209764
2_1,Cyclic Voltammetry,31.8606,0.0348764,0.0348764,0.177562,0,0.00464866,-0.211256
