"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
2_1,Cyclic Voltammetry,28.3747,-0.000134032,-0.000134032,22.3796,0,0.176393,-1.16291
2_1,Cyclic Voltammetry,28.4743,0.00103496,0.00103496,22.1139,0,0.177009,-1.21847
2_1,Cyclic Voltammetry,28.5739,0.00202526,0.00202526,21.825,0,0.177616,-1.26896
2_1,Cyclic Voltammetry,28.6735,0.00302205,0.00302205,21.5141,0,0.178216,-1.31566
2_1,Cyclic Voltammetry,28.7731,0.00402982,0.00402982,21.1782,0,0.178806,-1.35844
2_1,Cyclic Voltammetry,28.8727,0.00499017,0.00499017,20.815,0,0.179387,-1.39688
2_1,Cyclic Voltammetry,28.9723,0.0060254,0.0060254,20.4183,0,0.179958,-1.42976
2_1,Cyclic Voltammetry,29.0719,0.00703766,0.00703766,19.9989,0,0.180517,-1.45788
2_1,Cyclic Voltammetry,29.1715,0.00801348,0.00801348,19.5475,0,0.181064,-1.4802
2_1,Cyclic Voltammetry,29.2711,0.0089943,0.0089943,19.0736,0,0.181598,-1.49771
2_1,Cyclic Voltammetry,29.3707,0.0100001,0.0100001,18.5772,0,0.182119,-1.511
2_1,Cyclic Voltammetry,29.4703,0.0109804,0.0109804,18.0639,0,0.182626,-1.52086
2_1,Cyclic Voltammetry,29.5699,0.0120001,0.0120001,17.5421,0,0.183118,-1.52783
2_1,Cyclic Voltammetry,29.6695,0.0130384,0.0130384,17.0135,0,0.183596,-1.53227
2_1,Cyclic Voltammetry,29.7691,0.0140312,0.0140312,16.4847,0,0.18406,-1.53365
2_1,Cyclic Voltammetry,29.8687,0.014985,0.014985,15.9611,0,0.184509,-1.53275
2_1,Cyclic Voltammetry,29.9683,0.0159703,0.0159703,15.4444,0,0.184943,-1.52955
2_1,Cyclic Voltammetry,30.0679,0.0169706,0.0169706,14.9406,0,0.185363,-1.52478
2_1,Cyclic Voltammetry,30.1675,0.0179759,0.0179759,14.4449,0,0.18577,-1.51851
2_1,Cyclic Voltammetry,30.2671,0.0190221,0.0190221,13.9667,0,0.186163,-1.51146
2_1,Cyclic Voltammetry,30.3667,0.0200403,0.0200403,13.5007,0,0.186543,-1.50336
2_1,Cyclic Voltammetry,30.4663,0.0210197,0.0210197,13.0515,0,0.18691,-1.49483
2_1,Cyclic Voltammetry,30.5659,0.0220105,0.0220105,12.6154,0,0.187265,-1.4854
2_1,Cyclic Voltammetry,30.6655,0.0230132,0.0230132,12.1943,0,0.187609,-1.47566
