Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm²),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Cyclic Voltammetry,0.066319,0.5909,0.5909,-0.0402099,0,-7.41E-07,0.71611
1_1,Cyclic Voltammetry,0.157896,0.318302,0.318302,-3.33187,0,-4.36E-05,1.30601
1_1,Cyclic Voltammetry,0.249446,0.00589396,0.00589396,-15.5105,0,-0.000283216,1.7359
1_1,Cyclic Voltammetry,0.341056,0.00445304,0.00445304,-7.22092,0,-0.000572441,1.54889
1_1,Cyclic Voltammetry,0.432588,0.00505107,0.00505107,-5.32091,0,-0.000731883,1.44698
1_1,Cyclic Voltammetry,0.524152,0.00560095,0.00560095,-4.08676,0,-0.000851522,1.37309
1_1,Cyclic Voltammetry,0.615724,0.00661074,0.00661074,-2.65627,0,-0.000937282,1.31364
1_1,Cyclic Voltammetry,0.707278,0.00709156,0.00709156,-2.6454,0,-0.0010047,1.26519
1_1,Cyclic Voltammetry,0.798849,0.00781391,0.00781391,-2.15463,0,-0.00106575,1.22653
1_1,Cyclic Voltammetry,0.890426,0.00865161,0.00865161,-1.77057,0,-0.00111567,1.19512
1_1,Cyclic Voltammetry,0.981978,0.00952178,0.00952178,-1.46511,0,-0.00115681,1.16942
1_1,Cyclic Voltammetry,1.07358,0.0103696,0.0103696,-1.21992,0,-0.00119097,1.14821
1_1,Cyclic Voltammetry,1.16516,0.0112005,0.0112005,-1.01994,0,-0.00121946,1.13039
1_1,Cyclic Voltammetry,1.25669,0.0120786,0.0120786,-0.858009,0,-0.00124334,1.11548
1_1,Cyclic Voltammetry,1.34828,0.0129745,0.0129745,-0.724481,0,-0.00126347,1.10284
1_1,Cyclic Voltammetry,1.43982,0.0138256,0.0138256,-0.612139,0,-0.00128046,1.09178
1_1,Cyclic Voltammetry,1.53139,0.014707,0.014707,-0.51957,0,-0.00129485,1.08232
1_1,Cyclic Voltammetry,1.62294,0.0156489,0.0156489,-0.441164,0,-0.00130707,1.07404
1_1,Cyclic Voltammetry,1.71451,0.016509,0.016509,-0.376546,0,-0.00131747,1.06687
1_1,Cyclic Voltammetry,1.80607,0.0174161,0.0174161,-0.321067,0,-0.00132634,1.06045
1_1,Cyclic Voltammetry,1.89765,0.0183232,0.0183232,-0.27528,0,-0.00133393,1.05476
1_1,Cyclic Voltammetry,1.98921,0.0192483,0.0192483,-0.234985,0,-0.00134041,1.04965
1_1,Cyclic Voltammetry,2.08077,0.0201677,0.0201677,-0.202144,0,-0.00134597,1.04511
1_1,Cyclic Voltammetry,2.17233,0.0208527,0.0208527,-0.169655,0,-0.0013507,1.04104
1_1,Cyclic Voltammetry,2.2639,0.0219641,0.0219641,-0.149822,0,-0.00135476,1.03711
1_1,Cyclic Voltammetry,2.35548,0.0228981,0.0228981,-0.127482,0,-0.00135829,1.0336
1_1,Cyclic Voltammetry,2.44704,0.0238019,0.0238019,-0.109978,0,-0.00136131,1.03044
1_1,Cyclic Voltammetry,2.53859,0.0247191,0.0247191,-0.0927005,0,-0.00136389,1.02747
1_1,Cyclic Voltammetry,2.63016,0.0256004,0.0256004,-0.0796701,0,-0.00136608,1.02478
1_1,Cyclic Voltammetry,2.72177,0.0265569,0.0265569,-0.0660749,0,-0.00136794,1.02218
1_1,Cyclic Voltammetry,2.81334,0.0274405,0.0274405,-0.0557152,0,-0.00136948,1.01982
1_1,Cyclic Voltammetry,2.90487,0.0283543,0.0283543,-0.0448577,0,-0.00137076,1.01747
1_1,Cyclic Voltammetry,2.99646,0.0293152,0.0293152,-0.0370003,0,-0.0013718,1.01531
1_1,Cyclic Voltammetry,3.088,0.0301831,0.0301831,-0.0281042,0,-0.00137263,1.01321
1_1,Cyclic Voltammetry,3.17957,0.0311272,0.0311272,-0.0217654,0,-0.00137327,1.0113
1_1,Cyclic Voltammetry,3.27112,0.0320321,0.0320321,-0.0146594,0,-0.00137373,1.0094
1_1,Cyclic Voltammetry,3.3627,0.0329236,0.0329236,-0.00972374,0,-0.00137404,1.00774
1_1,Cyclic Voltammetry,3.45425,0.0338627,0.0338627,-0.0031905,0,-0.0013742,1.00584
1_1,Cyclic Voltammetry,3.54582,0.0347065,0.0347065,-0.000224313,0,-0.00137425,1.00436
1_1,Cyclic Voltammetry,3.63739,0.0355733,0.0355733,0.00459866,0,-0.00137419,1.00279
1_1,Cyclic Voltammetry,3.72896,0.0365275,0.0365275,0.00843821,0,-0.00137403,1.00122
1_1,Cyclic Voltammetry,3.82052,0.0374077,0.0374077,0.0122868,0,-0.00137376,0.999738
1_1,Cyclic Voltammetry,3.91209,0.0383875,0.0383875,0.0669355,0,-0.00137275,0.998209
1_1,Cyclic Voltammetry,4.00366,0.039446,0.039446,0.0204206,0,-0.00137164,0.996778
1_1,Cyclic Voltammetry,4.09523,0.040333,0.040333,0.0223759,0,-0.0013711,0.995373
1_1,Cyclic Voltammetry,4.18678,0.0412715,0.0412715,0.0257554,0,-0.00137049,0.994054
1_1,Cyclic Voltammetry,4.27835,0.0422167,0.0422167,0.0273017,0,-0.00136981,0.992826
1_1,Cyclic Voltammetry,4.36994,0.0430835,0.0430835,0.030369,0,-0.00136908,0.9915
1_1,Cyclic Voltammetry,4.46151,0.0439873,0.0439873,0.031964,0,-0.00136829,0.99028
1_1,Cyclic Voltammetry,4.55305,0.0448787,0.0448787,0.0346228,0,-0.00136744,0.989047
1_1,Cyclic Voltammetry,4.64463,0.0458206,0.0458206,0.0360284,0,-0.00136654,0.987889
1_1,Cyclic Voltammetry,4.73618,0.0467613,0.0467613,0.0385624,0,-0.00136559,0.986707
1_1,Cyclic Voltammetry,4.82774,0.0476527,0.0476527,0.0398905,0,-0.00136459,0.985557
1_1,Cyclic Voltammetry,4.91931,0.048598,0.048598,0.0419225,0,-0.00136355,0.984447
1_1,Cyclic Voltammetry,5.01089,0.0494972,0.0494972,0.0429949,0,-0.00136247,0.983378
1_1,Cyclic Voltammetry,5.10244,0.050401,0.050401,0.0450718,0,-0.00136135,0.982288
1_1,Cyclic Voltammetry,5.19401,0.0513362,0.0513362,0.0459198,0,-0.0013602,0.981191
1_1,Cyclic Voltammetry,5.28558,0.0522534,0.0522534,0.0478792,0,-0.001359,0.980117
1_1,Cyclic Voltammetry,5.37714,0.0531538,0.0531538,0.0485249,0,-0.00135778,0.979128
1_1,Cyclic Voltammetry,5.46872,0.0540497,0.0540497,0.0500967,0,-0.00135652,0.978113
1_1,Cyclic Voltammetry,5.56028,0.0549983,0.0549983,0.0508163,0,-0.00135524,0.977014
1_1,Cyclic Voltammetry,5.65185,0.0558606,0.0558606,0.0522997,0,-0.00135393,0.975989
1_1,Cyclic Voltammetry,5.74341,0.056807,0.056807,0.0531263,0,-0.00135259,0.97504
1_1,Cyclic Voltammetry,5.835,0.0576906,0.0576906,0.0541599,0,-0.00135122,0.974049
1_1,Cyclic Voltammetry,5.92658,0.0587164,0.0587164,0.0550587,0,-0.00134983,0.973165
1_1,Cyclic Voltammetry,6.01811,0.0595911,0.0595911,0.0564911,0,-0.00134842,0.972138
1_1,Cyclic Voltammetry,6.10971,0.0605318,0.0605318,0.0571217,0,-0.00134697,0.971217
1_1,Cyclic Voltammetry,6.20123,0.0614177,0.0614177,0.0581025,0,-0.00134551,0.970286
1_1,Cyclic Voltammetry,6.29281,0.0623315,0.0623315,0.0588183,0,-0.00134402,0.969395
1_1,Cyclic Voltammetry,6.38437,0.0632398,0.0632398,0.0596703,0,-0.00134251,0.968519
1_1,Cyclic Voltammetry,6.47602,0.0641861,0.0641861,0.0606629,0,-0.00134098,0.967595
1_1,Cyclic Voltammetry,6.5675,0.0650305,0.0650305,0.0612293,0,-0.00133943,0.966737
1_1,Cyclic Voltammetry,6.65907,0.066006,0.066006,0.0619091,0,-0.00133787,0.965796
1_1,Cyclic Voltammetry,6.75063,0.0668784,0.0668784,0.0625361,0,-0.00133628,0.965032
1_1,Cyclic Voltammetry,6.8422,0.0678258,0.0678258,0.0632777,0,-0.00133468,0.964133
1_1,Cyclic Voltammetry,6.93376,0.0687318,0.0687318,0.0638296,0,-0.00133307,0.963296
1_1,Cyclic Voltammetry,7.02533,0.0696838,0.0696838,0.0644733,0,-0.00133144,0.962415
1_1,Cyclic Voltammetry,7.1169,0.070545,0.070545,0.065137,0,-0.00132979,0.96159
1_1,Cyclic Voltammetry,7.20846,0.0714812,0.0714812,0.0658583,0,-0.00132812,0.960755
1_1,Cyclic Voltammetry,7.30007,0.0723671,0.0723671,0.0660438,0,-0.00132644,0.959924
1_1,Cyclic Voltammetry,7.39159,0.0733123,0.0733123,0.0668206,0,-0.00132475,0.959135
1_1,Cyclic Voltammetry,7.48318,0.0741914,0.0741914,0.067058,0,-0.00132305,0.958346
1_1,Cyclic Voltammetry,7.57473,0.0751344,0.0751344,0.0678165,0,-0.00132134,0.957484
1_1,Cyclic Voltammetry,7.6663,0.0759844,0.0759844,0.0678303,0,-0.00131961,0.956699
1_1,Cyclic Voltammetry,7.75787,0.0769587,0.0769587,0.0690251,0,-0.00131787,0.955822
1_1,Cyclic Voltammetry,7.84943,0.0778883,0.0778883,0.0687851,0,-0.00131612,0.955125
1_1,Cyclic Voltammetry,7.941,0.0788828,0.0788828,0.069722,0,-0.00131436,0.954296
1_1,Cyclic Voltammetry,8.03256,0.0797888,0.0797888,0.0697013,0,-0.00131258,0.953595
1_1,Cyclic Voltammetry,8.12412,0.0806892,0.0806892,0.0707011,0,-0.0013108,0.952743
1_1,Cyclic Voltammetry,8.21569,0.0815672,0.0815672,0.0705451,0,-0.001309,0.9521
1_1,Cyclic Voltammetry,8.30726,0.0824934,0.0824934,0.0714559,0,-0.0013072,0.951237
1_1,Cyclic Voltammetry,8.39881,0.0834386,0.0834386,0.0709763,0,-0.00130538,0.950538
1_1,Cyclic Voltammetry,8.49038,0.0843267,0.0843267,0.0719543,0,-0.00130357,0.94979
1_1,Cyclic Voltammetry,8.58195,0.0852137,0.0852137,0.0718018,0,-0.00130174,0.949081
1_1,Cyclic Voltammetry,8.67353,0.0861645,0.0861645,0.0726696,0,-0.0012999,0.948336
1_1,Cyclic Voltammetry,8.76508,0.0870559,0.0870559,0.0723131,0,-0.00129806,0.947634
1_1,Cyclic Voltammetry,8.85666,0.0880269,0.0880269,0.0734961,0,-0.0012962,0.946803
1_1,Cyclic Voltammetry,8.94825,0.0889004,0.0889004,0.07269,0,-0.00129434,0.946163
1_1,Cyclic Voltammetry,9.03982,0.089802,0.089802,0.0739372,0,-0.00129248,0.945375
1_1,Cyclic Voltammetry,9.13134,0.0906867,0.0906867,0.0734312,0,-0.0012906,0.94471
1_1,Cyclic Voltammetry,9.22295,0.0915681,0.0915681,0.0744891,0,-0.00128872,0.943947
1_1,Cyclic Voltammetry,9.31447,0.0924707,0.0924707,0.0740321,0,-0.00128683,0.943305
1_1,Cyclic Voltammetry,9.40606,0.0934451,0.0934451,0.0751782,0,-0.00128494,0.942513
1_1,Cyclic Voltammetry,9.49761,0.094332,0.094332,0.0745518,0,-0.00128303,0.941906
1_1,Cyclic Voltammetry,9.58918,0.0952604,0.0952604,0.0756999,0,-0.00128112,0.941182
1_1,Cyclic Voltammetry,9.68073,0.0961687,0.0961687,0.0750375,0,-0.00127921,0.940551
1_1,Cyclic Voltammetry,9.77232,0.0970613,0.0970613,0.07639,0,-0.00127728,0.939754
1_1,Cyclic Voltammetry,9.86388,0.0980479,0.0980479,0.0757406,0,-0.00127534,0.939153
1_1,Cyclic Voltammetry,9.95544,0.0989439,0.0989439,0.0767143,0,-0.00127341,0.938485
1_1,Cyclic Voltammetry,10.047,0.099851,0.099851,0.076117,0,-0.00127146,0.937908
1_1,Cyclic Voltammetry,10.1386,0.100741,0.100741,0.0771775,0,-0.00126951,0.937156
1_1,Cyclic Voltammetry,10.2301,0.101711,0.101711,0.0766211,0,-0.00126756,0.936598
1_1,Cyclic Voltammetry,10.3217,0.102585,0.102585,0.0777075,0,-0.00126559,0.935807
1_1,Cyclic Voltammetry,10.4133,0.103511,0.103511,0.0769113,0,-0.00126363,0.935226
1_1,Cyclic Voltammetry,10.5049,0.104409,0.104409,0.0778622,0,-0.00126166,0.934531
1_1,Cyclic Voltammetry,10.5964,0.105314,0.105314,0.0771737,0,-0.00125969,0.933918
1_1,Cyclic Voltammetry,10.688,0.106229,0.106229,0.0781834,0,-0.00125771,0.933169
1_1,Cyclic Voltammetry,10.7795,0.107151,0.107151,0.077503,0,-0.00125573,0.932586
1_1,Cyclic Voltammetry,10.8711,0.108068,0.108068,0.0785351,0,-0.00125375,0.931884
1_1,Cyclic Voltammetry,10.9627,0.108944,0.108944,0.0781006,0,-0.00125176,0.931303
1_1,Cyclic Voltammetry,11.0542,0.109869,0.109869,0.0789587,0,-0.00124976,0.930616
1_1,Cyclic Voltammetry,11.1458,0.110807,0.110807,0.0783325,0,-0.00124776,0.930037
1_1,Cyclic Voltammetry,11.2374,0.111715,0.111715,0.0793146,0,-0.00124575,0.929403
1_1,Cyclic Voltammetry,11.3289,0.112635,0.112635,0.0787692,0,-0.00124374,0.928758
1_1,Cyclic Voltammetry,11.4205,0.113549,0.113549,0.0797904,0,-0.00124173,0.928111
1_1,Cyclic Voltammetry,11.5121,0.114458,0.114458,0.0792957,0,-0.0012397,0.927492
1_1,Cyclic Voltammetry,11.6036,0.115345,0.115345,0.0800031,0,-0.00123768,0.926815
1_1,Cyclic Voltammetry,11.6952,0.116234,0.116234,0.0793959,0,-0.00123565,0.926238
1_1,Cyclic Voltammetry,11.7868,0.117214,0.117214,0.0802598,0,-0.00123362,0.925556
1_1,Cyclic Voltammetry,11.8783,0.118184,0.118184,0.0799207,0,-0.00123158,0.924979
1_1,Cyclic Voltammetry,11.9699,0.119083,0.119083,0.0805256,0,-0.00122954,0.92431
1_1,Cyclic Voltammetry,12.0615,0.119995,0.119995,0.0799039,0,-0.0012275,0.923736
1_1,Cyclic Voltammetry,12.1531,0.120884,0.120884,0.0806531,0,-0.00122546,0.923063
1_1,Cyclic Voltammetry,12.2446,0.121844,0.121844,0.08002,0,-0.00122342,0.922567
1_1,Cyclic Voltammetry,12.3362,0.122744,0.122744,0.0807974,0,-0.00122137,0.921864
1_1,Cyclic Voltammetry,12.4277,0.123637,0.123637,0.080238,0,-0.00121932,0.92132
1_1,Cyclic Voltammetry,12.5193,0.124559,0.124559,0.0811805,0,-0.00121727,0.920693
1_1,Cyclic Voltammetry,12.6108,0.125451,0.125451,0.0807433,0,-0.00121521,0.920066
1_1,Cyclic Voltammetry,12.7024,0.126392,0.126392,0.0814331,0,-0.00121315,0.919471
1_1,Cyclic Voltammetry,12.794,0.127336,0.127336,0.0810773,0,-0.00121108,0.918847
1_1,Cyclic Voltammetry,12.8856,0.128231,0.128231,0.0815978,0,-0.00120901,0.918247
1_1,Cyclic Voltammetry,12.9771,0.129126,0.129126,0.0813149,0,-0.00120694,0.917642
1_1,Cyclic Voltammetry,13.0687,0.130035,0.130035,0.0817363,0,-0.00120487,0.917067
1_1,Cyclic Voltammetry,13.1602,0.130976,0.130976,0.0815107,0,-0.00120279,0.916478
1_1,Cyclic Voltammetry,13.2518,0.131843,0.131843,0.0820488,0,-0.00120071,0.915851
1_1,Cyclic Voltammetry,13.3434,0.132806,0.132806,0.0817405,0,-0.00119863,0.915286
1_1,Cyclic Voltammetry,13.435,0.13365,0.13365,0.0820352,0,-0.00119655,0.914687
1_1,Cyclic Voltammetry,13.5265,0.134602,0.134602,0.0818607,0,-0.00119446,0.914114
1_1,Cyclic Voltammetry,13.6181,0.135495,0.135495,0.0823778,0,-0.00119237,0.913529
1_1,Cyclic Voltammetry,13.7097,0.136452,0.136452,0.0821116,0,-0.00119028,0.912955
1_1,Cyclic Voltammetry,13.8012,0.137358,0.137358,0.0824019,0,-0.00118819,0.912371
1_1,Cyclic Voltammetry,13.8928,0.138296,0.138296,0.082286,0,-0.00118609,0.911829
