"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Cyclic Voltammetry,0.0999278,0.000114541,0.000114541,-1.15843,0,-3.21554e-05,0.150104
1_1,Cyclic Voltammetry,0.199527,0.000807851,0.000807851,-0.962709,0,-6.14977e-05,0.131154
1_1,Cyclic Voltammetry,0.299128,0.00180614,0.00180614,-0.73841,0,-8.50299e-05,0.108098
1_1,Cyclic Voltammetry,0.398728,0.00276998,0.00276998,-0.572701,0,-0.000103167,0.090455
1_1,Cyclic Voltammetry,0.498327,0.0037503,0.0037503,-0.446676,0,-0.000117268,0.0771957
1_1,Cyclic Voltammetry,0.597927,0.0047416,0.0047416,-0.350909,0,-0.000128302,0.0674172
1_1,Cyclic Voltammetry,0.697527,0.00575835,0.00575835,-0.275074,0,-0.000136961,0.0593112
1_1,Cyclic Voltammetry,0.797127,0.00679008,0.00679008,-0.214836,0,-0.000143738,0.0525989
1_1,Cyclic Voltammetry,0.896727,0.00780734,0.00780734,-0.166845,0,-0.000149018,0.0469259
1_1,Cyclic Voltammetry,0.996327,0.00878316,0.00878316,-0.128231,0,-0.0001531,0.0422459
1_1,Cyclic Voltammetry,1.09593,0.00976797,0.00976797,-0.096869,0,-0.000156214,0.0383306
1_1,Cyclic Voltammetry,1.19553,0.0107638,0.0107638,-0.0716236,0,-0.000158545,0.0350678
1_1,Cyclic Voltammetry,1.29513,0.0117785,0.0117785,-0.0512576,0,-0.000160244,0.0323468
1_1,Cyclic Voltammetry,1.39473,0.0128068,0.0128068,-0.0347849,0,-0.000161435,0.0300306
1_1,Cyclic Voltammetry,1.49433,0.0137856,0.0137856,-0.0211734,0,-0.000162209,0.0279577
1_1,Cyclic Voltammetry,1.59393,0.0147539,0.0147539,-0.00977347,0,-0.000162637,0.0261664
1_1,Cyclic Voltammetry,1.69353,0.0156888,0.0156888,-0.000112356,0,-0.000162774,0.0244982
1_1,Cyclic Voltammetry,1.79313,0.0167086,0.0167086,0.00789347,0,-0.000162666,0.0230713
1_1,Cyclic Voltammetry,1.89273,0.0176979,0.0176979,0.0145602,0,-0.000162355,0.0217875
1_1,Cyclic Voltammetry,1.99233,0.0187311,0.0187311,0.0198253,0,-0.00016188,0.0205973
1_1,Cyclic Voltammetry,2.09193,0.0200541,0.0200541,0.0239211,0,-0.000161275,0.0192946
1_1,Cyclic Voltammetry,2.19153,0.0207017,0.0207017,0.0261042,0,-0.000160583,0.0186134
1_1,Cyclic Voltammetry,2.29113,0.0216735,0.0216735,0.0292574,0,-0.000159817,0.0176012
1_1,Cyclic Voltammetry,2.39073,0.0226763,0.0226763,0.0319269,0,-0.00015897,0.0167366
1_1,Cyclic Voltammetry,2.49033,0.0236781,0.0236781,0.0341976,0,-0.000158056,0.0159243
1_1,Cyclic Voltammetry,2.58993,0.0246764,0.0246764,0.0361862,0,-0.000157082,0.0151255
1_1,Cyclic Voltammetry,2.68953,0.0256991,0.0256991,0.0380165,0,-0.000156056,0.0142838
