"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Cyclic Voltammetry,0.0996957,-0.00163676,-0.00163676,-40.3446,0,-0.00111727,3.46831
1_1,Cyclic Voltammetry,0.199295,0.000986648,0.000986648,-4.7095,0,-0.00174052,1.09142
1_1,Cyclic Voltammetry,0.298895,0.00201929,0.00201929,-1.39064,0,-0.0018249,0.84344
1_1,Cyclic Voltammetry,0.398496,0.00303864,0.00303864,-0.725216,0,-0.00185417,0.785794
1_1,Cyclic Voltammetry,0.498095,0.00403804,0.00403804,-0.478648,0,-0.00187082,0.76203
1_1,Cyclic Voltammetry,0.597695,0.00504991,0.00504991,-0.349496,0,-0.00188228,0.748746
1_1,Cyclic Voltammetry,0.697295,0.00605878,0.00605878,-0.269822,0,-0.00189085,0.740277
1_1,Cyclic Voltammetry,0.796895,0.00706965,0.00706965,-0.214943,0,-0.00189755,0.734335
1_1,Cyclic Voltammetry,0.896495,0.00802614,0.00802614,-0.174623,0,-0.00190294,0.729972
1_1,Cyclic Voltammetry,0.996095,0.00903751,0.00903751,-0.143746,0,-0.00190735,0.726628
1_1,Cyclic Voltammetry,1.0957,0.0100224,0.0100224,-0.12092,0,-0.00191101,0.72409
1_1,Cyclic Voltammetry,1.1953,0.0110283,0.0110283,-0.101449,0,-0.00191408,0.721921
1_1,Cyclic Voltammetry,1.2949,0.0120402,0.0120402,-0.0862913,0,-0.00191668,0.720166
1_1,Cyclic Voltammetry,1.3945,0.0130386,0.0130386,-0.0739737,0,-0.0019189,0.718768
1_1,Cyclic Voltammetry,1.4941,0.0139966,0.0139966,-0.0623137,0,-0.00192078,0.717462
1_1,Cyclic Voltammetry,1.5937,0.014965,0.014965,-0.0538606,0,-0.00192239,0.716458
1_1,Cyclic Voltammetry,1.6933,0.0160063,0.0160063,-0.0459301,0,-0.00192377,0.715506
1_1,Cyclic Voltammetry,1.7929,0.0170392,0.0170392,-0.0388621,0,-0.00192494,0.714588
1_1,Cyclic Voltammetry,1.8925,0.0180281,0.0180281,-0.0333447,0,-0.00192594,0.713831
1_1,Cyclic Voltammetry,1.9921,0.0190295,0.0190295,-0.0267896,0,-0.00192677,0.713047
1_1,Cyclic Voltammetry,2.0917,0.0199899,0.0199899,-0.0228184,0,-0.00192746,0.71253
1_1,Cyclic Voltammetry,2.1913,0.0211,0.0211,-0.0117756,0,-0.00192794,0.711429
1_1,Cyclic Voltammetry,2.2909,0.0220426,0.0220426,-0.00652559,0,-0.00192819,0.710879
1_1,Cyclic Voltammetry,2.3905,0.023039,0.023039,-0.0032882,0,-0.00192833,0.710371
1_1,Cyclic Voltammetry,2.4901,0.0240314,0.0240314,0.00238393,0,-0.00192834,0.709682
1_1,Cyclic Voltammetry,2.5897,0.0249919,0.0249919,0.00607402,0,-0.00192822,0.709183
