Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm≤),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Cyclic Voltammetry,0.066707,0.190164,0.190164,-7.75195,0,-0.000143642,0.72818
1_1,Cyclic Voltammetry,0.158279,0.134213,0.134213,-38.9321,0,-0.000737385,8.43451
1_1,Cyclic Voltammetry,0.249847,0.109156,0.109156,-43.5134,0,-0.00178591,9.81773
1_1,Cyclic Voltammetry,0.34142,0.0910787,0.0910787,-42.5829,0,-0.00288092,9.82316
1_1,Cyclic Voltammetry,0.432943,0.0736057,0.0736057,-42.1179,0,-0.0039576,9.81679
1_1,Cyclic Voltammetry,0.524509,0.0571362,0.0571362,-41.8487,0,-0.00502544,9.80734
1_1,Cyclic Voltammetry,0.616081,0.0418538,0.0418538,-41.6537,0,-0.00608746,9.79669
1_1,Cyclic Voltammetry,0.70764,0.0277529,0.0277529,-41.4989,0,-0.00714487,9.7865
1_1,Cyclic Voltammetry,0.799234,0.0147776,0.0147776,-41.3335,0,-0.00819861,9.77044
1_1,Cyclic Voltammetry,0.890797,0.00317073,0.00317073,-40.7448,0,-0.00924241,9.66331
1_1,Cyclic Voltammetry,0.982337,-0.00497219,-0.00497219,-38.3004,0,-0.0102474,9.16115
1_1,Cyclic Voltammetry,1.07391,-0.00970944,-0.00970944,-34.3408,0,-0.0111713,8.3344
1_1,Cyclic Voltammetry,1.16547,-0.012367,-0.012367,-30.0024,0,-0.0119895,7.42299
1_1,Cyclic Voltammetry,1.25704,-0.0138117,-0.0138117,-25.8883,0,-0.0127003,6.55495
1_1,Cyclic Voltammetry,1.3486,-0.0146326,-0.0146326,-22.2703,0,-0.0133128,5.7889
1_1,Cyclic Voltammetry,1.44018,-0.0151746,-0.0151746,-19.2339,0,-0.0138407,5.14289
1_1,Cyclic Voltammetry,1.53174,-0.0154781,-0.0154781,-16.7615,0,-0.0142984,4.61478
1_1,Cyclic Voltammetry,1.6233,-0.0159418,-0.0159418,-14.7847,0,-0.0146996,4.19102
1_1,Cyclic Voltammetry,1.71488,-0.0163618,-0.0163618,-13.224,0,-0.0150558,3.85492
1_1,Cyclic Voltammetry,1.80645,-0.016952,-0.016952,-11.9924,0,-0.0153765,3.58872
1_1,Cyclic Voltammetry,1.898,-0.0175869,-0.0175869,-11.0197,0,-0.0156691,3.37782
1_1,Cyclic Voltammetry,1.98957,-0.018353,-0.018353,-10.2417,0,-0.0159395,3.20864
1_1,Cyclic Voltammetry,2.08113,-0.0190742,-0.0190742,-9.61548,0,-0.016192,3.0719
1_1,Cyclic Voltammetry,2.1727,-0.0199276,-0.0199276,-9.1042,0,-0.0164301,2.96002
1_1,Cyclic Voltammetry,2.26431,-0.0207765,-0.0207765,-8.68372,0,-0.0166564,2.8678
1_1,Cyclic Voltammetry,2.35586,-0.0216713,-0.0216713,-8.3316,0,-0.0168728,2.79045
1_1,Cyclic Voltammetry,2.44742,-0.022537,-0.022537,-8.03456,0,-0.0170809,2.72536
1_1,Cyclic Voltammetry,2.539,-0.0234206,-0.0234206,-7.7805,0,-0.0172821,2.66954
1_1,Cyclic Voltammetry,2.63055,-0.0243065,-0.0243065,-7.56287,0,-0.0174772,2.62159
1_1,Cyclic Voltammetry,2.72212,-0.0252494,-0.0252494,-7.37302,0,-0.0176671,2.57993
1_1,Cyclic Voltammetry,2.81368,-0.0261465,-0.0261465,-7.20995,0,-0.0178526,2.54415
1_1,Cyclic Voltammetry,2.90525,-0.0270469,-0.0270469,-7.06696,0,-0.0180341,2.51264
1_1,Cyclic Voltammetry,2.99681,-0.027982,-0.027982,-6.94467,0,-0.0182123,2.48542
1_1,Cyclic Voltammetry,3.08838,-0.0288556,-0.0288556,-6.83623,0,-0.0183876,2.46157
1_1,Cyclic Voltammetry,3.17994,-0.0297437,-0.0297437,-6.73964,0,-0.0185602,2.44062
