"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Cyclic Voltammetry,0.099462,0.0434796,0.0434796,-0.75945,0,-2.09824e-05,0.701112
1_1,Cyclic Voltammetry,0.199062,-0.00108989,-0.00108989,-0.898954,0,-4.39236e-05,0.714652
1_1,Cyclic Voltammetry,0.298662,-0.00234274,-0.00234274,-0.850665,0,-6.81267e-05,0.724239
1_1,Cyclic Voltammetry,0.398262,-0.00335401,-0.00335401,-0.806968,0,-9.10573e-05,0.731928
1_1,Cyclic Voltammetry,0.497862,-0.00436727,-0.00436727,-0.766551,0,-0.000112824,0.73839
1_1,Cyclic Voltammetry,0.597462,-0.00534109,-0.00534109,-0.72939,0,-0.000133518,0.743831
1_1,Cyclic Voltammetry,0.697062,-0.00636633,-0.00636633,-0.694707,0,-0.000153218,0.748545
1_1,Cyclic Voltammetry,0.796662,-0.00740405,-0.00740405,-0.662537,0,-0.000171993,0.752696
1_1,Cyclic Voltammetry,0.896262,-0.00838038,-0.00838038,-0.632345,0,-0.000189906,0.756322
1_1,Cyclic Voltammetry,0.995862,-0.00934522,-0.00934522,-0.60457,0,-0.000207016,0.759488
1_1,Cyclic Voltammetry,1.09546,-0.010367,-0.010367,-0.578323,0,-0.00022338,0.762283
1_1,Cyclic Voltammetry,1.19506,-0.0113992,-0.0113992,-0.554081,0,-0.000239045,0.764837
1_1,Cyclic Voltammetry,1.29466,-0.012408,-0.012408,-0.531274,0,-0.000254059,0.767056
1_1,Cyclic Voltammetry,1.39426,-0.0133868,-0.0133868,-0.509946,0,-0.000268462,0.769124
1_1,Cyclic Voltammetry,1.49386,-0.0143661,-0.0143661,-0.49,0,-0.000282295,0.770907
1_1,Cyclic Voltammetry,1.59346,-0.0153065,-0.0153065,-0.4712,0,-0.000295591,0.772549
1_1,Cyclic Voltammetry,1.69306,-0.0163377,-0.0163377,-0.453582,0,-0.000308384,0.773984
1_1,Cyclic Voltammetry,1.79266,-0.017322,-0.017322,-0.43698,0,-0.000320704,0.775337
1_1,Cyclic Voltammetry,1.89226,-0.0183448,-0.0183448,-0.42138,0,-0.000332578,0.776603
1_1,Cyclic Voltammetry,1.99186,-0.0193436,-0.0193436,-0.406617,0,-0.000344032,0.777701
1_1,Cyclic Voltammetry,2.09146,-0.0203124,-0.0203124,-0.392942,0,-0.000355092,0.778748
1_1,Cyclic Voltammetry,2.19106,-0.0212807,-0.0212807,-0.379976,0,-0.000365784,0.779661
1_1,Cyclic Voltammetry,2.29066,-0.0222785,-0.0222785,-0.367592,0,-0.000376126,0.780527
1_1,Cyclic Voltammetry,2.39026,-0.0232878,-0.0232878,-0.35599,0,-0.000386135,0.78144
1_1,Cyclic Voltammetry,2.48986,-0.024313,-0.024313,-0.34512,0,-0.000395834,0.782246
1_1,Cyclic Voltammetry,2.58946,-0.0252953,-0.0252953,-0.334675,0,-0.000405238,0.78298
1_1,Cyclic Voltammetry,2.68906,-0.0263041,-0.0263041,-0.324919,0,-0.000414362,0.783699
1_1,Cyclic Voltammetry,2.78866,-0.0272655,-0.0272655,-0.315688,0,-0.000423224,0.784354
1_1,Cyclic Voltammetry,2.88826,-0.0282627,-0.0282627,-0.307002,0,-0.000431838,0.784922
1_1,Cyclic Voltammetry,2.98786,-0.029286,-0.029286,-0.298778,0,-0.000440218,0.785493
1_1,Cyclic Voltammetry,3.08746,-0.0302778,-0.0302778,-0.290886,0,-0.000448375,0.78605
1_1,Cyclic Voltammetry,3.18706,-0.0312626,-0.0312626,-0.28356,0,-0.000456321,0.786627
