"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Cyclic Voltammetry,0.101048,-0.00629623,-0.00629623,-7.11945,0,-0.000199834,0.527072
1_1,Cyclic Voltammetry,0.201247,-0.000526047,-0.000526047,-2.73535,0,-0.00033698,0.254098
1_1,Cyclic Voltammetry,0.301447,0.0015623,0.0015623,-0.800533,0,-0.000386187,0.13496
1_1,Cyclic Voltammetry,0.401647,0.00264397,0.00264397,-0.378823,0,-0.0004026,0.109359
1_1,Cyclic Voltammetry,0.501847,0.00366605,0.00366605,-0.222622,0,-0.00041097,0.0998138
1_1,Cyclic Voltammetry,0.602047,0.00473182,0.00473182,-0.143697,0,-0.000416068,0.0948808
1_1,Cyclic Voltammetry,0.702247,0.00574844,0.00574844,-0.0970033,0,-0.000419418,0.0917986
1_1,Cyclic Voltammetry,0.802447,0.006772,0.006772,-0.0651733,0,-0.000421675,0.0895248
1_1,Cyclic Voltammetry,0.902647,0.00776924,0.00776924,-0.0419439,0,-0.000423165,0.0876853
1_1,Cyclic Voltammetry,1.00285,0.00880224,0.00880224,-0.0241756,0,-0.000424086,0.0862929
1_1,Cyclic Voltammetry,1.10305,0.00979154,0.00979154,-0.010258,0,-0.000424565,0.0850933
1_1,Cyclic Voltammetry,1.20325,0.0107868,0.0107868,0.000483482,0,-0.000424701,0.0840214
1_1,Cyclic Voltammetry,1.30345,0.0118133,0.0118133,0.00972268,0,-0.000424559,0.0829897
1_1,Cyclic Voltammetry,1.40365,0.0128041,0.0128041,0.0172123,0,-0.000424184,0.0819978
1_1,Cyclic Voltammetry,1.50385,0.01378,0.01378,0.0236253,0,-0.000423616,0.0811237
1_1,Cyclic Voltammetry,1.60405,0.014744,0.014744,0.0296256,0,-0.000422875,0.0803166
1_1,Cyclic Voltammetry,1.70425,0.0157541,0.0157541,0.0345837,0,-0.000421981,0.0795035
1_1,Cyclic Voltammetry,1.80445,0.0167702,0.0167702,0.0387252,0,-0.000420961,0.0787262
1_1,Cyclic Voltammetry,1.90465,0.0178018,0.0178018,0.0424313,0,-0.000419831,0.0779361
1_1,Cyclic Voltammetry,2.00485,0.0188045,0.0188045,0.0459564,0,-0.000418601,0.0771667
1_1,Cyclic Voltammetry,2.10505,0.0201141,0.0201141,0.0420505,0,-0.000417377,0.0766126
1_1,Cyclic Voltammetry,2.20525,0.0207617,0.0207617,0.0531237,0,-0.000416052,0.0757528
