"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9924,0.200439,0.200439,7.05686e-08,0,1.17599e-09,0.300474
1_1,Constant Potential,119.992,0.200436,0.200436,2.11908e-06,0,1.94231e-08,0.300487
1_1,Constant Potential,179.992,0.200407,0.200407,4.65512e-06,0,7.58747e-08,0.300499
1_1,Constant Potential,239.992,0.200452,0.200452,8.80818e-07,0,1.22008e-07,0.300485
1_1,Constant Potential,299.992,0.200419,0.200419,2.35827e-06,0,1.49e-07,0.30047
1_1,Constant Potential,359.992,0.200444,0.200444,2.58372e-06,0,1.90183e-07,0.300469
1_1,Constant Potential,419.992,0.200465,0.200465,3.04721e-06,0,2.37107e-07,0.300445
1_1,Constant Potential,479.992,0.200459,0.200459,2.57113e-06,0,2.83927e-07,0.300459
1_1,Constant Potential,539.992,0.20043,0.20043,2.18431e-06,0,3.23556e-07,0.300428
1_1,Constant Potential,599.992,0.200461,0.200461,4.60934e-06,0,3.80169e-07,0.30045
1_1,Constant Potential,659.992,0.200454,0.200454,3.40884e-06,0,4.46988e-07,0.300466
1_1,Constant Potential,719.992,0.200447,0.200447,2.26442e-06,0,4.94265e-07,0.300436
1_1,Constant Potential,779.992,0.200443,0.200443,3.51642e-06,0,5.42439e-07,0.300475
1_1,Constant Potential,839.992,0.200451,0.200451,3.69953e-06,0,6.02571e-07,0.300422
1_1,Constant Potential,899.992,0.2004,0.2004,2.00121e-06,0,6.50078e-07,0.300451
1_1,Constant Potential,959.992,0.200446,0.200446,1.81696e-06,0,6.81896e-07,0.300461
1_1,Constant Potential,1019.99,0.200463,0.200463,1.04561e-06,0,7.0575e-07,0.300416
1_1,Constant Potential,1079.99,0.200492,0.200492,2.65582e-06,0,7.36596e-07,0.300433
1_1,Constant Potential,1139.99,0.200419,0.200419,-5.03931e-07,0,7.54528e-07,0.300409
1_1,Constant Potential,1199.99,0.200424,0.200424,3.83114e-06,0,7.82255e-07,0.300392
1_1,Constant Potential,1259.99,0.200446,0.200446,2.98884e-06,0,8.39088e-07,0.300402
1_1,Constant Potential,1319.99,0.200441,0.200441,2.65353e-06,0,8.86108e-07,0.300409
1_1,Constant Potential,1379.99,0.200446,0.200446,1.86159e-06,0,9.23733e-07,0.300392
1_1,Constant Potential,1439.99,0.200479,0.200479,2.40175e-06,0,9.59261e-07,0.300375
1_1,Constant Potential,1499.99,0.200449,0.200449,2.84007e-06,0,1.00294e-06,0.300343
1_1,Constant Potential,1559.99,0.200404,0.200404,3.61026e-06,0,1.0567e-06,0.300309
1_1,Constant Potential,1619.99,0.200444,0.200444,3.08841e-06,0,1.11252e-06,0.300294
1_1,Constant Potential,1679.99,0.200437,0.200437,2.73707e-06,0,1.16106e-06,0.300305
1_1,Constant Potential,1739.99,0.200424,0.200424,2.31821e-06,0,1.20319e-06,0.300284
1_1,Constant Potential,1799.99,0.200419,0.200419,4.24313e-06,0,1.25787e-06,0.300259
1_1,Constant Potential,1859.99,0.200421,0.200421,3.64345e-06,0,1.32359e-06,0.300261
1_1,Constant Potential,1919.99,0.20043,0.20043,3.82312e-06,0,1.38581e-06,0.300232
1_1,Constant Potential,1979.99,0.200441,0.200441,1.73227e-06,0,1.43211e-06,0.30099
1_1,Constant Potential,2039.99,0.200444,0.200444,5.46648e-07,0,1.4511e-06,0.301112
1_1,Constant Potential,2099.99,0.20044,0.20044,3.01974e-06,0,1.48082e-06,0.301402
1_1,Constant Potential,2159.99,0.20044,0.20044,2.40748e-06,0,1.52604e-06,0.302732
1_1,Constant Potential,2219.99,0.200454,0.200454,-5.82896e-07,0,1.54125e-06,0.303835
1_1,Constant Potential,2279.99,0.200462,0.200462,2.13968e-06,0,1.55422e-06,0.304652
1_1,Constant Potential,2339.99,0.200482,0.200482,3.26007e-06,0,1.59922e-06,0.305267
1_1,Constant Potential,2399.99,0.200433,0.200433,-7.40021e-05,0,1.0097e-06,0.387622
1_1,Constant Potential,2459.99,0.20044,0.20044,3.0733e-05,0,6.49128e-07,0.378278
1_1,Constant Potential,2519.99,0.200422,0.200422,-0.000433719,0,-2.70909e-06,0.373146
1_1,Constant Potential,2579.99,0.200454,0.200454,-0.000157903,0,-7.63927e-06,0.367958
1_1,Constant Potential,2639.99,0.200449,0.200449,0.000143083,0,-7.76277e-06,0.364376
1_1,Constant Potential,2699.99,0.20046,0.20046,-0.00111315,0,-1.58467e-05,0.361527
1_1,Constant Potential,2759.99,0.200417,0.200417,2.06987e-06,0,-2.51057e-05,0.358983
1_1,Constant Potential,2819.99,0.200435,0.200435,-0.000105531,0,-2.59679e-05,0.357121
1_1,Constant Potential,2879.99,0.200466,0.200466,0.000839617,0,-1.98505e-05,0.355143
1_1,Constant Potential,2939.99,0.200407,0.200407,0.000867523,0,-5.62431e-06,0.353529
1_1,Constant Potential,2999.99,0.200417,0.200417,0.00155238,0,1.45415e-05,0.352169
1_1,Constant Potential,3059.99,0.200466,0.200466,0.000485098,0,3.15205e-05,0.350789
1_1,Constant Potential,3119.99,0.200446,0.200446,-0.000427189,0,3.20031e-05,0.350942
1_1,Constant Potential,3179.99,0.200479,0.200479,0.00210092,0,4.59508e-05,0.349566
1_1,Constant Potential,3239.99,0.20046,0.20046,-0.00066113,0,5.79491e-05,0.348619
1_1,Constant Potential,3299.99,0.200452,0.200452,-0.000755728,0,4.61419e-05,0.347689
1_1,Constant Potential,3359.99,0.200469,0.200469,0.00145393,0,5.19603e-05,0.346869
1_1,Constant Potential,3419.99,0.200447,0.200447,0.000357611,0,6.70564e-05,0.345915
1_1,Constant Potential,3479.99,0.20046,0.20046,-0.000866701,0,6.2814e-05,0.345222
1_1,Constant Potential,3539.99,0.200423,0.200423,-0.00175007,0,4.10076e-05,0.344483
1_1,Constant Potential,3599.99,0.20045,0.20045,-0.000481718,0,2.24093e-05,0.343777
1_1,Constant Potential,3659.99,0.200457,0.200457,0.000108794,0,1.93016e-05,0.342825
1_1,Constant Potential,3719.99,0.200465,0.200465,0.000782161,0,2.67263e-05,0.342612
1_1,Constant Potential,3779.99,0.20042,0.20042,-0.000926355,0,2.55246e-05,0.34132
1_1,Constant Potential,3839.99,0.200456,0.200456,-0.000278233,0,1.54864e-05,0.340599
1_1,Constant Potential,3899.99,0.200505,0.200505,-0.000527673,0,8.77052e-06,0.337112
1_1,Constant Potential,3959.99,0.200468,0.200468,0.000606702,0,9.42909e-06,0.336274
1_1,Constant Potential,4019.99,0.200468,0.200468,-5.96625e-05,0,1.39878e-05,0.335779
1_1,Constant Potential,4079.99,0.200442,0.200442,-0.00112271,0,4.13467e-06,0.335417
1_1,Constant Potential,4139.99,0.200457,0.200457,0.000110476,0,-4.30058e-06,0.334926
1_1,Constant Potential,4199.99,0.200461,0.200461,-0.000756598,0,-9.68493e-06,0.334673
1_1,Constant Potential,4259.99,0.200451,0.200451,-0.000505849,0,-2.02053e-05,0.334302
1_1,Constant Potential,4319.99,0.200438,0.200438,0.000435099,0,-2.07949e-05,0.33392
1_1,Constant Potential,4379.99,0.200435,0.200435,0.000975189,0,-9.0425e-06,0.333577
1_1,Constant Potential,4439.99,0.200482,0.200482,0.000255155,0,1.21037e-06,0.333351
1_1,Constant Potential,4499.99,0.20046,0.20046,-8.31575e-06,0,3.26736e-06,0.333073
1_1,Constant Potential,4559.99,0.200419,0.200419,-0.00119915,0,-6.79487e-06,0.332891
1_1,Constant Potential,4619.99,0.200468,0.200468,-0.000489171,0,-2.08642e-05,0.332533
1_1,Constant Potential,4679.99,0.200455,0.200455,-0.000518326,0,-2.926e-05,0.33222
1_1,Constant Potential,4739.99,0.200463,0.200463,-0.000110553,0,-3.45007e-05,0.331974
1_1,Constant Potential,4799.99,0.200447,0.200447,-0.000137746,0,-3.65698e-05,0.331751
1_1,Constant Potential,4859.99,0.200457,0.200457,4.04686e-05,0,-3.73805e-05,0.331498
