"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Cyclic Voltammetry,0.06647,0.196102,0.196102,-0.0402066,0,-7.4237e-07,0.206217
1_1,Cyclic Voltammetry,0.158028,0.0775027,0.0775027,-2.9033,0,-3.81731e-05,0.45357
1_1,Cyclic Voltammetry,0.249595,0.00240807,0.00240807,-3.52812,0,-0.000119966,0.527818
1_1,Cyclic Voltammetry,0.341173,0.00318753,0.00318753,-2.5149,0,-0.000196828,0.466767
1_1,Cyclic Voltammetry,0.432727,0.00397035,0.00397035,-1.86439,0,-0.000252514,0.426941
1_1,Cyclic Voltammetry,0.524305,0.00486741,0.00486741,-1.40966,0,-0.000294157,0.398282
1_1,Cyclic Voltammetry,0.615861,0.00567263,0.00567263,-1.08225,0,-0.000325845,0.376667
1_1,Cyclic Voltammetry,0.707423,0.00649129,0.00649129,-0.837326,0,-0.000350256,0.359702
1_1,Cyclic Voltammetry,0.799022,0.00735922,0.00735922,-0.653193,0,-0.000369218,0.346067
1_1,Cyclic Voltammetry,0.890577,0.0082462,0.0082462,-0.511486,0,-0.000384028,0.335061
1_1,Cyclic Voltammetry,0.98212,0.00911749,0.00911749,-0.403543,0,-0.000395662,0.325998
1_1,Cyclic Voltammetry,1.07369,0.0100493,0.0100493,-0.317704,0,-0.000404835,0.318405
1_1,Cyclic Voltammetry,1.16526,0.0108825,0.0108825,-0.252235,0,-0.000412083,0.312256
1_1,Cyclic Voltammetry,1.25682,0.0117907,0.0117907,-0.199127,0,-0.000417824,0.30696
1_1,Cyclic Voltammetry,1.34839,0.0127052,0.0127052,-0.157207,0,-0.000422355,0.302314
1_1,Cyclic Voltammetry,1.43996,0.0136095,0.0136095,-0.126061,0,-0.000425958,0.29833
1_1,Cyclic Voltammetry,1.53152,0.0145357,0.0145357,-0.100013,0,-0.000428833,0.294958
1_1,Cyclic Voltammetry,1.62309,0.0154372,0.0154372,-0.0774918,0,-0.00043109,0.291807
1_1,Cyclic Voltammetry,1.71466,0.0164048,0.0164048,-0.0600963,0,-0.00043284,0.289136
1_1,Cyclic Voltammetry,1.80622,0.0172526,0.0172526,-0.0444226,0,-0.000434169,0.286637
1_1,Cyclic Voltammetry,1.89778,0.0181608,0.0181608,-0.0328421,0,-0.000435152,0.284479
1_1,Cyclic Voltammetry,1.98934,0.0191542,0.0191542,-0.0221962,0,-0.000435852,0.282402
1_1,Cyclic Voltammetry,2.08092,0.0200244,0.0200244,-0.0138609,0,-0.00043631,0.280514
1_1,Cyclic Voltammetry,2.17248,0.0209528,0.0209528,-0.00591227,0,-0.000436562,0.278783
1_1,Cyclic Voltammetry,2.26408,0.0218061,0.0218061,-0.000438698,0,-0.000436643,0.277171
1_1,Cyclic Voltammetry,2.35564,0.0227267,0.0227267,0.00532195,0,-0.00043658,0.275661
1_1,Cyclic Voltammetry,2.44719,0.0236551,0.0236551,0.0102441,0,-0.000436383,0.274185
1_1,Cyclic Voltammetry,2.53875,0.0245623,0.0245623,0.0135342,0,-0.00043608,0.272687
1_1,Cyclic Voltammetry,2.63032,0.0254482,0.0254482,0.0288346,0,-0.000435541,0.271338
1_1,Cyclic Voltammetry,2.72188,0.0264236,0.0264236,0.0224653,0,-0.000434889,0.270078
1_1,Cyclic Voltammetry,2.81344,0.0273251,0.0273251,0.0248033,0,-0.000434288,0.268884
1_1,Cyclic Voltammetry,2.90502,0.0282524,0.0282524,0.0279564,0,-0.000433617,0.267745
1_1,Cyclic Voltammetry,2.99657,0.0292211,0.0292211,0.0297787,0,-0.000432883,0.266675
1_1,Cyclic Voltammetry,3.08814,0.0300824,0.0300824,0.0321151,0,-0.000432095,0.265564
1_1,Cyclic Voltammetry,3.17972,0.0309805,0.0309805,0.0340011,0,-0.000431255,0.264568
