Working Electrode (V),Current (mA)
-0.000123011,0.982263
0.000451194,0.965662
0.00109997,0.987547
0.00179349,1.01038
0.00244972,1.0144
0.00310596,1.02814
0.0037249,1.02505
0.00434385,1.03013
0.00505974,1.03887
0.00574581,1.03377
0.00639458,1.04557
0.00709556,1.04087
0.00774434,1.04099
0.00846768,1.04942
0.00909409,1.0412
0.00966829,1.05092
0.010414,1.04385
0.0110628,1.04497
0.0117489,1.04905
0.0124647,1.03904
0.0130837,1.04857
0.0137325,1.04689
0.014426,1.04794
0.0150748,1.05011
0.0157161,1.0434
0.0163201,1.05157
0.0170211,1.04373
0.0176848,1.04847
0.0184156,1.05571
0.0190345,1.04531
0.0196833,1.05166
0.0203619,1.04347
0.021048,1.04831
0.0216744,1.05033
0.0223306,1.04315
0.0229719,1.05121
0.0236505,1.04333
0.024262,1.04927
0.0249183,1.05154
0.0256043,1.04524
0.0262606,1.05509
0.0269988,1.04968
0.0276029,1.05158
0.0282889,1.05244
0.0289153,1.04442
0.0296685,1.05418
0.0302725,1.04579
0.0309437,1.04979
0.0316521,1.05211
0.0322487,1.04425
0.0328676,1.05495
0.0335313,1.0481
0.034195,1.05424
0.0349258,1.05357
0.0355671,1.04603
0.0362383,1.05742
0.0369542,1.05006
0.0375731,1.05485
0.038289,1.05331
0.0388781,1.04693
0.0395866,1.05972
0.0402503,1.04943
0.0409065,1.05771
0.0415553,1.05583
0.0422637,1.04899
0.0429498,1.05824
0.043606,1.05122
0.04421,1.05506
0.0449409,1.05586
0.0455374,1.05107
0.0462086,1.06013
0.0469245,1.05109
0.0475732,1.05708
0.0482817,1.05526
0.0489454,1.05122
0.0496091,1.05993
0.0502877,1.05315
0.0508693,1.05676
0.0515628,1.05477
0.0521743,1.04932
0.0529201,1.05869
0.0535763,1.04739
0.0542101,1.05709
0.0548813,1.05475
0.0555152,1.05579
0.0561863,1.06108
0.0568873,1.0545
0.0575361,1.05577
0.0582221,1.05418
0.0588784,1.05294
0.059542,1.06208
0.0601759,1.0512
0.0609067,1.05852
0.0615555,1.05324
0.0621819,1.05444
0.0628903,1.06012
0.0635391,1.05126
0.064173,1.05883
0.0648292,1.054
0.0654929,1.05375
0.0662162,1.05936
0.0668576,1.04907
0.0674914,1.05917
0.0681551,1.05491
0.0687666,1.05516
0.069475,1.0605
0.0701387,1.05354
0.0707651,1.06036
0.0714736,1.05331
0.0721373,1.05186
0.0728084,1.05897
0.0734572,1.04792
0.0741582,1.0575
0.0747622,1.05391
0.0754408,1.05654
0.0761343,1.0584
0.0767905,1.05196
0.0774319,1.05968
0.0781179,1.05042
0.0788189,1.05053
0.0794155,1.05501
0.080109,1.04609
0.0807876,1.05307
0.081496,1.04463
0.0820926,1.05309
0.0828085,1.05337
0.0834275,1.04631
0.0841433,1.05636
0.0848145,1.05059
0.0854409,1.05151
0.0860897,1.05275
0.086731,1.04476
0.0874171,1.05482
0.0880807,1.047
0.0887221,1.0498
0.0894305,1.05011
0.0900793,1.04215
0.0906833,1.05161
0.0913396,1.04423
0.0920256,1.04323
0.0927266,1.04821
0.0933977,1.04121
0.0940465,1.05077
0.0947177,1.04174
0.0953292,1.04404
0.09606,1.04564
0.0967162,1.04049
0.0974023,1.04616
0.0980734,1.0409
0.0987073,1.04445
0.0993784,1.0424
0.100087,1.03483
0.100736,1.0453
0.101384,1.0375
0.10207,1.04006
