"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
2_1,Cyclic Voltammetry,28.2815,-0.000123011,-0.000123011,0.982263,0,0.00771662,-0.149281
2_1,Cyclic Voltammetry,28.2882,0.000451194,0.000451194,0.965662,0,0.00771843,-0.148968
2_1,Cyclic Voltammetry,28.2949,0.00109997,0.00109997,0.987547,0,0.00772025,-0.151142
2_1,Cyclic Voltammetry,28.3017,0.00179349,0.00179349,1.01038,0,0.00772215,-0.153659
2_1,Cyclic Voltammetry,28.3084,0.00244972,0.00244972,1.0144,0,0.00772403,-0.154806
2_1,Cyclic Voltammetry,28.3151,0.00310596,0.00310596,1.02814,0,0.00772593,-0.156764
2_1,Cyclic Voltammetry,28.3218,0.0037249,0.0037249,1.02505,0,0.00772784,-0.157442
2_1,Cyclic Voltammetry,28.3285,0.00434385,0.00434385,1.03013,0,0.00772976,-0.158715
2_1,Cyclic Voltammetry,28.3352,0.00505974,0.00505974,1.03887,0,0.00773168,-0.160279
2_1,Cyclic Voltammetry,28.3419,0.00574581,0.00574581,1.03377,0,0.00773361,-0.160845
2_1,Cyclic Voltammetry,28.3486,0.00639458,0.00639458,1.04557,0,0.00773555,-0.162602
2_1,Cyclic Voltammetry,28.3553,0.00709556,0.00709556,1.04087,0,0.00773749,-0.16328
2_1,Cyclic Voltammetry,28.362,0.00774434,0.00774434,1.04099,0,0.00773942,-0.16424
2_1,Cyclic Voltammetry,28.3687,0.00846768,0.00846768,1.04942,0,0.00774137,-0.165923
2_1,Cyclic Voltammetry,28.3754,0.00909409,0.00909409,1.0412,0,0.00774332,-0.166377
2_1,Cyclic Voltammetry,28.3821,0.00966829,0.00966829,1.05092,0,0.00774526,-0.167978
2_1,Cyclic Voltammetry,28.3888,0.010414,0.010414,1.04385,0,0.00774721,-0.168492
2_1,Cyclic Voltammetry,28.3955,0.0110628,0.0110628,1.04497,0,0.00774916,-0.169438
2_1,Cyclic Voltammetry,28.4022,0.0117489,0.0117489,1.04905,0,0.0077511,-0.170786
2_1,Cyclic Voltammetry,28.4089,0.0124647,0.0124647,1.03904,0,0.00775305,-0.171039
2_1,Cyclic Voltammetry,28.4156,0.0130837,0.0130837,1.04857,0,0.00775499,-0.172669
2_1,Cyclic Voltammetry,28.4223,0.0137325,0.0137325,1.04689,0,0.00775694,-0.173526
2_1,Cyclic Voltammetry,28.429,0.014426,0.014426,1.04794,0,0.00775889,-0.174538
2_1,Cyclic Voltammetry,28.4357,0.0150748,0.0150748,1.05011,0,0.00776084,-0.175685
2_1,Cyclic Voltammetry,28.4424,0.0157161,0.0157161,1.0434,0,0.00776279,-0.176169
2_1,Cyclic Voltammetry,28.4491,0.0163201,0.0163201,1.05157,0,0.00776474,-0.177696
2_1,Cyclic Voltammetry,28.4558,0.0170211,0.0170211,1.04373,0,0.00776669,-0.178097
2_1,Cyclic Voltammetry,28.4625,0.0176848,0.0176848,1.04847,0,0.00776864,-0.179326
2_1,Cyclic Voltammetry,28.4692,0.0184156,0.0184156,1.05571,0,0.00777059,-0.18086
2_1,Cyclic Voltammetry,28.4759,0.0190345,0.0190345,1.04531,0,0.00777255,-0.18118
2_1,Cyclic Voltammetry,28.4826,0.0196833,0.0196833,1.05166,0,0.0077745,-0.182632
2_1,Cyclic Voltammetry,28.4893,0.0203619,0.0203619,1.04347,0,0.00777645,-0.183086
2_1,Cyclic Voltammetry,28.496,0.021048,0.021048,1.04831,0,0.0077784,-0.184285
2_1,Cyclic Voltammetry,28.5027,0.0216744,0.0216744,1.05033,0,0.00778035,-0.185387
2_1,Cyclic Voltammetry,28.5094,0.0223306,0.0223306,1.04315,0,0.0077823,-0.185901
2_1,Cyclic Voltammetry,28.5161,0.0229719,0.0229719,1.05121,0,0.00778425,-0.187398
2_1,Cyclic Voltammetry,28.5228,0.0236505,0.0236505,1.04333,0,0.0077862,-0.187852
2_1,Cyclic Voltammetry,28.5295,0.024262,0.024262,1.04927,0,0.00778814,-0.189215
2_1,Cyclic Voltammetry,28.5362,0.0249183,0.0249183,1.05154,0,0.0077901,-0.190399
2_1,Cyclic Voltammetry,28.5429,0.0256043,0.0256043,1.04524,0,0.00779205,-0.19089
2_1,Cyclic Voltammetry,28.5496,0.0262606,0.0262606,1.05509,0,0.007794,-0.192528
2_1,Cyclic Voltammetry,28.5563,0.0269988,0.0269988,1.04968,0,0.00779596,-0.193086
2_1,Cyclic Voltammetry,28.563,0.0276029,0.0276029,1.05158,0,0.00779792,-0.194226
2_1,Cyclic Voltammetry,28.5697,0.0282889,0.0282889,1.05244,0,0.00779987,-0.195201
2_1,Cyclic Voltammetry,28.5764,0.0289153,0.0289153,1.04442,0,0.00780183,-0.195648
2_1,Cyclic Voltammetry,28.5831,0.0296685,0.0296685,1.05418,0,0.00780378,-0.197301
2_1,Cyclic Voltammetry,28.5898,0.0302725,0.0302725,1.04579,0,0.00780573,-0.197703
2_1,Cyclic Voltammetry,28.5965,0.0309437,0.0309437,1.04979,0,0.00780768,-0.198954
