"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
2_1,Cyclic Voltammetry,28.0073,0.00110866,0.00110866,0.953342,0,0.00741681,-0.257198
2_1,Cyclic Voltammetry,28.0165,0.00171909,0.00171909,0.916879,0,0.00741919,-0.255836
2_1,Cyclic Voltammetry,28.0256,0.00229637,0.00229637,0.901268,0,0.0074215,-0.255756
2_1,Cyclic Voltammetry,28.0348,0.00314531,0.00314531,0.899033,0,0.0074238,-0.25656
2_1,Cyclic Voltammetry,28.0439,0.00389238,0.00389238,0.902172,0,0.00742608,-0.257941
2_1,Cyclic Voltammetry,28.0531,0.00495638,0.00495638,0.906778,0,0.00742838,-0.259492
2_1,Cyclic Voltammetry,28.0622,0.00587324,0.00587324,0.911322,0,0.0074307,-0.260918
2_1,Cyclic Voltammetry,28.0714,0.00694857,0.00694857,0.915283,0,0.00743302,-0.262537
2_1,Cyclic Voltammetry,28.0805,0.00771828,0.00771828,0.91925,0,0.00743534,-0.26385
2_1,Cyclic Voltammetry,28.0897,0.00861249,0.00861249,0.921702,0,0.00743769,-0.265321
2_1,Cyclic Voltammetry,28.0989,0.00954067,0.00954067,0.9262,0,0.00744004,-0.266861
2_1,Cyclic Voltammetry,28.108,0.0104123,0.0104123,0.929379,0,0.00744241,-0.268253
2_1,Cyclic Voltammetry,28.1172,0.0113291,0.0113291,0.933258,0,0.00744478,-0.269736
2_1,Cyclic Voltammetry,28.1263,0.0122573,0.0122573,0.936546,0,0.00744714,-0.271139
2_1,Cyclic Voltammetry,28.1355,0.0131968,0.0131968,0.938815,0,0.00744953,-0.272532
2_1,Cyclic Voltammetry,28.1446,0.0140457,0.0140457,0.940574,0,0.00745191,-0.273981
2_1,Cyclic Voltammetry,28.1538,0.0150418,0.0150418,0.94393,0,0.00745431,-0.275509
2_1,Cyclic Voltammetry,28.1629,0.0160039,0.0160039,0.947075,0,0.00745672,-0.276777
2_1,Cyclic Voltammetry,28.1721,0.0168642,0.0168642,0.949256,0,0.00745913,-0.278158
2_1,Cyclic Voltammetry,28.1813,0.0176679,0.0176679,0.952272,0,0.00746156,-0.279652
2_1,Cyclic Voltammetry,28.1904,0.0185281,0.0185281,0.953767,0,0.00746397,-0.28084
2_1,Cyclic Voltammetry,28.1995,0.0195808,0.0195808,0.95626,0,0.0074664,-0.28238
2_1,Cyclic Voltammetry,28.2087,0.020543,0.020543,0.957089,0,0.00746883,-0.283681
2_1,Cyclic Voltammetry,28.2179,0.021324,0.021324,0.959072,0,0.00747127,-0.285006
2_1,Cyclic Voltammetry,28.227,0.0221956,0.0221956,0.960716,0,0.00747371,-0.286353
2_1,Cyclic Voltammetry,28.2362,0.0231803,0.0231803,0.96215,0,0.00747616,-0.287824
2_1,Cyclic Voltammetry,28.2453,0.0240293,0.0240293,0.963719,0,0.0074786,-0.289047
2_1,Cyclic Voltammetry,28.2545,0.0249348,0.0249348,0.965356,0,0.00748106,-0.29045
2_1,Cyclic Voltammetry,28.2636,0.0259535,0.0259535,0.967109,0,0.00748351,-0.291594
2_1,Cyclic Voltammetry,28.2728,0.0268817,0.0268817,0.967319,0,0.00748597,-0.292986
2_1,Cyclic Voltammetry,28.2819,0.0275835,0.0275835,0.967972,0,0.00748843,-0.29431
2_1,Cyclic Voltammetry,28.2911,0.0285909,0.0285909,0.968169,0,0.00749089,-0.295556
2_1,Cyclic Voltammetry,28.3003,0.0295644,0.0295644,0.969059,0,0.00749336,-0.296733
2_1,Cyclic Voltammetry,28.3094,0.0305831,0.0305831,0.968712,0,0.00749583,-0.297967
2_1,Cyclic Voltammetry,28.3186,0.031466,0.031466,0.968658,0,0.00749829,-0.299189
2_1,Cyclic Voltammetry,28.3277,0.0323036,0.0323036,0.967381,0,0.00750074,-0.300321
2_1,Cyclic Voltammetry,28.3369,0.0331865,0.0331865,0.967632,0,0.00750321,-0.301645
2_1,Cyclic Voltammetry,28.346,0.0340242,0.0340242,0.96772,0,0.00750567,-0.302755
2_1,Cyclic Voltammetry,28.3552,0.0350882,0.0350882,0.966504,0,0.00750813,-0.303932
2_1,Cyclic Voltammetry,28.3643,0.0359937,0.0359937,0.967,0,0.00751059,-0.305211
2_1,Cyclic Voltammetry,28.3735,0.0368653,0.0368653,0.965587,0,0.00751305,-0.306434
2_1,Cyclic Voltammetry,28.3826,0.0378387,0.0378387,0.964507,0,0.0075155,-0.307498
2_1,Cyclic Voltammetry,28.3918,0.0386311,0.0386311,0.961661,0,0.00751794,-0.308482
2_1,Cyclic Voltammetry,28.4009,0.0396385,0.0396385,0.958855,0,0.00752039,-0.309399
2_1,Cyclic Voltammetry,28.4101,0.0407817,0.0407817,0.957524,0,0.00752282,-0.310509
2_1,Cyclic Voltammetry,28.4193,0.0416194,0.0416194,0.956185,0,0.00752526,-0.311663
2_1,Cyclic Voltammetry,28.4284,0.0425928,0.0425928,0.952972,0,0.00752769,-0.312535
2_1,Cyclic Voltammetry,28.4376,0.0435323,0.0435323,0.950954,0,0.00753011,-0.313508
2_1,Cyclic Voltammetry,28.4467,0.0441322,0.0441322,0.948047,0,0.00753252,-0.314436
2_1,Cyclic Voltammetry,28.4559,0.0453434,0.0453434,0.944759,0,0.00753493,-0.315591
2_1,Cyclic Voltammetry,28.465,0.0461018,0.0461018,0.942429,0,0.00753733,-0.316349
2_1,Cyclic Voltammetry,28.4742,0.0471318,0.0471318,0.937966,0,0.00753972,-0.317244
