"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
2_1,Cyclic Voltammetry,28.3887,-0.000277541,-0.000277541,2.45145,0,0.0193316,-0.252798
2_1,Cyclic Voltammetry,28.4883,0.000932046,0.000932046,1.76977,0,0.0193899,-0.216435
2_1,Cyclic Voltammetry,28.5879,0.00189305,0.00189305,1.4176,0,0.019434,-0.197786
2_1,Cyclic Voltammetry,28.6875,0.00291773,0.00291773,1.17475,0,0.0194699,-0.185233
2_1,Cyclic Voltammetry,28.7871,0.00391897,0.00391897,1.01472,0,0.0195002,-0.177222
2_1,Cyclic Voltammetry,28.8867,0.00489177,0.00489177,0.90392,0,0.0195267,-0.171971
2_1,Cyclic Voltammetry,28.9863,0.00585908,0.00585908,0.825159,0,0.0195506,-0.168516
2_1,Cyclic Voltammetry,29.0859,0.00688575,0.00688575,0.765343,0,0.0195726,-0.166109
2_1,Cyclic Voltammetry,29.1855,0.00791692,0.00791692,0.718059,0,0.0195932,-0.164319
2_1,Cyclic Voltammetry,29.2851,0.00891217,0.00891217,0.679617,0,0.0196125,-0.163073
2_1,Cyclic Voltammetry,29.3847,0.00989445,0.00989445,0.648023,0,0.0196309,-0.162127
2_1,Cyclic Voltammetry,29.4843,0.0108772,0.0108772,0.621355,0,0.0196484,-0.161503
2_1,Cyclic Voltammetry,29.5839,0.0118555,0.0118555,0.59869,0,0.0196653,-0.161121
2_1,Cyclic Voltammetry,29.6835,0.0128687,0.0128687,0.579375,0,0.0196816,-0.16093
2_1,Cyclic Voltammetry,29.7831,0.0138834,0.0138834,0.562505,0,0.0196974,-0.160833
2_1,Cyclic Voltammetry,29.8827,0.0148901,0.0148901,0.546858,0,0.0197127,-0.160801
2_1,Cyclic Voltammetry,29.9823,0.0158475,0.0158475,0.533517,0,0.0197277,-0.160847
2_1,Cyclic Voltammetry,30.0819,0.0168542,0.0168542,0.522379,0,0.0197423,-0.161118
2_1,Cyclic Voltammetry,30.1815,0.0178859,0.0178859,0.511676,0,0.0197566,-0.161386
2_1,Cyclic Voltammetry,30.2811,0.0188841,0.0188841,0.502159,0,0.0197706,-0.161734
2_1,Cyclic Voltammetry,30.3807,0.0198873,0.0198873,0.49376,0,0.0197844,-0.162146
2_1,Cyclic Voltammetry,30.4803,0.0208377,0.0208377,0.485055,0,0.0197979,-0.162493
2_1,Cyclic Voltammetry,30.5799,0.0218444,0.0218444,0.477543,0,0.0198113,-0.162923
2_1,Cyclic Voltammetry,30.6795,0.0228357,0.0228357,0.47121,0,0.0198244,-0.163433
2_1,Cyclic Voltammetry,30.7791,0.0238628,0.0238628,0.464679,0,0.0198373,-0.163957
