Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm²),Cumulative Charge (mAh),Counter Electrode (V)
2_4,Cyclic Voltammetry,873.21,-0.60039,-0.60039,-0.170335,0,-0.041316,0.142405
2_4,Cyclic Voltammetry,873.31,-0.599582,-0.599582,-0.0854321,0,-0.0413196,0.13743
2_4,Cyclic Voltammetry,873.41,-0.598561,-0.598561,-0.0525201,0,-0.0413215,0.134777
2_4,Cyclic Voltammetry,873.51,-0.597554,-0.597554,-0.0388464,0,-0.0413228,0.13308
2_4,Cyclic Voltammetry,873.611,-0.596556,-0.596556,-0.0311073,0,-0.0413238,0.131609
2_4,Cyclic Voltammetry,873.711,-0.595601,-0.595601,-0.026151,0,-0.0413246,0.130304
2_4,Cyclic Voltammetry,873.911,-0.593618,-0.593618,-0.017584,0,-0.0413258,0.127665
2_4,Cyclic Voltammetry,874.011,-0.592645,-0.592645,-0.014397,0,-0.0413262,0.126374
2_4,Cyclic Voltammetry,874.112,-0.591605,-0.591605,-0.0110666,0,-0.0413266,0.125092
2_4,Cyclic Voltammetry,874.212,-0.59058,-0.59058,-0.00877739,0,-0.0413269,0.123828
2_4,Cyclic Voltammetry,874.312,-0.589587,-0.589587,-0.00622717,0,-0.0413271,0.122605
2_4,Cyclic Voltammetry,874.412,-0.588601,-0.588601,-0.0037469,0,-0.0413272,0.121332
2_4,Cyclic Voltammetry,874.512,-0.587599,-0.587599,-0.00131621,0,-0.0413273,0.120043
2_4,Cyclic Voltammetry,874.613,-0.586618,-0.586618,0.000803528,0,-0.0413273,0.118884
2_4,Cyclic Voltammetry,874.713,-0.585638,-0.585638,0.00245783,0,-0.0413272,0.117648
2_4,Cyclic Voltammetry,874.813,-0.584641,-0.584641,0.0043134,0,-0.0413271,0.116416
2_4,Cyclic Voltammetry,874.913,-0.583662,-0.583662,0.00642958,0,-0.041327,0.115159
2_4,Cyclic Voltammetry,875.013,-0.582635,-0.582635,0.00836322,0,-0.0413268,0.11388
2_4,Cyclic Voltammetry,875.114,-0.581605,-0.581605,0.00973804,0,-0.0413265,0.11264
2_4,Cyclic Voltammetry,875.214,-0.580624,-0.580624,0.0112577,0,-0.0413262,0.11145
2_4,Cyclic Voltammetry,875.314,-0.579625,-0.579625,0.0129486,0,-0.0413259,0.110201
2_4,Cyclic Voltammetry,875.414,-0.578658,-0.578658,0.0143361,0,-0.0413255,0.108966
2_4,Cyclic Voltammetry,875.514,-0.577692,-0.577692,0.0156692,0,-0.0413251,0.107686
2_4,Cyclic Voltammetry,875.615,-0.576743,-0.576743,0.0169162,0,-0.0413247,0.106429
2_4,Cyclic Voltammetry,875.715,-0.575755,-0.575755,0.018311,0,-0.0413242,0.105203
2_4,Cyclic Voltammetry,875.815,-0.574744,-0.574744,0.0197881,0,-0.0413236,0.103947
2_4,Cyclic Voltammetry,875.915,-0.573705,-0.573705,0.0209576,0,-0.0413231,0.102735
2_4,Cyclic Voltammetry,876.015,-0.57266,-0.57266,0.0223201,0,-0.0413225,0.101477
