Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm²),Cumulative Charge (mAh),Counter Electrode (V)
2_1,Cyclic Voltammetry,28.3755,-0.000109727,-0.000109727,0.264987,0,0.00208864,-0.145588
2_1,Cyclic Voltammetry,28.4751,0.00099794,0.00099794,0.269246,0,0.00209603,-0.147147
2_1,Cyclic Voltammetry,28.5747,0.0020128,0.0020128,0.245619,0,0.00210316,-0.147102
2_1,Cyclic Voltammetry,28.6743,0.00299024,0.00299024,0.229309,0,0.00210973,-0.147414
2_1,Cyclic Voltammetry,28.7739,0.00396719,0.00396719,0.2173,0,0.0021159,-0.148004
2_1,Cyclic Voltammetry,28.8735,0.00497556,0.00497556,0.208039,0,0.00212179,-0.148761
2_1,Cyclic Voltammetry,28.9731,0.00636556,0.00636556,0.13945,0,0.00212659,-0.146364
2_1,Cyclic Voltammetry,29.0727,0.00702076,0.00702076,0.190701,0,0.00213116,-0.15034
2_1,Cyclic Voltammetry,29.1723,0.00798772,0.00798772,0.185327,0,0.00213636,-0.15127
2_1,Cyclic Voltammetry,29.2719,0.00896167,0.00896167,0.18082,0,0.00214143,-0.152234
2_1,Cyclic Voltammetry,29.3715,0.00998002,0.00998002,0.1758,0,0.00214636,-0.153147
2_1,Cyclic Voltammetry,29.4711,0.0109854,0.0109854,0.170467,0,0.00215115,-0.154089
2_1,Cyclic Voltammetry,29.5707,0.0120033,0.0120033,0.166356,0,0.00215581,-0.155094
2_1,Cyclic Voltammetry,29.6703,0.0129932,0.0129932,0.161636,0,0.00216035,-0.156013
2_1,Cyclic Voltammetry,29.7699,0.0139507,0.0139507,0.157195,0,0.00216476,-0.156946
2_1,Cyclic Voltammetry,29.8695,0.0149271,0.0149271,0.153547,0,0.00216906,-0.157914
2_1,Cyclic Voltammetry,29.9691,0.0159594,0.0159594,0.148984,0,0.00217324,-0.158776
2_1,Cyclic Voltammetry,30.0687,0.0169972,0.0169972,0.146194,0,0.00217733,-0.159787
2_1,Cyclic Voltammetry,30.1683,0.0180081,0.0180081,0.142548,0,0.00218132,-0.160751
2_1,Cyclic Voltammetry,30.2679,0.0189881,0.0189881,0.139061,0,0.00218522,-0.16168
2_1,Cyclic Voltammetry,30.3675,0.0199665,0.0199665,0.136007,0,0.00218902,-0.162568
2_1,Cyclic Voltammetry,30.4671,0.0209589,0.0209589,0.133255,0,0.00219275,-0.163481
2_1,Cyclic Voltammetry,30.5667,0.0219743,0.0219743,0.130037,0,0.00219639,-0.164378
2_1,Cyclic Voltammetry,30.6663,0.0229682,0.0229682,0.127172,0,0.00219995,-0.165296
2_1,Cyclic Voltammetry,30.7659,0.0239755,0.0239755,0.124864,0,0.00220343,-0.166301
2_1,Cyclic Voltammetry,30.8655,0.024937,0.024937,0.123343,0,0.00220687,-0.167305
2_1,Cyclic Voltammetry,30.9651,0.0260242,0.0260242,0.104778,0,0.00221002,-0.167174
2_1,Cyclic Voltammetry,31.0647,0.0269523,0.0269523,0.124375,0,0.00221319,-0.169519
2_1,Cyclic Voltammetry,31.1643,0.0279696,0.0279696,0.121271,0,0.00221659,-0.170378
2_1,Cyclic Voltammetry,31.2639,0.0289615,0.0289615,0.117738,0,0.0022199,-0.171218
2_1,Cyclic Voltammetry,31.3635,0.0299664,0.0299664,0.116179,0,0.00222313,-0.172184
2_1,Cyclic Voltammetry,31.4631,0.0309519,0.0309519,0.114657,0,0.00222633,-0.173097
2_1,Cyclic Voltammetry,31.5627,0.0319093,0.0319093,0.113286,0,0.00222948,-0.174009
2_1,Cyclic Voltammetry,31.6623,0.0329192,0.0329192,0.112124,0,0.0022326,-0.174958
2_1,Cyclic Voltammetry,31.7619,0.0339485,0.0339485,0.111188,0,0.00223569,-0.175975
2_1,Cyclic Voltammetry,31.8615,0.0349649,0.0349649,0.109241,0,0.00223873,-0.176909
2_1,Cyclic Voltammetry,31.9611,0.0359388,0.0359388,0.109796,0,0.00224176,-0.177937
2_1,Cyclic Voltammetry,32.0607,0.0369078,0.0369078,0.108753,0,0.00224479,-0.178901
2_1,Cyclic Voltammetry,32.1603,0.0378977,0.0378977,0.108187,0,0.00224779,-0.179841
2_1,Cyclic Voltammetry,32.2599,0.0389335,0.0389335,0.106615,0,0.00225076,-0.180739
2_1,Cyclic Voltammetry,32.3595,0.0399489,0.0399489,0.106298,0,0.00225371,-0.181749
2_1,Cyclic Voltammetry,32.4591,0.0409024,0.0409024,0.10552,0,0.00225664,-0.182687
2_1,Cyclic Voltammetry,32.5587,0.0418913,0.0418913,0.10539,0,0.00225955,-0.18369
2_1,Cyclic Voltammetry,32.6583,0.0428757,0.0428757,0.104121,0,0.00226245,-0.184595
2_1,Cyclic Voltammetry,32.7579,0.0438941,0.0438941,0.104303,0,0.00226534,-0.185595
2_1,Cyclic Voltammetry,32.8575,0.0448935,0.0448935,0.102314,0,0.00226819,-0.18649
2_1,Cyclic Voltammetry,32.9571,0.0459014,0.0459014,0.102302,0,0.00227102,-0.187441
2_1,Cyclic Voltammetry,33.0567,0.0469102,0.0469102,0.101197,0,0.00227384,-0.188335
2_1,Cyclic Voltammetry,33.1563,0.0478802,0.0478802,0.100836,0,0.00227663,-0.18928
2_1,Cyclic Voltammetry,33.2559,0.0488646,0.0488646,0.10028,0,0.00227942,-0.190167
2_1,Cyclic Voltammetry,33.3555,0.0498491,0.0498491,0.0993998,0,0.00228218,-0.19109
2_1,Cyclic Voltammetry,33.4551,0.0508804,0.0508804,0.0989937,0,0.00228492,-0.192023
2_1,Cyclic Voltammetry,33.5547,0.0518793,0.0518793,0.0988802,0,0.00228766,-0.192988
2_1,Cyclic Voltammetry,33.6543,0.0528637,0.0528637,0.0975137,0,0.00229038,-0.193899
2_1,Cyclic Voltammetry,33.7539,0.0538476,0.0538476,0.097436,0,0.00229307,-0.194811
2_1,Cyclic Voltammetry,33.8535,0.0548565,0.0548565,0.0969724,0,0.00229576,-0.195726
2_1,Cyclic Voltammetry,33.9531,0.0558789,0.0558789,0.0960895,0,0.00229843,-0.196605
2_1,Cyclic Voltammetry,34.0527,0.0568787,0.0568787,0.0945742,0,0.00230107,-0.197489
2_1,Cyclic Voltammetry,34.1523,0.0578901,0.0578901,0.0956897,0,0.0023037,-0.198529
2_1,Cyclic Voltammetry,34.2519,0.0588581,0.0588581,0.0946722,0,0.00230634,-0.199382
2_1,Cyclic Voltammetry,34.3515,0.0598275,0.0598275,0.0945613,0,0.00230895,-0.200289
2_1,Cyclic Voltammetry,34.4511,0.0608614,0.0608614,0.0936586,0,0.00231156,-0.201172
2_1,Cyclic Voltammetry,34.5507,0.0618772,0.0618772,0.0936129,0,0.00231415,-0.202063
2_1,Cyclic Voltammetry,34.6503,0.0628706,0.0628706,0.092577,0,0.00231672,-0.202975
2_1,Cyclic Voltammetry,34.7499,0.0638526,0.0638526,0.0927602,0,0.00231929,-0.203908
2_1,Cyclic Voltammetry,34.8495,0.0648674,0.0648674,0.0921727,0,0.00232185,-0.204791
2_1,Cyclic Voltammetry,34.9491,0.0658818,0.0658818,0.092783,0,0.0023244,-0.20579
2_1,Cyclic Voltammetry,35.0487,0.0668902,0.0668902,0.0919025,0,0.00232696,-0.206658
2_1,Cyclic Voltammetry,35.1483,0.0678861,0.0678861,0.091089,0,0.00232949,-0.207479
2_1,Cyclic Voltammetry,35.2479,0.068889,0.068889,0.0912738,0,0.00233201,-0.208476
2_1,Cyclic Voltammetry,35.3475,0.0698739,0.0698739,0.09135,0,0.00233454,-0.209369
2_1,Cyclic Voltammetry,35.4471,0.0708718,0.0708718,0.0912681,0,0.00233707,-0.210287
2_1,Cyclic Voltammetry,35.5467,0.0718657,0.0718657,0.0912413,0,0.00233959,-0.211218
2_1,Cyclic Voltammetry,35.6463,0.0728476,0.0728476,0.0903734,0,0.0023421,-0.21208
2_1,Cyclic Voltammetry,35.7459,0.073859,0.073859,0.0910835,0,0.00234461,-0.21301
2_1,Cyclic Voltammetry,35.8455,0.0748454,0.0748454,0.0901236,0,0.00234712,-0.21387
2_1,Cyclic Voltammetry,35.9451,0.0758099,0.0758099,0.090422,0,0.00234962,-0.214793
2_1,Cyclic Voltammetry,36.0447,0.0767903,0.0767903,0.0903117,0,0.00235212,-0.215686
2_1,Cyclic Voltammetry,36.1443,0.0777852,0.0777852,0.0901665,0,0.00235461,-0.216612
2_1,Cyclic Voltammetry,36.2439,0.0788205,0.0788205,0.0904929,0,0.00235711,-0.217548
2_1,Cyclic Voltammetry,36.3435,0.0798015,0.0798015,0.0899847,0,0.00235961,-0.218475
2_1,Cyclic Voltammetry,36.4431,0.0808019,0.0808019,0.0893401,0,0.00236209,-0.219354
2_1,Cyclic Voltammetry,36.5427,0.0818262,0.0818262,0.0890986,0,0.00236456,-0.220236
2_1,Cyclic Voltammetry,36.6423,0.0828336,0.0828336,0.0889633,0,0.00236702,-0.221158
2_1,Cyclic Voltammetry,36.7419,0.083836,0.083836,0.0889,0,0.00236948,-0.222017
2_1,Cyclic Voltammetry,36.8415,0.0848299,0.0848299,0.0888873,0,0.00237194,-0.22297
2_1,Cyclic Voltammetry,36.9411,0.0858123,0.0858123,0.0883478,0,0.00237439,-0.223847
2_1,Cyclic Voltammetry,37.0407,0.0867982,0.0867982,0.0886536,0,0.00237684,-0.224752
2_1,Cyclic Voltammetry,37.1403,0.0877837,0.0877837,0.0872091,0,0.00237927,-0.225613
2_1,Cyclic Voltammetry,37.2399,0.0887761,0.0887761,0.0884403,0,0.0023817,-0.226581
2_1,Cyclic Voltammetry,37.3395,0.0897974,0.0897974,0.0873407,0,0.00238414,-0.22739
2_1,Cyclic Voltammetry,37.4391,0.0907634,0.0907634,0.0871928,0,0.00238655,-0.228308
2_1,Cyclic Voltammetry,37.5387,0.0917658,0.0917658,0.0868829,0,0.00238896,-0.229143
2_1,Cyclic Voltammetry,37.6383,0.0927726,0.0927726,0.0870973,0,0.00239137,-0.230063
2_1,Cyclic Voltammetry,37.7379,0.0937451,0.0937451,0.0862011,0,0.00239376,-0.230946
2_1,Cyclic Voltammetry,37.8375,0.0947405,0.0947405,0.0866876,0,0.00239615,-0.231866
2_1,Cyclic Voltammetry,37.9371,0.0957519,0.0957519,0.086383,0,0.00239855,-0.232761
2_1,Cyclic Voltammetry,38.0367,0.0967528,0.0967528,0.0854998,0,0.00240093,-0.233621
2_1,Cyclic Voltammetry,38.1363,0.0977417,0.0977417,0.0857729,0,0.0024033,-0.234533
2_1,Cyclic Voltammetry,38.2359,0.0987735,0.0987735,0.0856552,0,0.00240567,-0.235487
2_1,Cyclic Voltammetry,38.3355,0.0997415,0.0997415,0.0853229,0,0.00240803,-0.236326
2_1,Cyclic Voltammetry,38.4351,0.100766,0.100766,0.0858913,0,0.0024104,-0.237205
2_1,Cyclic Voltammetry,38.5347,0.101759,0.101759,0.0851085,0,0.00241277,-0.238089
2_1,Cyclic Voltammetry,38.6343,0.102738,0.102738,0.0862635,0,0.00241514,-0.239059
2_1,Cyclic Voltammetry,38.7339,0.10376,0.10376,0.084306,0,0.0024175,-0.239838
2_1,Cyclic Voltammetry,38.8335,0.104758,0.104758,0.0849821,0,0.00241984,-0.240756
2_1,Cyclic Voltammetry,38.9331,0.105746,0.105746,0.0847449,0,0.00242219,-0.241636
2_1,Cyclic Voltammetry,39.0327,0.106741,0.106741,0.0854692,0,0.00242454,-0.242574
2_1,Cyclic Voltammetry,39.1323,0.107723,0.107723,0.0854651,0,0.00242691,-0.243492
2_1,Cyclic Voltammetry,39.2319,0.108707,0.108707,0.0858736,0,0.00242928,-0.244381
2_1,Cyclic Voltammetry,39.3315,0.109728,0.109728,0.0852009,0,0.00243164,-0.245262
2_1,Cyclic Voltammetry,39.4311,0.110743,0.110743,0.085733,0,0.00243401,-0.246189
2_1,Cyclic Voltammetry,39.5307,0.11172,0.11172,0.0852711,0,0.00243637,-0.247077
2_1,Cyclic Voltammetry,39.6303,0.112719,0.112719,0.0853311,0,0.00243873,-0.248011
2_1,Cyclic Voltammetry,39.7299,0.113715,0.113715,0.0857244,0,0.0024411,-0.2489
2_1,Cyclic Voltammetry,39.8295,0.114704,0.114704,0.085736,0,0.00244347,-0.249812
2_1,Cyclic Voltammetry,39.9291,0.11574,0.11574,0.0850482,0,0.00244583,-0.250676
2_1,Cyclic Voltammetry,40.0287,0.116754,0.116754,0.0853583,0,0.00244819,-0.251577
2_1,Cyclic Voltammetry,40.1283,0.117727,0.117727,0.0856046,0,0.00245056,-0.252515
2_1,Cyclic Voltammetry,40.2279,0.1187,0.1187,0.0852276,0,0.00245292,-0.253347
2_1,Cyclic Voltammetry,40.3275,0.119707,0.119707,0.0855642,0,0.00245528,-0.254231
2_1,Cyclic Voltammetry,40.4271,0.120682,0.120682,0.0858009,0,0.00245765,-0.25515
2_1,Cyclic Voltammetry,40.5267,0.121675,0.121675,0.0852305,0,0.00246002,-0.25599
2_1,Cyclic Voltammetry,40.6263,0.122683,0.122683,0.0846252,0,0.00246237,-0.256863
