"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
6_2,Cyclic Voltammetry,3232.4,0.799642,0.799642,3.28134,0,2.94628,-0.951752
6_2,Cyclic Voltammetry,3233.39,0.798665,0.798665,3.26,0,2.94718,-0.949645
6_2,Cyclic Voltammetry,3234.39,0.797632,0.797632,3.24762,0,2.94808,-0.94842
6_2,Cyclic Voltammetry,3235.38,0.796606,0.796606,3.23792,0,2.94898,-0.947456
6_2,Cyclic Voltammetry,3236.38,0.79563,0.79563,3.23012,0,2.94987,-0.946716
6_2,Cyclic Voltammetry,3237.37,0.79464,0.79464,3.22247,0,2.95076,-0.945994
6_2,Cyclic Voltammetry,3238.37,0.793602,0.793602,3.216,0,2.95165,-0.945303
6_2,Cyclic Voltammetry,3239.36,0.792602,0.792602,3.20959,0,2.95254,-0.944724
6_2,Cyclic Voltammetry,3240.36,0.79164,0.79164,3.20386,0,2.95342,-0.944185
6_2,Cyclic Voltammetry,3241.35,0.790647,0.790647,3.19926,0,2.95431,-0.943725
6_2,Cyclic Voltammetry,3242.34,0.789674,0.789674,3.19495,0,2.95519,-0.943256
6_2,Cyclic Voltammetry,3243.34,0.788657,0.788657,3.1905,0,2.95607,-0.942856
6_2,Cyclic Voltammetry,3244.33,0.787645,0.787645,3.18584,0,2.95695,-0.942393
6_2,Cyclic Voltammetry,3245.33,0.786659,0.786659,3.18212,0,2.95783,-0.942065
6_2,Cyclic Voltammetry,3246.32,0.785714,0.785714,3.17818,0,2.95871,-0.941725
6_2,Cyclic Voltammetry,3247.32,0.78469,0.78469,3.17408,0,2.95959,-0.94132
6_2,Cyclic Voltammetry,3248.31,0.783715,0.783715,3.17037,0,2.96047,-0.940994
6_2,Cyclic Voltammetry,3249.31,0.782689,0.782689,3.16654,0,2.96134,-0.940642
6_2,Cyclic Voltammetry,3250.3,0.781665,0.781665,3.16328,0,2.96221,-0.940355
6_2,Cyclic Voltammetry,3251.3,0.780692,0.780692,3.15997,0,2.96309,-0.93997
6_2,Cyclic Voltammetry,3252.29,0.779745,0.779745,3.15649,0,2.96396,-0.939658
6_2,Cyclic Voltammetry,3253.28,0.778697,0.778697,3.15318,0,2.96483,-0.939242
6_2,Cyclic Voltammetry,3254.28,0.77768,0.77768,3.14954,0,2.9657,-0.938867
6_2,Cyclic Voltammetry,3255.27,0.776704,0.776704,3.1466,0,2.96657,-0.938659
6_2,Cyclic Voltammetry,3256.27,0.775717,0.775717,3.14337,0,2.96744,-0.938413
6_2,Cyclic Voltammetry,3257.26,0.774739,0.774739,3.14024,0,2.96831,-0.938051
6_2,Cyclic Voltammetry,3258.26,0.773778,0.773778,3.13733,0,2.96918,-0.937795
6_2,Cyclic Voltammetry,3259.25,0.77275,0.77275,3.13467,0,2.97004,-0.937575
6_2,Cyclic Voltammetry,3260.25,0.77176,0.77176,3.13161,0,2.97091,-0.937235
6_2,Cyclic Voltammetry,3261.24,0.770778,0.770778,3.129,0,2.97177,-0.936972
6_2,Cyclic Voltammetry,3262.23,0.769764,0.769764,3.1264,0,2.97264,-0.936727
6_2,Cyclic Voltammetry,3263.23,0.768774,0.768774,3.12263,0,2.9735,-0.936373
6_2,Cyclic Voltammetry,3264.22,0.767792,0.767792,3.11956,0,2.97436,-0.936119
6_2,Cyclic Voltammetry,3265.22,0.766776,0.766776,3.11682,0,2.97522,-0.935857
