"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
6_2,Cyclic Voltammetry,3233.36,0.799625,0.799625,1.47113,0,1.3213,-0.765121
6_2,Cyclic Voltammetry,3234.35,0.798638,0.798638,1.44748,0,1.3217,-0.762441
6_2,Cyclic Voltammetry,3235.35,0.797626,0.797626,1.43306,0,1.3221,-0.760723
6_2,Cyclic Voltammetry,3236.34,0.796616,0.796616,1.42178,0,1.32249,-0.759424
6_2,Cyclic Voltammetry,3237.34,0.795633,0.795633,1.41177,0,1.32289,-0.758247
6_2,Cyclic Voltammetry,3238.33,0.794627,0.794627,1.40322,0,1.32327,-0.757347
6_2,Cyclic Voltammetry,3239.33,0.793591,0.793591,1.3958,0,1.32366,-0.756492
6_2,Cyclic Voltammetry,3240.32,0.792606,0.792606,1.38944,0,1.32405,-0.755695
6_2,Cyclic Voltammetry,3241.31,0.791657,0.791657,1.38328,0,1.32443,-0.755094
6_2,Cyclic Voltammetry,3242.31,0.79066,0.79066,1.3773,0,1.32481,-0.754489
6_2,Cyclic Voltammetry,3243.3,0.789688,0.789688,1.37149,0,1.32519,-0.75379
6_2,Cyclic Voltammetry,3244.3,0.788664,0.788664,1.3657,0,1.32557,-0.753114
6_2,Cyclic Voltammetry,3245.29,0.787634,0.787634,1.35995,0,1.32594,-0.752509
6_2,Cyclic Voltammetry,3246.29,0.786661,0.786661,1.35447,0,1.32632,-0.751907
6_2,Cyclic Voltammetry,3247.28,0.785703,0.785703,1.34893,0,1.32669,-0.751271
6_2,Cyclic Voltammetry,3248.28,0.784673,0.784673,1.34343,0,1.32706,-0.750698
6_2,Cyclic Voltammetry,3249.27,0.783696,0.783696,1.33815,0,1.32743,-0.750094
6_2,Cyclic Voltammetry,3250.26,0.782687,0.782687,1.33379,0,1.3278,-0.749563
6_2,Cyclic Voltammetry,3251.26,0.781653,0.781653,1.32949,0,1.32817,-0.749141
6_2,Cyclic Voltammetry,3252.25,0.780671,0.780671,1.32619,0,1.32854,-0.748764
6_2,Cyclic Voltammetry,3253.25,0.77973,0.77973,1.32247,0,1.3289,-0.748303
6_2,Cyclic Voltammetry,3254.24,0.778696,0.778696,1.31862,0,1.32927,-0.74789
6_2,Cyclic Voltammetry,3255.24,0.777674,0.777674,1.31463,0,1.32963,-0.747445
6_2,Cyclic Voltammetry,3256.23,0.776698,0.776698,1.31093,0,1.33,-0.747017
6_2,Cyclic Voltammetry,3257.23,0.775715,0.775715,1.30754,0,1.33036,-0.746683
6_2,Cyclic Voltammetry,3258.22,0.774729,0.774729,1.30422,0,1.33072,-0.746361
6_2,Cyclic Voltammetry,3259.22,0.77376,0.77376,1.30095,0,1.33108,-0.745998
6_2,Cyclic Voltammetry,3260.21,0.772737,0.772737,1.29737,0,1.33144,-0.745562
6_2,Cyclic Voltammetry,3261.2,0.771716,0.771716,1.29387,0,1.33179,-0.745146
6_2,Cyclic Voltammetry,3262.2,0.770743,0.770743,1.29062,0,1.33215,-0.744742
6_2,Cyclic Voltammetry,3263.19,0.769744,0.769744,1.28713,0,1.33251,-0.744355
6_2,Cyclic Voltammetry,3264.19,0.768741,0.768741,1.28401,0,1.33286,-0.744055
6_2,Cyclic Voltammetry,3265.18,0.76777,0.76777,1.28095,0,1.33322,-0.743714
6_2,Cyclic Voltammetry,3266.18,0.766754,0.766754,1.27838,0,1.33357,-0.743366
6_2,Cyclic Voltammetry,3267.17,0.765755,0.765755,1.27489,0,1.33392,-0.743049
6_2,Cyclic Voltammetry,3268.17,0.764765,0.764765,1.27134,0,1.33428,-0.742721
6_2,Cyclic Voltammetry,3269.16,0.763766,0.763766,1.26762,0,1.33463,-0.742271
6_2,Cyclic Voltammetry,3270.15,0.7628,0.7628,1.26401,0,1.33498,-0.741805
6_2,Cyclic Voltammetry,3271.15,0.761799,0.761799,1.26105,0,1.33532,-0.741459
6_2,Cyclic Voltammetry,3272.14,0.760778,0.760778,1.25761,0,1.33567,-0.741082
6_2,Cyclic Voltammetry,3273.14,0.759779,0.759779,1.25444,0,1.33602,-0.740709
6_2,Cyclic Voltammetry,3274.13,0.758812,0.758812,1.25132,0,1.33637,-0.740343
6_2,Cyclic Voltammetry,3275.13,0.757824,0.757824,1.2489,0,1.33671,-0.740018
6_2,Cyclic Voltammetry,3276.12,0.756818,0.756818,1.24799,0,1.33706,-0.739893
6_2,Cyclic Voltammetry,3277.12,0.755826,0.755826,1.24648,0,1.3374,-0.739769
6_2,Cyclic Voltammetry,3278.11,0.754808,0.754808,1.24384,0,1.33774,-0.739485
6_2,Cyclic Voltammetry,3279.11,0.753811,0.753811,1.24088,0,1.33809,-0.739105
6_2,Cyclic Voltammetry,3280.1,0.752821,0.752821,1.23838,0,1.33843,-0.738825
6_2,Cyclic Voltammetry,3281.09,0.75181,0.75181,1.23555,0,1.33877,-0.738478
6_2,Cyclic Voltammetry,3282.09,0.750769,0.750769,1.23307,0,1.33911,-0.738188
6_2,Cyclic Voltammetry,3283.08,0.7498,0.7498,1.23127,0,1.33945,-0.737977
6_2,Cyclic Voltammetry,3284.08,0.748839,0.748839,1.22931,0,1.33979,-0.737783
6_2,Cyclic Voltammetry,3285.07,0.747845,0.747845,1.22795,0,1.34013,-0.737602
6_2,Cyclic Voltammetry,3286.07,0.746852,0.746852,1.2263,0,1.34047,-0.737436
6_2,Cyclic Voltammetry,3287.06,0.745853,0.745853,1.22502,0,1.34081,-0.737255
6_2,Cyclic Voltammetry,3288.06,0.744813,0.744813,1.22414,0,1.34115,-0.737091
