"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Cyclic Voltammetry,0.0997617,0.000616419,0.000616419,0.000149553,0,4.14435e-09,-0.073795
1_1,Cyclic Voltammetry,0.199362,0.00123703,0.00123703,0.000149414,0,8.28007e-09,-0.0855545
1_1,Cyclic Voltammetry,0.298962,0.0022692,0.0022692,0.000160771,0,1.2571e-08,-0.0984268
1_1,Cyclic Voltammetry,0.398562,0.00326145,0.00326145,0.000170076,0,1.71477e-08,-0.11076
1_1,Cyclic Voltammetry,0.498162,0.0042567,0.0042567,0.000177654,0,2.1958e-08,-0.122405
1_1,Cyclic Voltammetry,0.597762,0.00519857,0.00519857,0.000184001,0,2.69609e-08,-0.133401
1_1,Cyclic Voltammetry,0.697362,0.00619881,0.00619881,0.00018991,0,3.21333e-08,-0.14386
1_1,Cyclic Voltammetry,0.796963,0.00722798,0.00722798,0.000195199,0,3.74607e-08,-0.153862
1_1,Cyclic Voltammetry,0.896562,0.00822023,0.00822023,0.000199676,0,4.29231e-08,-0.16344
1_1,Cyclic Voltammetry,0.996162,0.00922347,0.00922347,0.000203596,0,4.85017e-08,-0.172531
1_1,Cyclic Voltammetry,1.09576,0.0102052,0.0102052,0.000207341,0,5.41863e-08,-0.18129
1_1,Cyclic Voltammetry,1.19536,0.0111621,0.0111621,0.000210926,0,5.99723e-08,-0.189741
1_1,Cyclic Voltammetry,1.29496,0.0121513,0.0121513,0.000213783,0,6.58475e-08,-0.197851
1_1,Cyclic Voltammetry,1.39456,0.0131825,0.0131825,0.000216808,0,7.1804e-08,-0.205752
1_1,Cyclic Voltammetry,1.49416,0.0141758,0.0141758,0.000219113,0,7.78342e-08,-0.213432
1_1,Cyclic Voltammetry,1.59376,0.0151745,0.0151745,0.000221675,0,8.39318e-08,-0.220807
1_1,Cyclic Voltammetry,1.69336,0.0161453,0.0161453,0.000223917,0,9.00958e-08,-0.227973
1_1,Cyclic Voltammetry,1.79296,0.0171416,0.0171416,0.000226064,0,9.63205e-08,-0.234985
1_1,Cyclic Voltammetry,1.89256,0.0181538,0.0181538,0.000227919,0,1.02601e-07,-0.241753
1_1,Cyclic Voltammetry,1.99216,0.0191899,0.0191899,0.000229463,0,1.08928e-07,-0.248244
1_1,Cyclic Voltammetry,2.09176,0.0201867,0.0201867,0.000231288,0,1.15301e-07,-0.254544
1_1,Cyclic Voltammetry,2.19136,0.0211425,0.0211425,0.000233074,0,1.21725e-07,-0.260562
1_1,Cyclic Voltammetry,2.29096,0.0221457,0.0221457,0.00023489,0,1.28199e-07,-0.266392
1_1,Cyclic Voltammetry,2.39056,0.0231505,0.0231505,0.000236362,0,1.34718e-07,-0.271938
1_1,Cyclic Voltammetry,2.49016,0.0241572,0.0241572,0.000237925,0,1.41279e-07,-0.277288
1_1,Cyclic Voltammetry,2.58976,0.0251509,0.0251509,0.000239526,0,1.47883e-07,-0.282377
1_1,Cyclic Voltammetry,2.68936,0.0261641,0.0261641,0.000240724,0,1.54527e-07,-0.287215
1_1,Cyclic Voltammetry,2.78896,0.0271265,0.0271265,0.000242206,0,1.61207e-07,-0.291832
1_1,Cyclic Voltammetry,2.88856,0.0281412,0.0281412,0.000243262,0,1.67923e-07,-0.296239
1_1,Cyclic Voltammetry,2.98816,0.0291409,0.0291409,0.000244738,0,1.74674e-07,-0.300371
1_1,Cyclic Voltammetry,3.08776,0.0300948,0.0300948,0.000246086,0,1.81463e-07,-0.304283
1_1,Cyclic Voltammetry,3.18736,0.0310815,0.0310815,0.000247098,0,1.88286e-07,-0.307874
1_1,Cyclic Voltammetry,3.28696,0.0320418,0.0320418,0.000248328,0,1.95139e-07,-0.311232
1_1,Cyclic Voltammetry,3.38656,0.033063,0.033063,0.000249328,0,2.02023e-07,-0.314454
1_1,Cyclic Voltammetry,3.48616,0.0340872,0.0340872,0.000250502,0,2.08938e-07,-0.317458
1_1,Cyclic Voltammetry,3.58576,0.0351109,0.0351109,0.000252101,0,2.1589e-07,-0.320282
1_1,Cyclic Voltammetry,3.68536,0.0360702,0.0360702,0.000253047,0,2.22878e-07,-0.322938
1_1,Cyclic Voltammetry,3.78496,0.0370585,0.0370585,0.00025382,0,2.2989e-07,-0.325313
1_1,Cyclic Voltammetry,3.88456,0.0380622,0.0380622,0.000254931,0,2.36928e-07,-0.327557
1_1,Cyclic Voltammetry,3.98416,0.0390515,0.0390515,0.000255985,0,2.43995e-07,-0.329706
1_1,Cyclic Voltammetry,4.08376,0.0400612,0.0400612,0.000257183,0,2.51094e-07,-0.331704
1_1,Cyclic Voltammetry,4.18336,0.0410465,0.0410465,0.000258047,0,2.58222e-07,-0.333484
1_1,Cyclic Voltammetry,4.28296,0.0419943,0.0419943,0.000258814,0,2.65371e-07,-0.335083
1_1,Cyclic Voltammetry,4.38256,0.043006,0.043006,0.000260008,0,2.72548e-07,-0.336778
1_1,Cyclic Voltammetry,4.48216,0.0440133,0.0440133,0.000261157,0,2.79758e-07,-0.338328
1_1,Cyclic Voltammetry,4.58176,0.0450419,0.0450419,0.000262207,0,2.86998e-07,-0.339761
1_1,Cyclic Voltammetry,4.68136,0.0460372,0.0460372,0.000263102,0,2.94265e-07,-0.341106
